,0,1,2,3,4,5,6,7,8,9,10,11
0,ADFFEDCAA,ABEFFEDBA,AAABDEFFF,FFEDDBAAA,AADEFEEDC,AABCDEEFF,AABDFFEDD,FFEEDCBAA,FEEEEDCAA,AABCDDEFF,DEEEEECAA,AABCDEFFD
1,CCEEEEEAA,FFEDCCBAA,ACDDEEFDC,AACDDDEEF,AABDDEEEF,EFFECAABB,AACEFFDCC,DBAAEEDEE,FFEEDBBAA,EFEEEDBAA,DEFEABCBC,ABBBBDEFF
2,AACEEEDFD,ADCDCBBEF,AACDEEFEC,FFEDCBBAA,AABCDEEFF,AABCDEEEF,DEFFDBBAA,EEEEEDCAA,FFECBAABC,AABCDDEFF,EFFEDCBAA,FCECBBBCD
3,BCCDCBBEF,FFEDCBAAB,DFFEDCBAA,BAABCEFFF,FEDCBABDF,AABCDEEEF,FFEDCBBBA,AAACDEEFF,FFECBAABD,DEEEEDCAA,AABBCDEFF,EFFEDBAAA
4,AACEEEEEE,EDBABBDDF,AABCDEEEF,FFEEDCBAA,AABCDEEFF,AABDEEEEE,AACFFEDCC,DEEFEDCAA,FFEEDCBAA,AABCDDEFF,EFFECBBBA,BABCBDEFF
5,AABBDEEFF,AAACEEEFE,BDBDFDBEC,FFEEDCBAA,FECBAACDE,AABCDDEFF,DFFFCBBAA,FFEDDCBAA,DBAABDEFF,AABCDDEFF,FFDDDBBAA,CEDEDEEAA
6,EECDCAAEF,FFEDCBBAA,DCBBBCDDF,ABBBCDEFF,AABCDDEFF,FEEEDCCAA,DDBAABEFF,EBABDEDEE,FFEEDBAAA,FDEDDCAAC,ACEDCBBDF,CEDFFDDAA
7,AACDEFEDE,FEEEDBAAC,FEBBDDBBD,EFFECBAAD,ABDEFFEDB,FFEDCBAAB,ABDEFFDCA,BAABCEEFF,DEEFEDBAA,AABCCDEFF,CBABCDEFF,CBAABDEFF
8,AABBCDEFF,AABEEECEE,EEFDEDCAA,FFFECBBAA,AAABDEEFF,AABCDEEFF,FFFDCBBAA,FFEEDCBAA,CBABBCEFF,ABCBBDFFF,AFEBBECEC,DFCBEEBBA
9,FFEECBBAA,FFFDCBBAA,EECDFDBAB,AAACDEEEF,AAACDDEFF,FEEEDCBAA,CEFFECAAB,ABDEEEECD,FFFECBBAA,EFEDDCCAA,ACBABDFFD,AABCEFEFD
10,AACEFEEED,FFEEBAABB,ABBBDFEED,FFEDCBAAA,AABCDEEFF,AACDEEEEE,AACEFEDCC,EEEEEDCAA,FFEEDBBAA,AABCDEEFF,EEFEDCAAA,FEEDDBAAA
11,AABCDEEEF,ABBDEDFEC,DCFFECAAD,FFEDDCBAA,FECBAACDE,AABCDEEFF,AAABDEFFF,FFEEDCBAA,FFEECBAAA,AABBCDEFF,AACEFDDEC,CEFEDDDAA
12,FFEEDBAAB,BADBDEEED,FCFDCACDA,ABBBCCEEF,AABCDDEEF,EFEDEDCAA,BBBBBDFFF,FFEDDCBAA,FFEEDCBAA,BBBBBDEFF,BDBBBECDF,EFFDECCAA
13,AABCDEEFF,FEEDBABDD,FEEEDCBAA,FFDCBAACE,AABCDEEFF,FFEEDCBAA,AAABDEEFF,AABDEEEEF,FFEEDCBAA,FFECBABCD,AABDEEEEE,AABCDEFEF
14,FFEECBBAA,BBBBBCEFF,FDBDCDCBC,CACBBCEFF,AABCDEEFF,ABBBCCEFF,FFDBAABCD,ADDFEEDBA,FEEEDDBAA,FFDDCCBAB,EEFCCABEA,EFCEDBCAA
15,AABCCDEEF,DEEEFEAAB,EEEEDCBAA,FFFDCBAAA,AABCDEEFF,AACDEEEEE,BCEFFDCAA,EEEEEDBAA,FFEDCBBAA,AABBDDEFF,AADEFFDBC,BDBCDFFEA
16,FFFECBBAA,EFEBBCBBD,BABDDBCFF,AACBCDDFF,ACDDDDEFE,FEDEEDCAA,FEAAABDEE,BDBFDBBED,EDFECDDBA,FFDDDCAAB,EDEFEBABA,CFDCEFAAC
17,FFEECBAAA,AEFEDDBBC,DFEBAABEE,AABBDEEFF,ACCEEFEDA,FFEEDCBAA,BABBCDEFF,DFFEDCBAA,FFEDBBABC,ABBBDDDFF,EEFEBABCB,FFEDBAABE
18,CEEFECCBA,EECEBACEE,DAADFFEDA,FFDEDCBAA,EBABDFEBE,AABCDEEFF,EEFFDBBAA,FFEDCAABC,BBBBCDEFF,AABDDEDEF,FFFDCAABA,FBCEDCDAB
19,ADDDCBBBF,CFDEDDDBA,FEDCBDDBA,ACBCBCDFF,AABCDEEFF,AABCDDEFF,FFCBBBBBC,AABCFEDFD,FFEEDCBAA,FFEDBBBBB,DEFCAABEE,ABEDAEEEC
20,BABBEFFDB,AABCDEFEE,FFEDBAACD,DFFECCCAA,EFFECCBAA,AABCDEEFF,AABCDFFEE,FFEEDCBAA,DCBAABEFF,AACDEFFEC,AACCCDEEF,FFEDCBABB
21,FFEDCBBAA,AABCEEEEE,ACABCEFFC,DDEEDEDBA,FFEEDCBAA,FCAABCDEF,AABCEFFED,FFEDDCBAA,AABCDEEFF,AABCDEEFE,FDDCCBCEA,FEEDCDCBA
22,ECBBABDFF,FDCBAACEF,FEDBAABDF,FFEDBABBB,CFFEDBABB,CDEFFDBAA,BABDDCCEF,DFDAABEEC,DCBDFFEBA,EBCDEFEBA,BAABDEFEF,BADDDFDAE
23,ABDFFEEDA,FFFECBAAB,ACEFEEBCC,EDCBAABEF,BEFFECBAA,FFECBAABD,FFFDBAABC,AABCDEEFE,FFEDCBBAA,AABDEFFDD,EFFEDBAAC,BDFEBABDF
24,AABDEEEEE,FFEECBBAA,FFEDCBBAA,AABBCDEFF,AABDEEEEE,FFEEDCBAA,EDEFDAABD,AABCDEEEF,FFEEDCBAA,FFECBBBBB,AABCDDEFF,AABCDEEFF
25,AABDEEEEE,FFEDCCBAA,FFEDCBBAA,AABBCDEFF,AABDDEEEE,FFEEDCBAA,FEFEBAABC,AABCDEEEF,EEEEEDCAA,FFECBBBBA,AABCCDEFF,AABCDEEFF
26,ABEFFECCA,FFFECBBAA,FEBCCBCDA,FEDEDAABE,AABCDEEFF,DEFEAABCE,EFFEDBBAA,AABDFFEED,FFDBABBCD,ACDCCCEFF,FFEBBBBBC,AABDDDEEF
27,FEEECABAC,EDDDEEEAA,FDFDAACDB,AABBCDEFF,AABCDEEEF,BBBACFFEC,FFDBABBCD,AABCCEEEF,EEFEDDBAA,FFEDCCBAA,EEBBAADEF,ABBBCEEFF
28,FFEEBAABB,DDDDFFCBA,FFCBCCBCB,CEFDDECAA,DEEDCAACF,CDEFFECAA,FECAAACEF,AACDDDEEF,ACDEEFCBA,FECDCAACD,EEBBBACFD,ACEEEEECA
29,AAEEDDEDE,AACDEDEEE,ABDDFECDA,DFFEDCBAA,FFEDCBAAB,AABCDDEFF,AACEFFECB,FFEDDCBAA,AABBCEEFF,FFEDCBBAA,FFEDCAABC,BABDBEEEE
30,ABCEFFECB,FFEDCBBAA,FFEDCBBAB,AABCDEEFF,AABCDEEFF,FFECBAABD,EFFECBBAA,AACDEEEEE,FFEEDCBAA,FFEDCBAAA,AACBCDEFF,AABBCDEFF
31,AABDEFEDD,FFEDCBAAC,DEFEECBAA,AABCDEFFE,FDFFECBAA,CEEEEEDAA,AABBDEFFE,DCBAACEFF,FFEDBBBBA,FFEBABBCC,DDEFEDBAA,AABDEEDEF
32,FFEEDBAAA,ABBDDEFFE,DCEFEDCAA,EEFEECBAA,DBBBCBBEF,AABCDEEFE,FFEDCBBAA,AABCDEEEF,ABCEFEDEC,FEEEECBAA,DBAAADEFF,BBEEDFDDA
33,ECCEFECAA,ACEFFDBBA,ACEFFECBA,AACDFFEDB,AABBDEFFD,DBABBCEFF,CBAABDFFF,ABEECBCEF,ECCCABCEF,FFFDCBBAB,DEFFECBAA,AACEDCEFE
34,FFEDBABBB,ABBCBCFFF,CAFECBBEF,FECCBEECA,FEEEDCBAA,CAABCDEFF,AABCEFEED,FFEDDCBAA,AABBCDEFF,AACDDEFFD,FEEEEDBAA,FFECCBBAA
35,FFEECBABA,BBDBCBEFF,FEDBBBCBB,BAABDEEFF,ABBCCDDFF,ABBBCDFFF,FFECBBBBC,AEFFDCACB,FEEDCBBBA,FFCECBBBA,ECDEDCCDA,DAEEDFDCA
36,BAACBCFFE,AABCCDEFF,EEDFEBAAE,FEEDCCCAA,BAABCDEFF,AABCDEEFF,FFFECBBAA,FFEDDCBAA,BAABCEFFF,ABCDFFEDA,ABDFECCDF,FFEDDCAAA
37,FFDCBAADE,EBBCEEABF,BABCCCEFF,CCDEEEFBA,FFEDDCBAA,EDBAACDFF,AACDFFEDB,FFECBAABC,AABCCDEFF,EFFCBCBCA,EEBBBBCEF,FBCFECBBB
38,EFFEDCBAA,FEFDBAABB,BBABDFEFE,ABEEEDBBF,FFEDCBBAA,FFEEDBAAB,AABCEFFEE,FFECBBBBB,FEECBAACF,BCFFEDAAE,ACFEBBBDF,AABCCCEFF
39,AADEEFEDC,EFFECAABC,FFECBABBB,BBABBDEFF,FFEEDCBAA,BCDEFFDBA,BABBBCEFF,DEFFDCBAA,BBDFFBBCC,BBABCEFFE,ABCCBBEFF,BAABDEFFE
40,AACCCDEFF,DCAACEFED,FEEDBAABE,BDFFEDCAA,FECAABCEF,EECAABCEF,AAABCEFFF,BBEFFECBA,EEEEEDBAA,AABCEEFEE,FEBAACDEE,BBAACDEFF
41,FFDCCCBAB,ABCBBDEFF,FEDEECAAB,AABDEFFDB,DFFDAABDE,FFEDCCBAA,FFFDCBAAB,AABCDDEFF,FFEEDCBAA,BAABDDEFF,FFCAACECC,DEFFECAAA
42,AABCDDEFF,AFEDDCBDC,FFEDDCBAA,FFEDCBBAB,AABBDEEFF,AABCDEEFF,AABBDEEFE,FEEEDCBAA,FFEDCBBAA,AABBCDEFF,ACEEFEDBB,BFEDCEDDA
43,EFFEDCBAA,FFECBBBAB,FDECAABEE,AABCDDEFF,AABDEEDEF,EEEEEDCAA,AABDFFEDC,AACEEEEDC,FEAACDEDC,FFDBABCCD,AABBDDEFF,ABABCDEFF
44,CBEFEBDCA,BAABCEFFF,DDCAABDEF,CAABCDFFE,FFEDDCBAA,FFEEDCBAA,AABBCDEFF,DFFEDCBAA,AABCEEDEF,ABACDFFEB,BABCCEEFE,FFECAABCD
45,ABBBDFFED,AABCEFFED,DCAABCEFF,FFEDCBBAA,AABDDEEEF,AABCDEEFF,FFEDCBBAA,CDCBABDFF,FFFECBAAB,ABCEFFEDB,BAABCEEFF,FFDAABCDE
46,BABBCFFEC,AABCDEFFE,FDCEFEBAA,EFFEDBAAB,FFECBABCC,AABCDEEFF,CDEFEDBAA,FFEDDCBAA,BAABDFFEE,BDFFEBABD,BBABCCFFE,FFECAABCD
47,DDEFECAAE,AACDEFEED,AABEDCEEF,FFEEDCBAA,CBAACDEFF,AABCDEEFF,FFEDCBBAA,FFEDDCBAA,AABCDEEFF,EFFDBBBCA,FCBAABCDF,FFEDDDBAA
48,EFFEBBACB,FFFDCCBAA,ABBBBDFFF,BBCEFFECA,EDCCEEECA,DCCBABDFF,BBEFFDBAB,FFECBBBBA,FFEDBABBC,AABCCDEFF,EDBAABFFE,ABDDFFCCC
49,EFFEDCAAA,EFEFDBAAA,AABDDDDFF,DBCAACEFE,FEDBBDCCA,FEEDCCBAA,AABCDFFEE,FFEDCBBAA,FFEDBAABC,ABCCCBCEF,BEFBCEDEA,ABBCBCEFF
50,AAACDEFFE,DBBACFFEC,BBFFFECBA,FFEDCCBAA,AAABCDEFF,AABCDEEFF,BCEFFDBBA,FFEEDCBAA,FFECBBBAB,ABBBCEEFF,EFFEBBABB,EEBADEFAA
51,AABCEDDFF,EBADFFDBA,AABDEFEDD,EDCBAACFF,ECAAEEEEC,FFEEDBAAA,ABDFFEDBA,AABCDEEFF,FFFEDCBAA,FFEDCAAAC,CDEFFECAA,AACEFFDCD
52,DCBEFFDBA,BDFFECBAA,CDFFEDBAA,ABDFFFDBA,ABACEFFEC,BABCBDFFD,CAABBDFFF,AADEDCDFF,CBBABDFFE,FECAAACED,ECAAACEFF,ECAABCEFF
53,AABDEEEEE,FEDBBCBBE,ABCEFEFDA,FFEDCBAAA,AABCDEEFF,ABDEFFDCB,AACFFECCC,BDEEFEDBA,FFEEDCBAA,AABCDDEFF,EEFEDDBAA,BACBBDEFD
54,FFEDCBAAB,AAADEDEFE,AEDBCDBEF,ABEEFDDCC,AACBCEEFF,AABBDEFEF,ACFDEECBD,EEDDDECBA,FFEEDCBAA,FFECCBBBA,FFDEBBCAA,EEFDDEAAA
55,AACEEEEEC,DDFFECAAB,DDCBABEFF,FFECBAABD,ABDFFEDCB,FFEDDCBAA,ABDEFFDCA,AABCDDEFF,EEFEECBAA,ABBDEFFEA,DAAACDEFF,BBCBACEFF
56,DFEDDECAA,FFDDECAAC,DBAABFFED,BCEFFEDAA,AABBCEFFF,DCBAABDFF,BCEFFDCAA,FDAABCDEE,BAABCDEFF,DEFFDBBBA,FFDCCCCAA,ABCBDEEEF
