,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,AABCFE,FFEFAA,AAABFF,FFFFAA,CCBADF,AAADFE,FFEFAA,FFFDAB,AAAAFF,FFFFAA,BBABFF,AABAFF,BBAAEF,FFEFAA,FFFCDA,FFEECA,FFEDAA,FFFFAA,AAAAFF,AAAAFF,AABBFF,FFFFAA,AAABFF,BBDFFA,FFAABD
1,AAADFD,EEFFAA,FFFEAA,EEFFAA,AABFEE,DDEFAA,AAAAFE,AAABCF,AABAFF,AACFAF,DDFBFA,FEAAFD,AAAAFF,FFFEAB,EEEDAF,EECAFD,FFFCAA,FFEDBA,DEFFAA,FFFDAA,BBAFFA,AAFFAE,AABAFD,AAABFF,BBAAFF
2,AAABFF,CCFAFB,AAFAFD,BBBAFF,AAABFF,BCFFAA,FFFEAA,FFFEAB,AAAAFF,AAABFF,AAACFF,AADADF,AABAFC,FFFCAA,DEFAFA,FFEFAA,FFFFAA,BBAAFF,AAAAFF,AAABFF,CDFFAB,FFEFBA,FFAFAB,AAEAFF,BBEAFD
3,AABCFD,BBBAFF,FFFFAA,FEEAAF,AADFFB,FFFEAA,EDDABF,AAADFE,FFFFAA,BBAAFF,AAAAFF,CBAAEF,FFFEAA,FFEFAA,BBBAEF,AAAAFF,FFFFAA,CCAAEF,AABDFE,FFFFAA,AAAAFF,AAABFF,ABCFFA,FFFAAC,AAABFF
4,AAABFF,FFFADA,FFFFAC,AAAEAF,AAACFF,ABFAAF,FFFDBA,FFFEAA,BAAAFF,AAABFF,AAAAFF,DDEAFC,AAAAEF,FFEDAB,AAABFF,FFFFAA,FFFFAA,FFFDAA,AAAAFF,AAACFF,BCFFFA,FFCFEA,CCAAFF,AACAFE,AAAFFC
5,AAAAFF,AAAAFF,BBDAFF,DCABFC,BCFBAF,FEBAFB,EEFFBA,FFFEAA,FFFEAB,AAACFF,AAABFF,AAAAFF,AABEFA,EEEFAA,FFFEAA,FFFFAA,FFEAAC,AAABFF,AABBFF,BBAAFF,DEFCAC,EEDFAC,ABFAFC,EEEFAA,FFEFAA
6,EEFAAE,BBAAFF,FFEFAA,FFFDAA,EEFAFA,DCAFAF,AAFAFE,AAAAFF,AAABDF,AAAEEF,FECFAB,FFEFBA,FFFFAA,AAAEFE,FFFAAE,EEFACF,FFEFAA,FFECAA,FFAFAC,EEFAAE,AAAFDE,BBBAFF,ABEAAF,EEFFAB,FFAFAB
7,AAABFF,BCFFAC,FFADEB,FEDACE,FFFEAC,EEFAAE,DDFFDA,DDDBAF,AAABFF,FFFFAA,FFFEAA,FFEAAD,AAAAFF,FFFEAA,DCCACF,AAAAFF,AAACFE,FFFFAA,CBAAFF,AACAFF,FFFAAE,AAABFF,FFFBAD,AAABFE,BBACFB
8,ABBBBF,AAACFF,BBAAFE,FEFAFC,CCAFAB,FFEEAA,DDFFBA,FFEFAA,CCAADF,AAAAFF,AAABFF,AABBFF,EEFFBA,FFEFAA,FFFDAA,FFEFAA,FFDAAD,AAAAFF,AAAEFC,AAAFEE,BBEFCA,CDFAFB,CDFFAD,FFFADA,EEEFAA
9,EEFFBA,FFBFBA,EEFFBA,FFFBAA,DDFFAF,FFFDAC,AADAFF,AABADF,ABDAEF,AAADFF,FFDFAA,FFFFAB,AAABFD,FFFCAE,AAADFE,FFEFAB,FFDFCA,FFEEAA,DDEFAA,FFDFAA,ABFFAC,AABFDB,AAACEF,FECAFA,AAAAFF
