,0,1,2,3,4,5,6,7
0,ACCCBBAABDD,CCBAAABCDDD,DDCCBAAABCD,DDBAAABBCDD,AABDDDCCBBB,DDDCCCBBBAA,AAABBCCDDDD,DCBAAABCDDC
1,CCDDDCCCBAA,CCAAACCDDDC,AABBBBBCDDD,CCCDDDDBAAA,AACDDCCBBAB,DDDDDCCBAAA,DDDDDBBAAAA,AAAABBBBDDD
2,AABDCCDBCCC,AAABBCDDDDC,DDDCBAAAABC,AAABCCCDDDD,DDDDCBBAAAA,DDDDCBBAAAA,AAABBCDDDDD,DDDCBBAAAAB
3,ABBBAADDDDC,BAACDDDDCBA,AAABCDDDDDC,AAABBCCDDDD,DDDCBBAAAAC,CDDDDCBAAAB,CDDDDCBAAAB,BBCCDDDCAAA
4,AACDDDDCBBB,AAABBCCDDDD,DDDCCBAAAAB,AABBCCDDDDD,AACDDCBBBBB,DDDDCCBBAAA,AAABBCDDDDD,DCBAAABACDD
5,AAABBCDDDDD,AACBCBCDBCC,DDDDCBBBAAA,AAABBCCCDDD,DDDCCCBBAAA,DDDBAAAABCD,AAABBBCDDDD,BBABCCDCDBA
6,CCBCABDDDBA,DDCBBAABBBB,AAAABBCDDDD,ABCDDDCCBAA,CBAAADDDCCC,DDDDDCCBAAA,DDCCBABABCB,AAABDCDDDCB
7,AACDDDDCABA,DABDDBACCAB,BBBBAAABDDD,DDDCCBBAAAA,BCDDDCBAAAB,ABBCCDDDCAA,AAABCCDDCAD,ABCCBAABDDD
8,AAABBCCDDDD,DCDCCCBCBAA,DDDCCBBAAAB,AAABBCCDDDD,DDDCBBBAAAA,DCCBAAAABDD,AAAABCCDDDD,CCCBDCADBAA
9,DDDCBBBBBAA,DDCCCBBCBAA,AAABBBCDDDD,BCCDDDCCBAA,BCDCAAABCDD,DDDDCCBBAAA,DDDDCCAABAA,AAAAABCDDDD
10,AACDDDDCBBA,AAAABCCDDDD,DDCBBAAABCD,AAABCCCDDDD,AACDDCBBCCC,DDDDCCBBAAA,AAABBCCDDDD,DDDCCCBBAAA
11,AAABCCCDDDD,CDDCBCDCAAA,DDDDCCBBAAA,AAABCCCDDDD,AAABCDDDDCC,DDDDCCBBAAA,AAABBCCDDDD,CBCBCDDCCAA
12,DDCBAAABCDC,DCDCBCBAABA,AAABABCDDDD,ABBDDDCDCAA,AAAACDDDDCC,DDDDCCBBAAA,AAAABBCDDDD,DDDDCDBBAAA
13,AAABCCDDDDC,CCCDDDDCAAA,CCBAAABCDDD,BCDDDDCCAAA,AAABCCCCDDD,CDDDDCCBAAA,DCBAAABBCDD,AAAABBCDDDD
14,DDDCBBBAAAA,AABCDCCCCCC,AAAAABBCDDD,AAABBCCCCDD,DCBAAABCCDD,DDDCCCCBBAA,DDCCBAABBBA,BBDBDCDCBBA
15,AAABBBCDDDD,CBBCDDDCBAA,DDDBBAAABCD,AAABCCDDDDD,BCDDDBAAABB,DDDDCCBBAAA,AAABBBCDDDD,CBABCABCDDA
16,DDDCBBAACAA,AAABBBDCBDD,AAAABBCCDDD,BCDCDCDDBAA,CBAAABCCDDD,CCDCCDCBCAA,DDCCCAABAAC,DCDCBBBCBAA
17,DDDCBAAABBB,CBBCDDAAACD,AAABCCCCDDD,DDDDCCBBAAA,AAAABBCDDDD,DDDCCBBAAAA,AAABBBCDDDC,CCDDDCCAAAC
18,CDDDCCBAAAA,ABDDBACDDCB,DDDDCBBAAAA,AAAABBCDDDD,DDDDCBBBAAA,AAABBBBCDDD,AABBCCDDDCB,DDDDBACABAA
19,ABBBAABDDDD,DDDCCBAABAA,AAAABBCCDDD,AAABBCCCDDD,DDBAAABBCCC,DCDDDCCBAAA,DDDAAAABCDA,AAABBDDCDDC
20,AABBCBBABDD,DDDCCBBAAAB,CDDCCCAABBA,BBAAABCCDDD,AAACDDDCCBB,DDCCBAAABDD,AABCDDBACDD,DDDDDCBAAAA
21,DDCBAAAABCD,AAAACCCCDDC,CCDDDCBBBAA,DDDCBAAABBB,AABDDDDCBAA,BAAAABCDDDD,AABBCCDDDCC,DDDDCCBBBAA
22,CBAAACDDDBA,ABDDDCBAABD,DDCAAAABCDC,CBBCBDDDBAA,AAABBACDDDD,BDDCBABDDBA,DCCDDDBAAAA,AAABBCCDDCD
23,BCDDDDCBBAA,AAABCDDDDCC,BAAAAABCDDD,DDDCCBBAAAB,DDCAAAABCDD,DDDDCCBAAAA,AABBBBBCDDC,AAABCDDCBCD
24,AABCDDDDCBB,DDDCCCBAAAA,AAAABBCDDDD,DDDDCCBBAAA,BBBBAAABDDD,CCDDDDCBBAA,DDCAAAAABCD,AAAABCCDDDD
25,AACDDDDCCBA,DDDCCCBBAAA,AAAABBCDDDD,CDDDDCBBAAA,CBCAAAABCDD,BCCDDDDCBAA,DDCBBAAABBB,AAAABCCDDDD
26,BCDDDCCBAAA,DDBCCABBABA,BBBBAABBDDD,AABCDDDABCD,DDDCBBAAAAB,DDDDCBAAAAB,ABBABCCDDCB,AAAABBCDDDD
27,DDDCBCBBAAA,DDDCBBBAABA,AAAABBCCDDD,ABBCBBACDDB,DCBAAABCDDD,BBBDDDDCCAA,DDDCCBBBAAA,AAABBBCCDDD
28,DDDBAABBBBB,DDDCCBABAAA,CDDCDCAABAA,AAABCDDDCBA,BBAAABBCDDD,AAABCCDDDCB,DCCCBBCCCAA,AABACDDDDDB
29,AABBBBBCDDD,AABBCDCDCDC,DDDDCCBBAAA,BAAABBCCDDD,BBCDDDCBAAA,BBBAAABCDDD,DDDCCBBAAAA,AAABBBCCDDD
30,BCDDDDCBAAA,DDDCCBBAAAA,AAABBCCCDDD,CDDDDCBAAAB,DDDCBAAAACD,CCCDDDCCBAA,DDDBBAAABBB,AAAABBBCDDD
31,AABCDCBDDCA,BAACDDDDCBA,AAACDDDCBCC,DBABCDDDCBA,AAABDDDDCCB,BCDDDDBAAAA,DDCAABBBACD,CBAAABCDDDD
