,0,1,2,3,4
0,CCADDAA,DDCAACC,AABCDDC,DCCBABD,DDBBDCA
1,DDDCAAA,AAABCDD,BAACDCB,DDDBBAA,AAABCDD
2,ABBBBDD,DDBAABC,BCCDCAA,CBAABDD,DDCBAAA
3,BBDDABC,CAACDCD,DDDCAAA,CDBACDA,ABDDBAC
4,ACCABCD,DDCAABC,AABCDCC,DDBAABD,DCAABCC
5,AABCDDD,DDDBAAA,ABCDDCA,BAABCDD,DCCCCBA
6,DCDDBAA,AABCCDD,DDCAACB,DDCBBAA,AABDDCB
7,CDDCAAA,ABBACDD,DBACDBA,CDDCAAA,AACACDD
8,AACCDDD,DDCBAAC,CDDDBAA,BAABCDD,CCCCCBA
9,DDCBAAA,AAABCDD,DCADAAD,DDCBAAA,AAABCCD
10,ADDBABC,DDBAACD,AAACDCD,DCBAACD,DDCBBAA
11,AABCDCD,DDDBAAA,AAABDDD,DDBAABC,BCCDCAA
12,CAACDDC,AAABCDD,DCAABDC,DDCBAAB,DDDCBAA
13,ABCCCCC,DBAABDD,BBAACDD,DDDCBAA,ABBCDDC
14,DCAAADD,BAABCDD,BCDBABC,DDDCBAA,CBBCBAD
15,AABDCCD,DCBAABD,ABBDDBC,DDBAABC,BDCCDBA
16,DCBBABB,AABBDDD,DDCAABC,DDDCBAA,DDCBBAB
17,DCABBBB,AABCCDD,DCAAACD,DDBABBB,CBBBABD
18,DDCBABA,DDCBAAA,ACDDCAA,AAABCDD,DCBAAAD
19,BABDDCA,BAABCDD,CDDBAAB,DDDCBAA,AAADDDC
20,AAABDDC,BDDCBAA,AABCDDC,CBABCDD,CDDCAAA
21,CAABDDD,CCDCCBA,AABCDDC,AABCDDD,DDDCBAA
22,BADCBDB,ADCACCB,BCAABDD,DCCCABA,AABCDDB
23,CDCCAAC,BBAADDC,DBCCAAD,DDCAABB,CAADBDC
24,BDDDBAA,AAABDDD,DDBAAAC,DDDCBAA,AABCDDD
25,CDDCBAA,AAABDDD,DDBBAAC,DDDCBAA,AAACDDD
26,DDDCAAA,BBAABDD,DCCDBAA,DCAABCC,AAABDDD
27,DDCBCAA,AAABCDD,DDDAABC,DDDCBAA,AAABCDD
28,DBBCCBA,DDDCBAA,DDCAABD,ACDDBAA,BABDDBA
29,AAACDDD,DDDCBAA,AABDDCB,AAADDDC,BAABCCD
30,DDDCBAA,AAABCDD,DCCDAAC,DDDCBAA,AAABCDD
31,BDCDAAD,BABDCCB,AAABDDD,DDCCBAA,CCAACDD
32,DCABCCB,DCCBAAB,CDDCAAB,ABDDCCA,AACCDBD
33,BCADCAD,CADDABD,BBCABDD,CDCCDAA,CBABCDB
34,DAAABDD,CCCCCBA,AABCDDC,AAACDDD,DDDCAAB
35,DBABBDD,AABCCDD,ACDCABC,DDCCBAA,DDCBBAC
36,AABBDDD,DDCBAAC,BCDDBAA,BAABCDD,DDDCBAA
37,BABCCDD,CDDDCAA,AABDDDB,AABCDDD,CBCDCCA
38,DDCBAAA,CCDCDAA,BAABDDC,CCAACDC,AAABCDD
39,CDDCAAA,AAACDDC,DDBAACD,DBDAABD,AABADDD
40,ABDBDCA,ACDDBAB,AAABDDD,DDCAABC,BABBDDB
41,BAACDDC,ABDDCBB,DDBBAAD,CDDBAAB,CBCDCAA
42,AACDDCC,DDBAABC,AABCDDD,DDBAABC,CDCCCBA
43,DDCBAAA,AABCDDD,DDAACAB,DDBCBAA,AABBCDD
44,BBBACDD,BCBDCBA,CBAABDD,BAABCDD,CDDBABB
45,ACBBDDA,CDCAABC,CDDDBAA,BCBABDD,ACDCACB
46,AAABDDD,DDDCBAA,ABCDDBA,BAACCDC,DDDBABA
47,AAACDDD,DDDBAAB,CDDDBAA,AABCDDD,CCDDBAA
48,DDCBAAA,BCDDAAA,AABDDCB,DCAAACD,AABCDCD
49,DDBCAAA,ADBDCAA,AAABDDC,DDAABBC,BBAABDD
50,AABCDCD,DDCBAAB,ABCDDCB,DBAABCD,DCCCCBA
51,BCDBDAA,CBABDDD,DBACDAC,DDDBAAA,BCABDCC
52,BCADCAD,BADCACC,BBBABCD,CCBDBAB,BBDAACD
53,ACDBBCD,DDBAABC,ABABDCD,DDCAABD,DDAABCB
54,CAAACDD,ABCBBCD,AABDDDC,DDDCBAA,DCCCBAB
55,CDDCBAA,BCAACDD,DCABCAC,CDDBABA,AABCCDD
56,DDCBBAA,DCDCAAC,AACDDBA,AAACDDC,DBAABCD
57,ABDDCBA,DDBAAAB,ABCDDBA,AAACDDC,CAACDCB
58,ABCABDD,DDBABBC,AABDDCB,BBAABDD,DAADDAB
59,AAABDDD,DDCCBAA,ABCDDCB,AABDDDC,DBABDDB
60,AAACCCD,DDBAAAC,ABCDDCB,DCAABCD,DCCDBAA
61,CBBDBAD,DCAABDD,BAABCDD,CCCDDBA,ACCADDA
62,DAABBDD,CCDDCAA,AABDDCB,BAABCDD,DDCCAAA
63,DDCBAAA,DDCBAAB,ABCDDBA,BAAACDD,DCBBBBB
64,DCCCAAA,AABBCDD,DDCABBA,DDCAAAA,CCCCDAA
65,ACDDAAB,DDDCAAA,AABBDDD,DDBAABC,BBABDCC
66,AACCDCD,DDCBAAA,ABCDDBA,CBAACDD,CCCDDBA
67,AADDCBC,DDDBAAB,BAAABDD,DDDCBAA,AAACDDC
68,DDBBBAA,AABBCDD,DCDAABC,DDDCAAA,DCBBCAB
69,BDDCAAA,DCBAAAC,AABDDCB,DDCBAAB,AABBDDD
70,BBAACDD,DBDDCAA,AAACDDC,AABCDDC,DDDCAAA
71,DDCBAAA,AABCDDD,DCBAADC,DDDCBAA,AAABCDD
72,DBACABB,BBAABDD,CCDBAAC,DDDCBAA,AAACDCD
73,CDCBAAB,DCBAACD,CDDDBAA,BBAACDD,CCCCBCA
74,DCAABBD,CDDCBAA,AABCDDD,BAABCDD,DCCAABB
75,BDDCBAA,AAABDDD,DDBAAAC,DDDCBAA,AABCDDD
76,CDDCABB,AABBCDD,DBDDAAC,CDDAABA,BABBDDD
77,ABDDCBA,DCAAABD,ABCDDBB,DDBBBAB,AAACDDD
78,CACDCBA,AAABCDD,DDDBAAA,CDDCBAA,DDDBBAB
79,DDCBBAA,ADDDBAA,AAABDDC,DCAAABD,AAABCDD
80,ABBDDAD,DCAACBB,AAABDDD,DDBCCAA,BDBCDBA
81,DDCBAAB,ADDDAAB,AAACDDB,DDBAAAD,ABABCCD
82,DDDCBAA,DCAAACD,BCDDBAA,AABBDCD,CBAABDD
83,DDBAABC,CDDDBBA,AACDDCB,AAACDDD,DDDBAAB
84,AAACDDD,CDDBABA,AABCDDD,BAABCDD,DDDCBAA
85,DBABBCD,ABCDDDA,DDCBAAC,ABDDDBA,DDCBAAA
86,DCDCAAB,CDDCAAA,AAABDDC,DDBAABC,AABDCCD
87,BDDDBAA,AAABCDD,DDBAABD,DDDCBAA,AABCDDD
88,DCBBAAB,AACCBBD,ACDCABC,DDDCBAA,DCBABBD
89,DDDBAAA,CDDBAAC,BCDDCAA,BAABCDD,DCCDCAA
90,ACDCDBA,ACCBBDD,BCDDBAA,DDBBDBA,ACCACDB
