,0,1,2,3,4,5,6,7
0,CDBAF,DBADF,FDABE,FBADE,AEEDC,FEDCA,ABDEF,EABEE
1,EEECA,DADEE,ABCEF,DEFBA,AFECB,EEDBA,FECAA,BBCDF
2,AEEDD,ACDFE,FEBAC,ACDEE,FFCBA,FECAB,ABDEE,FEBBB
3,BBBFE,BCFEB,ABEEE,ABDEF,FDBBC,EFDAB,EFDAB,CEFCA
4,AEEDB,ABDEF,FEBAB,ACEEE,AFDCC,FEDBA,ABDEE,EBBCF
5,ABDEF,BCCFD,FECBA,ABDEF,FEDBA,FDABE,ABCFF,CBEEB
6,DCBFB,FCBBC,ABCEF,BEEDA,CAEED,EEDBA,FDBBD,ACEFD
7,AEFCB,CECDB,CBADF,FECBA,CFEBB,BDFEA,ABEFC,BDACF
8,ABDEF,EEDDA,FECAB,ABDEF,FECBA,ECABF,ABDEF,DDDEA
9,FECBA,FDCDA,ABCEF,DEEDA,DEACE,FEDBA,FECAB,BACFF
10,AFEDB,ABDFE,FDABE,ACEEE,AFDCD,FEDBA,ABDEF,FECBA
11,ABDEF,EDDCA,FEDBA,ABDEF,ABEEE,FEDBA,ABDEF,CCFDA
12,FDACE,FECBB,ABCEF,AEFEA,AAEFD,FEDBA,ABCFF,EEDBA
13,ACEEE,DEECA,DBADF,CFECA,ABDEF,EEECA,EAADF,ABCEF
14,FECBA,ADEED,BBCDF,ABDEF,EABDE,FEDCA,FDBBB,CDECB
15,ABCEF,CDFDA,FDABD,ACEEE,CFCBB,FEDBA,ABCEF,DBCED
16,FECBA,ABCDF,ABCEF,CEEDA,CACEF,DEECA,FDBBB,FDCDA
17,FEABB,CCEAE,ABDEF,FEDBA,ABCFF,FECBA,ABCFF,DEEAB
18,EFDBA,AEBFC,FFCBA,AACEF,FECBA,BBBDF,ACEED,EFBCA
19,BBAFF,FECBA,BBCEF,ABDEF,FBBCD,EEECA,FCBCD,ABEEE
20,BCCBF,FECAB,FEDAA,BACEF,ADFEC,FDBAE,ADEBE,EFDAA
21,FCABE,ABDEF,EEECA,FDBBC,AEFDA,BABEF,ACEEE,EEDBA
22,CADFC,BFDAD,FBACE,CDEEA,ABBFF,DDBFA,EEEAA,ABDFE
23,CFECA,ABEEE,BBBEF,FECAB,EBACF,FFDBA,ACCEF,ABFDE
24,ADEEC,FEDBA,ABCEF,EEDCA,BCADF,EEECA,FBABE,ABDEF
25,AEFEB,FEDBA,ABDEF,EEDCA,CBADF,DEEDA,FCBBC,ABCEF
26,DFEBA,FDBBB,CBADF,ADFBD,FEBAB,FEBAB,BBCFD,ABDEF
