,0,1,2,3,4,5,6,7,8,9
0,AAAAAAABCC,CCCBBAABBB,CCCCCAAAAA,AABCCCCBBB,AAAAABCCCC,CCBBBBCBAB,BBBBBBAABC,AAAABBCCCC,AAAAABBCCC,CCCAAAAAAA
1,CCCCCBBBAA,CCCAAAAAAB,AAABBCCCCC,CCCCBAAAAA,CABCBBAABB,ABAAABCCCC,ACAAAAACCC,AAABBCCCCC,AAAAAABCCC,AAABBBCCCC
2,CCCCCBBBAA,CCCCBBAAAA,AAAABCCCCC,BBBBBBABCB,ACCBBBBBBB,ACBACABCCC,AAACBBACBB,AABACBCCCA,AAAAABBCCC,AAABBBBBBC
3,CCCCCCBAAA,AAABCCCBBB,CCCAABBCCB,AAAAAABCCC,BCCCCBAAAA,CCCBBABBAA,AAAABBCCCC,AAABCCCCCC,CCCCCCCAAA,AAABBCCCCC
4,CCCCCCBAAA,AAAAACCCBB,AABCBABBBB,BBAAAAABCC,AABCCCCBBB,CCCCBAAAAA,CCBAAAAABC,AAAABCCCCC,BBBBBBBBBA,AAABBCCCCC
5,CCCCCBBBAA,CCCCBCAAAA,AAAABCCCCC,BBBBBBBCBA,ACCBBABABA,AABCCCBBBB,AACACAACCC,AABBCAACBB,AAAAABBCCC,AABCCCCCCC
6,CCCCCBBBAA,CCCBAAAAAB,AAABBCCCCC,CCCCCAAAAA,AABCCCCCBB,CCBBBBAAAA,BAABBBBBCC,AAAABCCCCC,AAAAABBBCC,AAABBCCCCC
7,CCCCCBBBAA,CCCAAAAABB,AAABBCCCCC,CCCCCBAAAA,CBABCCBBBA,ABAAABCCCC,CCBABCCCAA,AAAAABBCCC,AAAAABBCCC,AAABCCCCCC
8,CCCCCCBAAA,AAAAACCCCC,CCCCBAAAAA,BAAAAABCCC,AAABBBCCCC,AAAABBCCCC,AAABBABBCC,AAABBCCCBA,BBAAAABCCC,CCCCCCBAAA
9,AAABCCCCCC,CCCCCBBAAA,AAABBCCCCC,CCCCBBAAAA,BCBBBABAAC,AABBCBCCBA,BBBBABBAAC,CCCCCAAAAA,AAAAABBCCC,AAABBCCCCC
