,0,1,2,3,4
0,DCEEA,EEACD,ABDFE,FDBAE,EDBEA
1,FFDAA,BBCEF,CADFC,FECBA,BBBEF
2,ACCCF,FEAAD,CEFBA,DBADF,FDBBB
3,BCFAE,CAEEE,EFDAA,EDAEB,ADFBC
4,BDBCF,FEBAC,ABEEE,FDABE,FBACE
5,ACDEE,FECAA,ADFEB,CABEF,EDEDA
6,EEEBA,ABDEF,FEACC,FECBA,BBFEC
7,DFDAA,BBAEF,FBDDB,DFDAB,ADBFE
8,ABEEE,FEBAC,DEEBA,BACEF,EEEDA
9,FECBA,AACEF,EBEAE,FECBA,BBCDF
10,CFCAD,FDABE,ABDEE,EDABF,FECBA
11,ACEEE,FFCAA,ABCFF,FEABD,DDFDA
12,DACEE,ABCEF,ECAED,FECAB,EFDBA
13,ADEDE,EBADF,CBAEF,FEDBA,ACDFE
14,FBACF,BBBEF,CECAE,FEDBA,DCDBD
15,ABEEF,FDABE,ACFED,FDAAD,DDDEA
16,FCBBC,ABCEF,FEABD,EEDBA,FEBBB
17,FBCBC,ABDEF,ECACF,FCABC,DCCBF
18,FEBBB,FECAB,BEFCA,AACEF,FCBAE
19,BBFEB,BABEF,EFCAC,FFDBA,BAEFE
20,ABCFE,CFDCA,ABDFE,DABEF,EFDAA
21,DABEF,EEEDA,ABDFD,AAEEF,FEDBA
22,BDDDD,BEBEC,DBBCF,EDEBB,ACEED
23,EEDAC,BBBFE,ECDAE,FEBBB,DAEDE
24,DFEBA,AACEF,FDBAD,FFDBA,ABDFF
25,DFEBA,AACEF,FDBAD,EFEBA,ABDFF
26,FFDAA,CBBDF,EDFBA,FBACD,BACEF
27,FEDCA,ABCEF,EFBAD,EEEBA,AACEF
28,FCDDA,EEDBA,FEAAE,BFFBB,BBFFA
29,ABDEF,EEEBA,ACEFC,BAEFD,CACDF
30,EFDBA,AACEF,EDEAB,EFDBA,ABCEF
31,CEEAE,BAFDC,BABFE,EEDBA,DABEE
32,FABDC,FECAB,EFDAB,AEFDB,BCEED
33,CBECD,CCEBE,BDADF,EEEDA,EACED
34,EABDF,DEEDA,ABEFD,BADEF,FECAB
35,FABCE,ABDEF,BFDBD,FEDBA,FDBBC
36,ABCFF,FECAC,CEFBA,BACEF,EEEAA
37,CADEF,EEECA,ABEFC,ABDFE,CDEEA
38,FECAA,DEEDA,BACFD,EBAEE,BBCEF
39,EFDAB,AAEFD,EEABE,EDBBE,BCBFF
40,BECFB,BFEBB,BBBFF,FEBAD,BBCFD
41,BADFE,ADFDB,FDCAD,EFCAC,DDFBA
42,ACEED,FDABD,ABDFE,FDAAD,EEEDA
43,FECBA,ABDEF,FCBDB,FDEBA,ABCEF
44,DCAEF,DCFDA,DBADF,BACEF,EFCAC
45,BDCFB,EEABD,DFEBA,CDAEF,BFDCD
46,ABCFE,EFDBA,ADFEB,BADFE,EFCAB
47,BADFE,FECAB,DEEBA,ABEEE,EEEBA
48,FECAA,CEFBB,ABFEC,ECACF,ABEEE
49,FDDAB,CDFCB,BACFE,FCACD,BBBDF
50,ACDEE,FDBAC,ACFEB,EBADF,FCDDA
51,CEDDA,DABEE,EAEEC,EFDBA,DBBEE
52,CCEBE,CDDBE,BCADF,DDFBB,CEACE
53,AECCF,FDABD,BBDEE,FEAAE,FCACC
54,DABEF,BCCDF,ABEEE,FEDBA,FDDAB
55,EFDBA,CCAEF,FBCCC,DFCAB,ABCEF
56,FECBA,FEDAC,BCFEB,ABDFE,EBADF
57,AFEDB,FDABC,ADFDB,ABDFE,DAEEC
58,BCBDF,FDABD,ABFEC,CBADF,EAEDC
59,BACFF,FEDBA,ACFEB,ABEFD,EACEC
60,ABDDF,FDBAC,ACFEC,EBACF,FDEBA
61,DBFAD,FBADE,BABEF,ECEEA,BEBFB
62,EABDF,EEECA,ACEFD,BACEF,FEDAA
63,FECBA,FEBAB,ADFDB,CABEF,FCCBC
64,FCDBB,ABCEF,FFBCA,FEBBB,DEEDA
65,CEFBB,FFDAA,ABCFE,FDABD,DACFE
66,ACEEE,FECAB,ADFDB,DABDF,DEEDA
67,AEECD,EFCAB,BBBDF,FEDBA,ABDFE
68,FDCBB,ABCEF,FEBAC,EFDAA,EDCCB
69,CFEBB,FDBAD,ABFEC,FEBAB,ABDEF
70,CBAEF,EDEBA,AADFE,ABDFE,EFDAB
71,FECBA,ABDEF,FDACE,FFDBA,ABCEF
72,FADBC,CBBDF,DFCAD,FEDBA,ABEEE
73,EFCBB,EDABF,DEFBA,CBAEF,DDDCC
74,FBACE,EEEBA,ABDFE,CABEF,FEABC
75,DFEBA,AACEF,FDBAD,FFDBA,ABDFF
76,EEDAC,ABCFF,DDEAC,EFBBB,BADEF
77,AEFDB,FCABE,ACFDB,FCBCB,AADEF
78,CBFCB,BBBEF,EFCAB,EEEBA,EFBBC
79,FECBA,CEFBB,BACFE,FCABE,BBCDF
80,ACFDD,FCBDC,ABCFE,FDDCA,CDDEB
81,FFBAB,CEFAB,BADFD,FDABD,ABCDF
82,EEDAB,FBABF,CEFBA,ABCEF,EBACF
83,FDABD,EEECA,ACFEC,AADEF,FECAB
84,AACFF,EFCCA,ABDFE,CACFE,EEEBA
85,FABDE,ACFEB,FEBAD,ADFEB,FECBB
86,EEDAB,EEEAA,BACFE,FEABC,ABEDF
87,DFEBA,AACEF,FDBAE,EFDBA,ABDFF
88,FCCBB,ACECF,BFDBC,FEDCA,ECACE
89,FFCAB,EECAC,CEFCA,BACEF,EDEBA
90,BEDEA,AECCF,CEFBA,EDCEA,BDBED
91,ACEEE,FEDBA,ACFEC,CABEF,EEEDA
92,ADEED,FECAA,BBCEF,FEDBA,BCDEC
93,FDBAC,EFDBA,CEFCA,AADFF,ABCEF
94,DFEBA,BBBEF,FBEBB,FEBAB,AADFF
95,DFDAA,FEABE,BBBEF,FEBAD,CABEF
96,FECAA,ABCEF,EDFAC,FEDBA,ABCEF
97,BBFBE,EACFC,ABBEF,FECDA,BFBFB
98,ABCFE,DFDCA,ACEFC,BACFF,EEEAA
99,EFDAA,CCACF,EFDAA,CABEF,DABDF
100,FECAB,ABDEF,FCEBA,DFDAD,AACFF
101,ACEEE,FECAB,BDFCA,FBACE,CDEEA
102,FBDCB,BABEF,BBCDF,FEDBA,CBDCF
103,CFECA,ABDEF,FEBBB,DCBFB,BFACE
104,ABBFF,EEDAA,CEFCA,AADEF,EEEAA
105,EBBFD,AACEF,EFCAA,FECBA,DDCBD
106,AEEDD,DABEF,FECAB,FECAC,ABDFE
107,DEDAD,AAEEE,FECAB,DFEAA,DFBBC
108,CFEBA,BACEF,FCBBE,EFEBA,ABDFF
109,ABDEF,FDABD,ABDEE,FEAAE,EEDBA
110,FBBCD,ABCEF,FEBAB,FECBB,FECAB
111,FBBBD,ABDEF,ABDDF,FEDBA,FCBAE
112,BEFCA,AADEF,CBAEF,FECAA,BEFDA
113,ACFDD,FACCD,CEFBA,DDCCC,FBEDB
114,EFEAA,BFFBB,BADFD,FEABC,ABDEF
115,FBBCE,DAADF,AEDCE,FEDBA,EDCAE
116,CAEFB,DDBAF,FCABD,AEEEC,BEEEA
117,FEDBA,ABCEF,DCFAD,FEDBA,BBCEF
118,ADCFC,BFEBC,BDFDA,BACFE,BECFA
119,ADEED,FEBAC,ABCFF,FEBAC,ABEFC
120,FCCBB,ABDFE,EBADF,FBADE,CECCC
121,BACFE,FEDBA,DFEBA,ABEFD,EFDAB
122,FBACE,EEECA,ACEFC,ACEEE,FEBAD
123,DCBBF,FECAB,ADFDB,DBADF,FCBBC
124,FCCAC,ABCEF,FECCA,DAAEF,DEECA
125,ADFDC,CABEF,FFCBA,ABCEF,CDEEA
126,CFFBA,DBACF,EFEBA,AADEF,BADFD
127,ACDEE,EBACF,DEFBA,DBADF,FEDCA
128,FABCE,ABEFD,ABCEF,FECAB,FECAB
129,FECAB,DFCAD,DFEBA,AACFF,EBABF
130,ABDEF,FDABD,ABCFF,FEAAE,FEDBA
131,FFCBA,ABDEF,FABED,FEDBA,BBCEF
132,BFEBA,ECABF,EFEAA,BABEF,DCDFA
133,BDDCD,EADDD,DBADF,DEDCB,CCCDE
134,CFEBA,AACEF,FDBAE,EFDBA,ABDFF
135,FFCBA,CABEF,FCEAC,FECAA,AACEF
136,ACFDD,FEBAB,ACEEC,EBACF,CBDED
137,ACEEE,FFCAA,ADFEB,CABEF,EEECA
138,ADEED,FCABE,ABDEE,FEBAD,BDEEA
139,BEEAD,BBBEF,EFCAB,ECDAD,ADBEE
140,BACFF,EEECA,ABEFD,CABEF,FECAA
141,DFAEB,CACED,FECBB,ECFCA,EACED
142,FDBBB,BBBEF,EFCAC,FEDBA,BBDCF
143,ACEEE,FECAB,ABEFD,DBADF,EEEDA
144,FCCAC,AEDDD,ABCDF,FEDBA,DCCDE
145,DABEF,FEBAC,ABDEF,FEDBA,EDEBB
146,FEDBA,ABCEF,FCDAD,FEDBA,BACEF
147,DEDCB,BEBDE,EEEAB,FBCEB,ACCEF
148,EFDBA,DBAFE,FBDAD,FDBAD,CADDF
149,DBBDF,FECAB,CEFCA,CABEF,FDAAD
150,ABDFE,DDFDA,ACFEB,ACDEF,DEFCA
151,CFEBA,BACEF,FCBAF,EEDBA,ABDFF
152,BCCCE,BBFDC,ADFDC,DFCBB,AEDEC
153,CEDEA,DEADE,EFCAB,BDFCA,ECCDC
154,EAAEE,CBBDF,CEFAC,EFDBA,FEBBC
155,DFEBA,BACEF,FDBAE,EFDBA,ABDFF
156,FCBBB,ABCEF,FEBBB,FECBA,BCDED
157,ACDDF,FFDBA,ABDFE,FCABE,FDBBC
158,FCBCB,ABCEF,CBBDF,FEDAA,ACDFC
159,EEEBA,ABCEF,CAEFC,FECBA,ABCFF
160,ACDEE,FEDBA,CEFCA,BACEF,EEEDA
161,FDCBA,BBBEF,EFBAD,EFEBA,BBCEE
162,EEEAD,ABCEF,FFBAB,ACECE,BBBEE
163,FEDBA,EFEAA,BBFEB,ABDEF,CBBDF
164,CEEAC,EACED,DCAED,BEDBD,ACDEE
165,DAEDE,EEACE,ABCEF,FEEBA,CBCDE
166,FDDAB,BDFCB,BADFD,ECBAF,CBBDF
167,FBADE,DEEDA,ACFEB,ABEEE,FEBAD
168,DBACF,CCDFA,ECCAE,ADFBD,FEBBC
169,DFDAB,FDABE,EDDAD,FEBAD,BABEF
170,FBBBC,ACCEF,FDABE,FBADD,BBDDF
171,CFEBA,AACEF,FDBAD,FFDBA,ABDFF
172,DEDCA,ACCEF,BCFDA,EFDBA,BDBEE
173,FDBBB,ABDFE,ECACF,EACEC,ADECF
174,DBADF,DDDEA,EABFC,ABFDD,FEABC
175,AFECB,BCBEF,BBBDF,FECBA,AADFE
176,FDCBB,ABCEF,CCAEF,FECBA,DDEBB
177,BBCDF,FEBAC,CEFCA,DBADF,FDBCB
178,FBBDD,EEECA,CFEAC,AEEDD,EEEBA
179,BFECA,BBBEF,ACDDF,EEDBA,DBCBF
180,FFCAB,FFBAC,BEFCA,DBADF,FCABD
181,FCBBC,AADEF,CABEF,FEDBA,ECBAE
182,CFEBA,FEBAC,BEFCA,BACEF,CABEF
183,CFEBA,AACEF,FCBAE,EEDBA,ABDFF
184,DFEBA,AACEF,FDBAD,EFDBA,ABDFF
185,DFCDA,ABFED,DCAFE,CFDCA,ABEEE
186,EACDE,BAEFD,FECAB,EEBBC,CEEAB
187,CFEBA,FDABD,ACFEB,ABEEE,BCBDF
188,DEDAC,CCADF,BDBBF,EEDBA,ACEEC
189,DABDF,EEECA,ABEFD,ACFED,EECAB
190,DEECA,BACEF,DAEEB,FFCBA,DACDE
191,ABEEE,FEDBA,ABEFD,DABEF,EEEDA
192,DFEBA,ABBEF,FBDCB,DFDAA,ADBFE
193,FEBAD,EDABF,EFEBA,BACEF,FDBBB
194,ACCFD,CCADF,DEEAE,FEDCA,BCDFC
195,ABDDF,FEBAC,ABEED,EDABF,FEDCA
196,ADDDF,FEBAC,BBBFF,FEBAC,DEBAF
197,BEDFA,BACFE,FFDAA,DFEBA,EDAED
198,BFBEB,EBECB,EBBCE,CEDDB,CDAEE
199,EEABE,FEABE,EEEAA,CBAEF,FBBCE
200,ACFCE,BCBFE,CEFCA,CEEAE,EBFBB
201,ADCFC,CBCDF,EFDAA,CCBFD,AEEBE
202,FBACF,EEEDA,ABDFE,BADEF,FECAB
203,CFEBA,AACEF,FCBAE,EEDBA,ABDFF
204,FCBBB,ABEFE,EAAEE,CACEF,BCCBF
205,FADBD,BACEF,DDADE,FEBBB,CEEBA
206,EFDBA,FDBAE,DEFBA,CABEF,ECBCE
207,DEBEB,EADDD,CDDCD,CECFA,EBEBC
208,AEECC,FFBAB,ABEFD,FEBAC,ABDFF
209,EEDBA,BACEF,FFBAB,CEFBA,ABCEF
210,FBCBC,ABDEF,FCAEB,FEBBB,EDDAD
