,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,DCBBA,DDCBA,AACDD,DCCAA,DBABD,ABBDD,AABDD,DCBBA,BBBAD,ACDCC,DCBAA,ACDCC,BABBD,CDDAA,CCDAA,AABDD,DAADA,DDBAA,DDBCA,AABDC,AABCD,AACDC,AACDB,AABCD,AABDD,AABCD,DAACD,ABCDD,AACDD,AACBD
1,DCCAA,DCCAA,DDBAA,DDDAA,DDCAA,AACDD,ABCDD,ABDCD,ADDCB,DDCAA,CDCCA,DBBAB,DBCCA,ABDCC,CBDAA,ABBDD,CCDDA,DDAAA,BBBBD,AABCD,AABDD,AACDD,DBBBB,AABCD,ACCCC,AABCD,ACACD,ACDCC,ABDBA,DDBBA
2,BBBDB,DCCBA,DDBAA,DCCAA,DCDAA,AABCD,AACDD,ABDCD,CDCAA,DDCBA,AAADC,BABDD,AACCD,ABDCC,ADDDA,DDAAD,AADCD,BBBBD,BBBBD,AABDB,ACABD,AADCC,DABCC,CAABD,AACDD,ABBCD,ABCCD,BBBBD,AADCC,ACCCC
3,ADCCB,DDCBA,DDBAA,BBBAD,DDBAA,DCBBA,DDAAB,ACCDC,DDBAA,DCCAA,ACCCD,ACCCD,DDCAA,DCCAA,DACDA,CDAAD,DDBAA,DABCD,AADDC,AABDD,AACDD,AABDD,AACCD,BABCD,DDBAA,AABDD,ABCDD,ABCDD,AACDD,AACBD
4,ADCDB,DDCBA,DDBAA,CDCBA,ADDCC,DCBAA,ABCDA,ACCDC,DCBAA,DCCAA,AACDD,ABCCD,ABDCA,DCCAA,DCBAA,DDBAA,DBABD,DCCAA,DCABC,AABCD,AABCD,ACCDC,DCDAB,ABBBD,AABDD,AABCD,ABCDD,ABCDD,AACDD,AACBD
5,BBDBB,DCCBA,DDBAA,DCCAA,CDBAA,AACDD,AABCD,ABDCD,CDCBA,DDCAA,BBDCA,BACDC,DADAB,DACCA,AADDD,DADAA,AACCD,BBDBB,DAAAD,AABDD,AABDD,BBADC,ADDDA,AABCD,ABBDD,BBBBD,ABBDD,ABCCD,AADCC,DDBBA
6,DAAAD,DDBAA,DDBAA,DCCCA,ADCAC,AACDD,AACDD,ABDDD,ADCCA,DCCCA,DDCBA,DBABB,ABDDA,DDBAA,DDBAA,DDDAA,AACCD,CACCC,ABDAD,ABBBD,AABCD,AACDC,DBBBB,ABBCD,BBBBD,AABCD,ACACD,ACDCC,ABDBA,DDBBA
7,CAADD,DCBBA,DDBAA,DDDAA,DDAAC,AACDD,ABCDD,ABDCD,ADCBB,DDCBA,DBBBA,DBBAA,ABDDA,CDDAA,CBDAA,ABBDD,AACCD,DDDAA,ABDAD,AABDD,AABDD,AABDD,ABDDD,AABCD,ABBDD,AABDD,ACCCC,ADDBB,ABDBA,DDBBA
8,ADCDB,DDCBA,DDBAA,CDCBA,ACCCD,ABBDD,CCCDA,ACCDC,DCBAA,DCCAA,ABCDD,ABCDD,ABBCD,AACCD,AACCD,AABDD,AABDD,AAADD,DAACD,AACDD,AACDD,ABDDB,DCBAA,DAABD,AABDD,AABCD,ABBDD,ABCDD,AACDD,AACBD
9,BAACD,ABDCD,DDBAA,DCCAA,DCCCA,AACCD,ABCDD,ABDCD,BDCBA,DDCAA,DCBAB,ACDCC,DCCAB,DAABD,AACDD,ACBAD,CDAAD,CDBCA,ADCDA,BACAD,CCCDA,ADBDC,DACBB,AABCD,ABBDD,AABDD,ABBDD,ABCDD,AACDD,BCBDA
10,ADCDB,DDCBA,DDBAA,BBBAD,DCBAA,DABCC,DDABC,ACCDC,DCBAA,AAADD,DCAAC,ACDCC,DCCBA,DDABA,DDCBA,ABBBD,DDABA,DACBD,ADDCA,BAADD,AABDD,ABCDB,ABDCD,CACAD,CCCCA,AABDD,ABCDD,ABCDD,AACDD,AACBD
