,0,1,2,3,4,5,6,7
0,ACCBBAADD,CBBAABCDD,DDCBAABCD,DCBAABCCD,AACDDCBBB,DDDCCBBAA,AAABCCDDD,DCAAACDDC
1,CDDDCCBAA,CBAACCDDC,AABBBCCDD,CCDDDCAAA,ABDDCCBAB,DDDDCCAAA,DDDDBAAAA,AAABBBCDD
2,AACCCCCCC,AABBCDDDC,DDCBAAABB,AABCCCDDD,DDDCBAAAA,DDDCBAAAA,AABBCDDDD,DDCCBAAAB
3,ABBAADDDC,BABDDDCBA,AAABDDDDC,AAABCCDDD,DDCBBAAAC,CDDDCBAAB,DDDDCAAAA,BBCDDDBAA
4,ABDDDDCBB,AAABCCDDD,DDDCBAAAB,AABCCDDDD,ABDDCBBBB,DDDCCBAAA,AAABCDDDD,DCAAABBDD
5,AAABCDDDD,ABBBBDDBC,DDDCBBAAA,AAABCCDDD,DDDCCBBAA,DDCBAABCD,AAABBCDDD,BBACCDDCA
6,CCCABDDCA,DDCBAABBB,AAABBCDDD,ACDDDCCBA,CBAADDCCC,DDDDCBAAA,DDCBABACB,AAACDDDCB
7,ABDDDDBBA,CADDBBCBB,BBBAAACDD,DDDCBBAAA,BCDDCBAAB,ABCCDDCBA,AABBCDDAD,ABCBAACDD
8,AAABCCDDD,DCDCCCCAA,DDDCBBAAB,AABBCCDDD,DDDBBBAAA,DCCAAABCD,AAABCCDDD,CCCCCBDAA
9,DDDBBBAAA,DDCBBBBAA,AAABBCDDD,BCDDDCBAA,BDDBAACDD,DDDCCBAAA,DDDCCAAAA,AAAABCDDD
10,ABDDDDBBA,AAABCCDDD,DDCBAAACD,AABCCDDDD,AADDCBBCC,DDDCCBAAA,AAABCDDDD,DDCCCBAAA
11,AABBCCDDD,CDCBCDBAA,DDDCCBAAA,AABBCCDDD,AAACDDDDC,DDDCCBAAA,AAABCCDDD,BBBCDDCBA
12,DDCAAACDC,DDCBCBABA,AAAABCDDD,ABCDDDCBA,AAABDDDCC,DDDCCBBAA,AAAABCDDD,DDDCDBBAA
13,AABCCDDDC,CCCDDDBAA,CBAAABCDD,BCDDDCBAA,AAACCCDDD,CDDDCCBAA,DCAAABCDD,AAAABCDDD
14,DDDCBAAAA,AABDCCCCC,AAAABBCDD,AABBCCCDD,DCAAABCDD,DDCCCCBAA,DDCBAABBA,BBBDCDBBA
15,AAABBCDDD,CBBDDDCAA,DDCBAABBC,AABBCDDDD,BCDDBAABB,DDDCCBAAA,AAABBCDDD,CBABBBDDA
16,DDDBBABBA,AAABBDCCD,AAABBCDDD,BCCDCDCAA,CAAABCDDD,CCDCDBCBA,DDCCAABAC,DDDBBBCAA
