,0,1,2,3,4,5,6,7,8,9,10,11
0,ADEFFEECBAA,ABDEFFEDCBA,AAAACDEEFFF,FFFEDDCBAAA,AABEEFEEDCC,AAABCDDEEFF,AAABDFFEEDD,FFEEEDCBBAA,FEEEEEDCBAA,AAABCDDEEFF,DDEEEEEDBAA,AABBCDEFFED
1,CCEFEEEEDAA,FFEEDCBBBAA,ABDDDEEEECC,AABCDDDDEEF,AABCDDEEEEF,EFFFECBAABB,AABCEFFEDCC,DBAABEEEDFE,FFEEEDCBAAA,EFEEEEDCAAA,DEFFDAADCBC,ABBBBBCEFFF
2,AABCEEEEDFD,ADCDDCBBCFF,AABCDEEFFDC,FFEEDCCBAAA,AAABCDEEFFF,AABCDDEEEEF,DEEFFDCBAAA,EEEEEEDCBAA,FFFDCBAABBC,AABBCDDEFFF,EFFEEDCBBAA,FCECCBBBBCD
3,BCCDCCBBBFF,FFFEDCBAAAB,DEFFEDDBAAA,BAAABCDEFFF,FFEDCBAACEF,AAABCDEEEFF,FFEDDCBBBAA,AAABCDEEEFF,FFEDCBAABCD,CEEEEEECBAA,AAABCCDEEFF,EEFFEDCBAAA
4,AABDEEEEEEE,EDCABBBCEDF,AABCCDEEEEF,FFEEDDCBAAA,AAABCDEEFFF,AABCDEEEEEE,AABDFFEDCCC,DEEEFEDCBAA,FFFEEDCBAAA,AAABCDDEFFF,EFFFECBBBAA,BAABCBCEFFF
5,AAABCDDEEFF,AAABDEEEFFE,BDBAEFEBCFB,FFFEEDCBAAA,FFDBBAABCDE,AABBCDDEEFF,DEFFECBBBAA,FFEEDDCBBAA,DBAABBCEFFF,AABBCDDDEFF,EFEDEDBBBAB,CECEEDEEDAA
6,EEDCDCAABFF,FFFEDCCBAAA,DDBBABDCEDF,ABBBBCDDEFF,AAABCDDEFFF,FEFEEDDCBAA,DDCBAABCFFF,EBAABDEEDEE,FFFEDDCBAAA,FDEEEDCBAAC,ABEDDCABCEF,BEDDFFDDCAA
7,AABCEEEFEDE,FEEEEDBAABC,FFCABDDCABD,EFFEDCBAAAD,AACDEFFEDCB,FFEEDCBAAAB,AACDFFFECBA,BAAABCDEFFF,DEEFFEDCBAA,AAABCCDEEFF,CBAABCDEFFF,DBAAABDEFFF
8,AAABCCDEFFF,AAADEEFDCFD,EEFEEEECBAA,EFFEECBBBAA,BAABCDDEFFF,AABBCDDEEFF,FFFEDCBBBAA,FFEEDDDCBAA,CBABBBCDEFF,AACCBBDEFFF,AEFDABEECEC,DFEBCEFCACA
9,FFFEECBBBAA,FFFEDCBBAAA,EFDBEFECAAB,AAABCDEEEFF,AAABDDDDFFF,FEEEEDDCAAA,CEFFFECBAAB,AACDEEFEDBD,FFFEDCBBBAA,EFFEDDDCCAA,ACBBBBDFFED,AABBCEFEEFD
10,AABDEFEEDED,FFEEDBABABB,ABBBCDFFEED,FFFEDCBBAAA,AABBCDEEEFF,AABCDEEEEEE,AABDFFFEDCC,EEEEEEDCBAA,FFFEDDCBAAA,AABBCDDEEFF,EEFFEDDBAAA,FFEEDDCAAAA
11,AAABCDEEEFF,ABBBEEDEFEC,DCEFFEDBAAD,FFFEDDCBBAA,FFDBBAABDEE,AABCCDEEEFF,AAABBDEFFFF,FFFEEDDCAAA,FFFEDCBBAAA,AABBBCDEEFF,AABDFFEDDEC,CDFFEDDDCAA
12,FFEEEDBAAAB,BADCBDFEEED,FCFEDCBBDDA,ABBBCCCDEFF,AABBDDDEEFF,EFFEEEDCBAA,BBABBBDEFFF,FFEEDDCBBAA,FFEEEDCBAAA,BBBBBBCDEFF,BDBCBBDEBDF,DEFEDEDBCAA
13,AAABCDEEEFF,FFEDDBAACDD,FEEEEDCBAAA,FFEDCBAABCE,AABBCDEEEFF,FFEEEDCBBAA,AAABBDEEEFF,AAACDEEEEEF,FFEEEDCCBAA,FFEDBBAABCD,AABCDEEEEEE,AABBCDEFFEF
14,FFFEECBBAAA,BBBBABCCFFF,FEBDCCDCCBC,CACBCBBEEFF,AABBCDEEFFF,ABBBBCCDEFF,FFECBAABBDD,ADDEEEFDCAA,FFEEEDDCBAA,FFEDDCBBAAB,EDFECCBADEA,DFCEEDBBCAA
