,0,1,2,3,4,5
0,DDBHD,AFHFB,BGCDF,BHFDA,GEACG,FFADG
1,GGFBA,AFCFG,BFGFA,BHDCD,HFDCA,CBCEH
2,AFEEF,GGFCA,ACFGG,HFCCA,CACFH,HFCBB
3,CCHFB,GFBAG,CADGH,HCACG,FBEHB,BDGHB
4,BGFCE,FGGCA,ACFGG,CHDEB,GCADH,HEBBE
5,ACFGG,GGFDA,CADFH,HGECA,ABDGH,GDBEC
6,FEGDA,BBDGH,AEGGE,BBGEF,HFCCB,BBEHF
7,DHFDA,FDFEB,FHFCA,DGBBH,HGBBC,BDFCH
8,ACFGG,GGECA,ACEGG,HFCCB,ABEGH,FDFEB
9,HFDCA,CCBEH,BEGGA,EBBGF,HFCBB,BBCGH
10,CHFCB,GGFCA,ACFGG,BHEFB,EBAEH,HGDCA
11,ACFGG,GFFDA,CADGH,AEGFD,GBADG,BEEGC
12,FABFG,DCBDH,ADGGE,BEHFB,HFBBD,FFFEA
13,AEGFF,HGDBB,AEGFD,ACEGG,HGEBB,ACDGH
14,HEBBE,GDCBF,ACEFG,FAEGE,HGDBA,FCFEB
15,ABFGG,HGECA,ACFGG,FGCDA,GCACG,BFDEF
16,HFDBB,ABEFH,AEGGC,BAFGG,GGECA,HGDCA
17,HDBCC,BBCFH,GGFDA,ABGGF,GACEF,HDECA
18,GGCBB,FHFCA,BBCGH,HFDBB,ABEGH,HEDBB
19,BBFGF,HFBBE,ACEGH,GACFF,HGEBA,CADGH
20,BCBGH,EAEGC,GCADG,BHGDA,BBEGG,FGGCA
21,FBAFG,BDEGF,HGCAB,DHGCA,ADFGG,GGFCA
22,CBHCF,FBHEB,HDCEA,ABFFG,FHDCB,ACEGG
23,FGFCA,EGEBE,HGEBA,EABFH,HDBCD,FBCGF
24,BGGDA,FCBDH,BGGEA,BBCGH,HGDBA,ABDGH
25,DGGDA,GCACH,BGGEB,CBCGH,HGEBA,BBDGH
26,GGECA,GGEBA,ADGGF,HEBCD,DADFG,CBBGH
27,HFDCB,DBBEH,ADFFG,DADGH,GGFCA,BBDFH
28,HBDEC,GEDEA,CBEHD,BADGH,GHEBB,BBDHG
29,ACCGH,EFFGA,HBBDG,FHECA,ADGFE,FACEH
30,FGFBA,FCADH,AGHDC,GBAFG,HGEBA,BBCFH
31,CGGEA,FEADG,HEBEB,AFFDG,HFFBB,FEAEG
32,HCBDE,GGCCA,BBDGH,GBAEG,EGFDA,BBEGG
33,DEBHC,DFAFF,BHFBE,ABEGG,FFGDA,FCAFG
34,HBBCG,BAGFG,HGBBC,EHFCA,ACFGG,GGFBA
35,HCBDE,EBCEH,ABDFH,HACFD,HGEBA,GFCDB
36,BCCFH,GFFCA,ACEGH,HFDBA,ACEGG,FGGDA
37,DAEGF,ACFGE,HFCBC,EHFBA,ACFGG,CAFGE
38,HGDBA,AEDGF,HFDCA,BHGCB,DAEHF,CBCEH
39,EHEDA,EBBCH,HFBEA,ABFHF,DECCG,BCDDH
40,ADGCG,DADHE,CAGFG,ADFGF,GEADF,CBEDH
41,DBBFH,CBBGG,GEGCA,CBBFH,HFBBD,EDEHA
42,ACFGG,HGEBA,ACEGH,AGGFB,GCACH,DGDEC
43,HGDBA,CADFH,DEFGA,AGBFF,GGFAB,ABDFH
44,EEBAH,CBEDH,HFECA,ACGGF,ACEGH,FGGBB
45,AEBFH,DEHEA,ACEFH,HECBC,EABGG,BFHBE
46,BCBFH,FFEEA,FACFH,GGECA,ADEHF,FGGBB
47,BBCGH,FGGDA,ABEGH,HFDBB,ADGGF,EDHEA
48,HFECA,ACEGG,FGDAE,GGEBA,DBBFH,BBDHG
49,HFDCA,ACFEG,GGEBA,BHGDB,FACFG,DDBCH
50,ACEFG,GGEBA,ABEGH,GGECA,DBCFH,HCECC
51,BEGEC,BGFBF,FGFCA,CGADG,HFDBB,EFAFF
52,CFCHB,FEAGC,BHDCE,ABDGH,EGGAC,EEGAF
53,AGGDD,GGFCA,ADFGG,AGDGD,GDACG,HEBBE
54,FBBEG,BBFGF,ABDGH,EGEDB,HGDBA,HFDDA
55,EHEEA,FDHCA,FHECA,BEBEH,HFBCC,ABEFH
56,HGDBA,CFEGB,AEFBH,GHDAB,ABFHE,HDACF
57,AEHEC,GGFBA,ABDGH,HGCBB,ACFHD,EBBHF
58,BDFBH,HGEBA,ABEGH,GHEBA,CBCGH,GACGD
59,CBBFH,GGECA,FBBEH,GGEBA,AEGGD,GCAEG
60,BBDGG,FGFCA,ABEGH,GGECA,DBBFH,GEFDA
61,ECGGA,DHFBB,DHFBB,ADGGE,EFHDA,BFCCH
62,HBBDG,ADEGF,HCADF,FHFCA,ABEGG,GGECA
63,GGFBA,GGFCA,ABDGH,HGDBA,BBDGH,HEBDC
64,HEECA,CBCFH,ADFGF,FGEDB,HEBCC,CEGEC
65,BFHEB,DEGFA,BBCGH,AGGEB,GCADG,ECBEG
66,ACFGG,GGFBA,BBEGH,HGDCA,BBDFH,CFDGC
67,ADHFD,HEEDA,ACFGF,ABFGG,HGEBA,BBCGH
68,HFBCB,BBDFH,AEFFF,EAEGG,HFDBB,HEBDB
69,CGGDA,GGDBA,ABEGH,FHDCA,HEBBD,ABDGH
70,EDBCH,FEAFE,HFEAB,BGGDA,ABFHD,GGGBA
71,HGEBA,CBCFH,DGFDA,AAGFG,HGDBA,BBCGH
72,HCDCC,FGEBB,ACFGG,FACGG,HGECA,BBDGG
73,FHEBB,GGFCA,ACEGG,HECCB,BBCGH,DFDFC
74,HFBCD,DDFGB,HEBBD,BGGEB,ABEGH,HFDBC
75,CGGDA,EBBDH,CGGEA,BBCGH,HGDBA,ABDGH
76,EGFCA,HDAEE,FHEAC,GBAEH,HDBDC,DAEFG
77,AEGFD,HGEBB,ABEGH,GGDCA,GCFCC,BBDGH
78,DBFGD,FDACH,ACEGG,HCBCD,GGDCA,GGDCA
79,HFEBA,ABFFG,GGFBA,BGGEB,EBBDH,CBCFH
80,ADEHD,EHFBB,HABEF,AGGEC,GEGBB,BFBGF
