,0,1,2,3,4,5,6,7,8,9,10,11
0,ACDDDDCBBAA,AACDDDDCBAA,AAAABCCDDDD,DDDDCCBAAAA,AABCDDDCCBB,AAABBCCDDDD,AAABCDDDCCC,DDDDCCBBAAA,DDDCCCCBBAA,AAABBCCCDDD,CCCDDDCCBAA,AAABBCDDDDC
1,BBCDDCDDCAA,DDDCCBBBAAA,AACCCCDDDBB,AAABCCCCCDD,AAABCCCDDDD,DDDDDBAAAAA,AAABDDDCCBB,CBAABDDCCDD,DDDDCCBAAAA,DDDCCCCBAAA,CCDDCAACBAB,AAABABBCDDD
2,AAABCDCCCDC,ACBCCBAABDD,AAABCCDDDCB,DDDCCBBAAAA,AAABBCCDDDD,AAABCCCDDDD,CCDDDCBAAAA,DDCDCCCBBAA,DDDCBAAAABB,AAABBCCCDDD,DDDDCCBBAAA,DBDBBAABABC
3,ABBCBBBABDD,DDDDCBBAAAB,CDDDDCCBAAA,AAAABBCDDDD,DDCCBAAABCD,AAABBCCCDDD,DDDCCBBAAAA,AAAABCCDDDD,DDDCBBAAABC,BCDDDDCBBAA,AAAABBCCDDD,DDDDDCBAAAA
4,AABCCDDCCCC,CCBAAABBCCD,AAABBCDDDDD,DDDDCCBAAAA,AAAABCCDDDD,AAABCCDCCDD,AAACDDDCBBB,CCDDDDCBAAA,DDDDCCBAAAA,AAABBCCDDDD,CDDDCBBAAAA,AAABBBBDDDD
5,AAAABCCCDDD,AAAACCCCDDD,ACBACDCBBDB,DDDDCCBBAAA,DDCBBAABBCD,AAABBCCCDDD,CDDDDBBBAAA,DDDCCCBBAAA,CAAAABBCDDD,AAABBCCCDDD,DDDCCCBBBAA,BCBDCCCDCAA
6,CCCBCBAABDD,DDDDCBBAAAA,CCABABCBDCD,AAAABBCCDDD,AAAABCCDDDD,DDDCCCCBBAA,CCBAAAABDDD,DBAABCDCCDD,DDDDCCBAAAA,DCDCCCBAAAB,ABDCCBAABDD,BCCCDDCCBAA
7,AAABCCDDCCC,DCDDDCBAAAB,DDBABCCBAAC,DDDDCBAAAAC,AABCDDDDCBB,DDDCCBBAAAA,AABCDDDCBBA,AAAABBCDDDD,CCDDDDCBAAA,AAABBBCDDDD,BAAAABCCDDD,CBAAABCDDDD
8,AAAABBCCDDD,AAACCDDCBDC,CCDCCCCBAAA,DDDDCBBAAAA,AAAABCCDDDD,AAABBCCDDDD,DDDDCBBAAAA,DDDCCCCBAAA,BAAAABBCDDD,AABBBBCDDDD,ACDCAACCBDB,CDCBBDDBABA
9,DDDDCBAAAAA,DDDDCBBAAAA,CDCBCDCBAAA,AAAABCCCDDD,AAAACCCCDDD,DDDDDCCBAAA,BCDDDCBAAAB,AABCCDDCCBC,DDDDCBBAAAA,DDDCCCCBBAA,ABBAABCDDDC,AAABBCDDDDC
10,AAACDDDCCCC,DDCDCAAAABB,AAAABCDDCDC,DDDCCBBAAAA,AAABBCCDDDD,AAABCCDDDDD,AAACDDDCCBB,CCDDDDCBAAA,DDDDCCBAAAA,AAABBCCCDDD,DCDDCCCBAAA,DDDDCCBAAAA
11,AAABBCCDDDD,ABABCCCCDCB,CBCDDDCAAAC,DDDCCCBBAAA,DDCBAAABCCD,AAABBCCDDDD,AAAABCCDDDD,DDDCCCCBAAA,DDDDCBBAAAA,AAAABBCCDDD,AAACDDCCCDB,BCDDDCCCBAA
12,DDDDCCAAAAA,AACBACDCDDC,DBDCCBAACCA,ABAABBBCDDD,AAABCCCDDDD,CDDCCCCBAAA,AAAAABCDDDD,DDDCCCBBAAA,DDDDCCBAAAA,BAAAABBCDDD,BCBBAACCBCD,CDDCCCCBBAA
13,AAABBCCDDDD,DDCCCAAABCC,DDDDDCBBAAA,DDCCBAAAABD,AAABBCCDDDD,DDDDCCBBAAA,AAAABCDDDDD,AAABCCCCDDD,DDDDCCBBAAA,DDDCBAAAABC,AAABCCDDDDD,AAABBCCDDDD
14,DDDDCBBAAAA,BAABAABBDDD,DCACBBCBBBB,BABBBBBCDDD,AAABBCCDDDD,AABABBBCDDD,DDCBBAAABCC,ACCDDDDCBAA,DDDDCCCBAAA,DDCCCBBBAAA,DCDCBBBACDA,CDBCDCBBBAA
15,AAABBBCCCDD,CCDCDDCBAAA,DDDDDCCBAAA,DDDDCBBAAAA,AAAABCCDDDD,AABCCCDDCCC,ABCDDDCBBAA,CCDDDDCBAAA,DDDDCBBAAAA,AAAABCCCDDD,AABDDDDDBBB,BCABBCDDDCA
16,DDDDCBBBBAA,CDDCAABBAAC,BAABCCBBCDD,AABBBBCCCDD,AABBCCCCDDC,DDCCDDCBAAA,DDBAAAABCDD,ACACDCAABDC,CCDDCBCCCAA,DDCCCCBBAAA,DCCDDDBAAAA,BDCBBDDBAAB
17,DDDDCBBAAAA,ACDDCCCBABB,CDDBAAAACDD,AAAABCCDDDD,ABBCCDDDDBA,DDDDCCBBAAA,AAAABBCCDDD,CDDDCCBBAAA,DDDCCBAAAAB,AAAABCCCCDD,DDDDCBAABBA,DDDDBBAAAAD
18,BCDDDDCBBAA,DDBCCAAACDC,CAAACDDDCBA,DDCCDCBBAAA,DBAABCCDCAD,AAABBCCDDDD,CDDDDCBAAAA,DDDCCBAAABB,AAAAABCCDDD,AAACCCCDCDD,DDDCCBAAAAA,DBBCDCBCBAB
19,ABCCCBBBBBD,BDCCDCCCCAA,DDCBBBBCBAA,ACABBBBCCDD,AAABBCCDDDD,AAABBCCCDDD,DDCBBAAABBB,AAAACDDCCDC,DDDDCCBBAAA,DDDDCAAAAAA,BCDDBAAABDC,AACDBACDCDB
