,0,1,2,3,4,5,6,7,8,9
0,BBBBBBBDEE,EEDCCAACDD,EEEEEAAAAA,AACDEDDDCD,ABABBCEEED,DECCCDDCAB,CCCBBBBACE,AAABBCDEEE,AAABBCDDEE,EEEBBBBBBB
1,DDDDDDDCAA,EEEABBBBBB,AABCCDEEED,EEEECBBBAA,EBCDCCABCC,BCAABCDDEE,BEBAABBEEE,AABCDDDEED,BBBBBBDEEE,AABCCDDEEE
2,DDDDDDDBAA,EEEDDDBAAA,AAABBDEEEE,CCCBBBBCEB,ADECCCCCCC,ADCBDABDDD,BBBDDBBEBC,BABBDCEEEA,AABAACDEEE,AABBCCCCCE
3,DDDDDDDAAA,AAACEEDCCC,DDDAACDDDD,BBBBBACEEE,CEEEDCBAAA,EEEDCBBBAA,BAABBCDDDE,AAACDDDDEE,DDDDDDDAAA,AABCCDDEEE
4,DDDDDDDAAA,BBBAAEEDDC,BBCECACCCC,CBBBBBBDEE,ABCDEDDDCC,EEEDCBBBAA,EDCBBAABCE,AAABBDEEEE,CCCCCDDDDA,AABCCDDEEE
5,DDDDDDDBAA,EEDDDEAAAA,AAABCDEEEE,CCCCBBBECA,BEECCBDACA,ABCDDECCCC,AADADBBDEE,BBBCDBBECC,BAAABCDDEE,AACDDDDDDD
6,DDDDDDDCAA,EEECABBBBB,AAACCDEEEE,EEEEDBAAAA,AABDEEDDCB,EECCDCAAAB,CABCCDDDDE,AAABCDDEEE,BBBBBBBCEE,AABCCDDEEE
7,DDDDDDCCAA,EEEABBBBBC,AABBCDEEEE,EEEDDCBAAA,EDACDDBCBA,BCAABCDDEE,DDDACEDDAA,AAABBBCEEE,AAABBCDDEE,AAABDDDDDD
8,DDDDDDDAAA,BAAAADDEEE,EEEEBABBBB,BBBBBABEEE,AAABCDDDEE,AAABBCDEEE,AABCCBCCEE,BBBCDDEECA,CBBAABCDEE,DDDDDEBAAA
9,AAABDEEEDD,EEDDDDCAAA,AABCDDDEDD,EEEDCBBAAA,CECCCACBBD,ABCBDCEEDA,DDCCBCCBAE,EEEEDAAAAA,AAABBCDDEE,AABCCDDEEE
10,DDDDDDDAAA,BAACEEDCBB,CCCAACDDDD,AAAACDEDDE,EEEDDCBAAA,EEDBBBCCAA,EBCDBDDABB,AAABDDDEDE,DDDDDDDDBA,AABCCDDEEE
11,DDDDDDDBAA,CCCCCEBBBB,AAABBDEEEE,DDCCCBBBEA,DABBADCDEE,ACCCCCEDCD,BBBBBEEEBC,AABBCCDDEE,AAABBCDDEE,AAAACDEEEE
12,DDDDDDDAAA,BBBBABBEEE,DDDDEECAAA,DDCCCBBBAE,ACCCCCDDDD,AAABCCDEEE,AABBBCDDEE,AAABCDEEEC,CBAAABCDEE,EEEEEAAAAA
13,BBBBBBBDEE,DEDCCAACDD,EEEEEAAAAA,AACDDDDDDD,ABACCCEEED,CEBCEBBBBB,BBBBBDCDEE,AAABBCDEEE,AAABBCDDEE,EEEBBBBBBB
14,DDDDDDDCAA,ECCBBBBADE,BBBCCDDEEA,EEDDCCCCBA,BAABBCDEEE,ACCDDDDDCA,ACCCCDDDDE,AAAAADEEEE,AAABBCDDEE,AABCCDDEEE
15,DDDDDDDAAA,AAABEDDDDE,ECABBCCCCC,BAAAAEEDDE,EEDBBBBBBB,EECCBDBBAA,BBBEEADBBD,AAABBCDEEE,EEEBBBBBBB,AABCCDDEEE
16,DDDDDDDAAA,AAAACDDEEE,EEEDABBBBB,CCBBBBBBEE,AABBCDDDEE,AAABBDDEEE,AABDDEDCDE,DDDDEDDAAA,AAABBCDDEE,EDBBBBBBCC
17,DDDDDDDAAA,BBBBAADEED,BBCEEEBBBA,DCCBBBBBCE,AACCDDDDDD,EEDCCBBAAA,EEEDDBAAAB,AAABBCDDEE,AABBBCCDEE,EEEEEAAAAA
18,DDDDDDDAAA,BBBAABEEEE,DDEEEAAAAA,CCBBBBBBEE,AAABCDDEEE,AAABCDDDEE,AAABBCCDEE,CCCDDEEDAA,BAABBCDDEE,EEEEBAAABB
19,DDDDDDDAAA,AAAADDDDEE,EEEDABBBBB,BBBBBADEEE,DEDBBBBBCB,EEDDDDCBAA,CCBCADCBDE,AAABBCDEEE,AAABBCDDEE,EDBBBBBBBB
20,BBBBBBBDEE,EEDCCAACDD,EEEDBBBBBB,ACEEEDCBBB,BDBCABBEED,BDEEBBACBD,EDDDDCCAAB,AAABBCDEEE,EEEEBAAABB,AABCCDDEEE
21,DDDDDDDAAA,AAABEDDDDE,EEEAABBBBB,AAAADEEDDE,EEECBAABBB,EECDCBBAAC,DECBBDAABD,AAABBCDEEE,DDDDDDDCAA,AABCCDDEEE
22,DDDDDDDCAA,EEEDDCAAAA,AAABBCEEEE,EDDDDCCCAA,EAACDDECCB,EEBCCCCCAA,EDDDDDDAAA,AAABBCDDEE,AAABBCDDEE,BBBBBBBCEE
23,DDDDDDDCAA,EEECABBBBB,AAACCDEEEE,EEEEDBAAAA,EDBDCCDBBA,CEBDBBBBCC,CCCBACBBDE,AABBBCDEED,AAADDDDDDD,ABDEDDDCBA
24,DDDDDDCCAA,EEEABBBBBC,AAACCDEEEE,EEEEDBAAAA,EBBBCABCCC,EEDEEAAABB,AAABBCCDEE,AAABDDDEED,BBBBBBBCEE,AABCCDDEEE
25,DDDDDDDAAA,AAAEDDCDDD,EEAABBCCCC,BBAAABEEEE,EEDCBBBBBB,ABDBDDDCCB,EECBBBBABD,AAABBCDEEE,DDDDDDDAAA,AABCCDDEEE
26,BBBBBBBBDE,EEDDCCBBAA,AAABCDEEEE,AADEDDCCCD,EEECCBBAAA,EEDCBBBAAB,BBBBBCCBDE,AEECBBBCCD,EEEEEDAAAA,AABCCDDEEE
27,DDDDDDDCAA,EEECABBBBB,AAACCDEEEE,EEEEDBAAAA,AABBCDDEDE,EDCDDDBAAA,CDEECCACBA,AAACDDDEED,BBBBBBDEEE,ABEEDDDCBA
28,DDDDDDDAAA,BBBBABBEEE,DDDDEECAAA,CCBBBBBBEE,AABBCDDEEE,AABBCCDEEE,AABBCDDDEE,CCDDDDEDAA,BAABBCDDEE,EEEBBBBBBB
29,DDDDDDCCAA,EEEBABBBBC,AAACCDEEEE,EEEEDBAAAA,EACDCDDBBA,DEDDDAAACB,AAABBCCDEE,AAAACDEEEE,BBBBBBCCCE,AABCCDDEEE
30,DDDDDDCCAA,EEECABBBBB,AAACCDEEEE,EEEECBBBAA,BAACEEBDDD,DEDDEDAAAA,ABBCCCCCDE,AAABCCDEEE,AAABDDDDDD,AABCCDDEEE
