,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,EDBBA,EDCBA,AACED,ABCDE,EECAA,EDBAC,ABCDE,BABDE,DDDCA,EDCBA,EDCBA,ABCEE,EDCBA,DBACE,AEDBC,CABDE,ABDDE,ABCEE,ECBBB,ABCEE,EBABE,ECCBA,BECBD,BCBBE,ABDED,AABDE,ABBDE,EBBCC,BDCAD,ABCDE,ABCDE,ABCDE,EECAA,ABCDE,ABCDE,AACEE,ABCDE,ACBCE
1,EDCBA,EECBA,EECBA,EDCAA,EECAA,DDDBA,ABCDE,BBBCE,ABCDE,ACDDD,ADDDC,EDDBA,ECBBB,EECBA,EDBAB,EBACC,ABCDE,EECAA,EBBBC,ABCDE,ABCEE,ADEDA,BABDE,AACEE,AACDE,ABCDE,ABBCE,EDDBA,BBBCE,ABCDE,ACDDD,ABCDE,ABCDE,ABCDE,ADDCD,ABDEB,EDCBA,EDDCA
2,BBBCE,EECBA,EECAA,EDBAA,EECBA,DDDCA,ABDDE,ABCDE,ABBDE,ACDDD,CEDBA,EDCBA,ECBBA,BEECA,ABDEE,ABCDE,ABCDE,DDBAD,DDBAD,EBABE,ABDEE,EBBDB,BEDBB,BBDEB,BBDEC,ADDBD,DBACE,DDDCA,BBBCE,ABBDE,ABCEE,ABDDE,ABCDE,AACED,BBBCE,ABDED,DABDD,EDCCA
3,ACDDD,EDCBA,EECAB,EDCBA,BBBCE,EDCBA,EECBA,BBBCE,ABCDE,ACDDD,EDCBA,EDBBA,BBBCE,BABDE,ACDDD,EEDBA,EDBBA,EDDBA,DEDBA,EBABD,EDCBA,EEBAC,ACCDE,BCBBE,ABDEE,ABCDE,ACDCE,ABCEE,ABCDE,ABCDE,EECAA,ABCDE,ABCDE,ABCDE,ABCDE,AACEE,ABCDE,ACBCE
4,ACDDD,EDDBA,EECAB,EDCBA,EDDBA,ACDDD,EDCBA,BBBCE,DECAA,ACDDD,EDCBA,EDCBA,EDBAC,ABCDE,ABDDE,ABDEC,EDBBA,DEDBA,EDCBA,EDBBA,EDBAC,EDCAA,DEDBA,BBBCE,ABCDE,BABDE,ABDEE,ECBBB,DAACE,BBBCE,ABBDE,ECBBB,ABCDE,ABCDE,ABCDE,AACEE,ABCDE,ACBCE
5,BBDEB,EECBA,EECAA,EDBAA,EECBA,CEDBA,ABCDE,ABBDE,AACEE,ACDDD,BEDBA,EDCBA,EDDCA,EDBBA,ABDED,DBCDB,CECAC,ECBBB,BBBCE,BEDBB,ABDEE,BBBCE,BBDEB,AACEE,AADED,BBBDE,ECCBA,EDBAC,EECAA,ABCDE,ABCDE,ABCDE,ACDDD,ABCDE,ABCDE,ABDED,EDCBA,EDCCA
6,ECBBB,EDCBA,EECBA,EDBAA,DDDCA,ADEDB,ABCDE,ABCDE,ABCDE,ACDDD,ADDDC,EEDBA,EDBBB,EDCBA,DABDE,ABCDE,CDDDA,BACEE,EBBBC,EECAA,ABCEE,DDBAD,BABDE,CABDE,BBBCE,BABDE,ACCDE,ECCCA,BCBBE,ABCDE,ABCDE,ABBDE,ABCDE,ABCDE,ADDCD,ABDEB,EDCBA,EDDCA
7,EBABE,EECAA,EDCBA,EDBAA,EECAB,EECAA,ABCDE,BBBCE,ABCDE,ACDDD,ADDDC,EDDBA,EECBA,EDCBA,EDCBA,ABCDE,ABCDE,BACEE,EBBBC,ABCDE,ABDEE,DABED,AACEE,DDDCA,AACED,BBBCE,ABBDE,ABCDE,BBBCE,ABCDE,ABCDE,ABCDE,BBBCE,ABDDE,DECAA,ABDEB,EDCBA,EDDCA
8,ACDDD,EDDBA,EECAB,EDCBA,EDDBA,ACDDD,ABCDE,ABBDE,EECAA,ACDED,EDCBA,EDBBA,BBBCE,ABCDE,ABDDE,ABCDE,ABCDE,ADDCD,ABBDE,ABCDE,ABCDE,ACDDD,CEDBA,ABBCE,ACDDD,BABDE,ABCDE,EDCBA,EDCBA,BBBDE,ABCDE,ABCDE,ABCDE,DDDCA,ABCDE,AACEE,ABCDE,ACBCE
9,CBBCE,ABDDE,ACDDE,EDBAA,EECAA,EDCBA,ACCDE,AABDE,ABCDE,ACDDD,BEDBA,EDCBA,EDCBA,CABCE,AEDCB,EDDCA,BEDBB,ACDDD,CEDCA,DCABE,DECAA,ECCCA,DDBAD,DECAB,ACBCE,BCBBE,ECBBB,ECBCA,EBABD,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,ABCEE,DBDDA,DCDDA
10,ACDDD,EDDBA,EECAB,EDCBA,BBBCE,EDCBA,DECAB,BBBDE,ABCDE,ACDDD,EDCBA,EDBBA,ABDED,BABDE,ADDCC,ECCBA,EDCBA,EDCAA,EDCBA,BBBCE,EDBAB,EDBAC,CDBAD,EDBAC,AACEE,ABBDE,ABCDE,EAACE,DBCEB,BCBBE,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,AACEE,ABCDE,ACBCE
11,DEBAC,EECBA,EECAA,EDCAA,EECBA,BEDBB,ABCDE,ABBDE,ABBDE,ACDDD,DEDBA,EDCBA,EDCBA,BEECA,EDBAC,DBABE,CABDE,CCBBE,EBBBC,BBBCE,ABDEE,EBBDB,BBBCE,DDDCA,ABDED,ADCCE,ABBDE,BBDEC,CDBAE,BABDE,ABCDE,ABCDE,ABCDE,ABDDE,ABCDE,ABDED,EDCBA,EDCBA
12,ACDDD,EDDBA,EECAB,EDCBA,EDDBA,ABCDE,ABCDE,ABBDE,ABCDE,ECBBB,EDCBA,EDBBA,EDBAC,CBBBE,ACDDD,BACDE,ABCDE,ABCEE,ABCDE,ABBDE,ABBDE,ABCDE,AACEE,ABBCE,ABDDD,ABBDE,ABBDE,DDDBA,EDBBA,ABBDE,ABCDE,ABCDE,ABCDE,ECBBB,ABCDE,AACEE,ABCDE,ACBCE
13,BEDBB,EDCBA,AACED,ABCDE,DECAB,EDBAC,ABCDE,BBBDE,DDDCA,EDCBA,EDCBA,ABCEE,EDCBA,CABCE,ADDCC,BEDBB,ABCDE,ABCEE,EBABD,ECBBB,ABDED,ECCBA,BBBCE,ACCDE,ABCDE,AABDE,ABCDE,AACEE,ABBCE,ABCDE,ABCDE,ABCDE,EECAA,ABCDE,ABCDE,AACEE,ABCDE,ACBCE
14,ADDCD,DDBAD,EDDCA,EDDCA,AEDCC,CDDCA,ABDED,BABDE,ABCDE,BBBCE,ECBBA,ECBBA,EDBAB,EEDBA,EDCBA,BBBDE,AACDE,BBBCE,EBBCB,ABCDE,DEDBA,ABDED,DABDD,CABDE,ABCDE,BCBBE,ABDDD,EBBDB,BABDE,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,ACDCE,ABDEC,CDBAE,BCBBE
15,ACDDD,EDCBA,EECAB,EDCBA,BBBCE,EDBAB,ABCDE,EECAA,ABCDE,ACDDD,EDCBA,EDBBA,ACDDD,BABDE,AEDCB,ECBAC,DDDBA,AACDE,ECBBB,BEDBB,EDCBA,EDCBA,DDDCA,DEDBA,ACDDD,ABCDE,ABCDE,ABCDE,ABBDE,EBABD,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,AACEE,ABCDE,ACBCE
16,ACDDD,EDDBA,EECAB,EDCBA,EDDBA,EDBAD,ABCDE,ABBDE,ECBBB,ACDDD,EDCBA,EDBBA,EDBAC,ABDDE,ACDDE,ABCDE,ABCDE,ABCDE,ABBDE,ABCDE,ABCDE,ABCDE,AABDE,ECAAD,ABDED,AACDE,EDDBA,EDBBA,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,AACEE,ABCDE,ACBCE
17,ACDDD,EDDBA,EECAB,EDCBA,EDDBA,ABBDE,EDCBA,ECAAD,ABCDE,ABDED,EDCBA,EDBBA,EDBAC,BABDE,ABDEE,ABCDE,DEDBA,EDCBA,EDCAA,EECAA,DDDCA,BEDBB,EDCBA,CDBAE,ACDDD,ABBDE,ABCDE,ABBDE,CBABE,ABBDE,ABCDE,ABCDE,ABCDE,ECBBB,ABCDE,ABCDE,ABCDE,ABCCE
18,ACDDD,EDDBA,EECAB,EDCBA,EDDBA,AACEE,ABCDE,ABBDE,DDDCA,ACDDD,EDCBA,EDBBA,EDBAC,ABCDE,ABDDE,ABCDE,ABDEE,ABCDE,ABCDE,ABDED,ABCDE,ABDED,BBBBE,ABCDE,ABDDD,BABDE,ABDDE,EDCBA,ECBBB,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,AACEE,ABCDE,ACBCE
19,ACDDD,EDDBA,EECAB,EDCBA,EDDBA,EDBAB,ABCDE,ABBDE,ECBBB,ACDDD,EDCBA,EDBBA,BBBCE,BABDE,AEECB,DABDC,CDEDA,ECBBB,ECBBB,EECBA,ECBBB,BEDBB,EBABE,BCBBE,ABDDD,AABDE,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,BABDE,ABCDE,ABCDE,EBCDA,EDCBA,EDBAB
20,BEDBB,DDDBA,AACED,ABCDE,EECAB,EDBAD,ABCDE,BABDE,ECBBB,DDDCA,AACEE,ADEDC,EDCBA,CABCE,AEDCB,EDBAB,BABEE,DCABE,BCEEA,BDBAE,CCBBE,EBBCC,DDDCA,EDCBA,ABCEE,BABDE,AABDE,CBDEA,BBBDE,EECAA,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,AACEE,ABCDE,ACBCE
21,ACDDD,EDDBA,EECAB,EDCBA,BBBCE,EDBAB,ABCDE,ABCDE,ABCDE,ACDDD,EDCBA,EDBBA,BDECA,BABDE,ADDCC,DECAA,BBBCE,ACDDD,BBBCE,EECBA,BBBCE,BDEDA,BBBCE,BCBBE,ACDDD,BABDE,ABCDE,ABCDE,ABCCE,ABCDE,DDDCA,ABCDE,ABCDE,ABCDE,ABCDE,AACEE,ABCDE,ACBCE
22,EECAA,EDCBA,EDCBA,EDBAB,EECAA,EECBA,ABCDE,ABCDE,ABCDE,ADDCD,ADDDC,EDDBA,EDCBA,EDBBA,EDBAB,ABCDE,EECAB,AACEE,EBBBC,ABCDE,EBCDA,ECBBB,BABDE,EECAA,AACED,BBBCE,ABBCE,BBBDE,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,AACEE,AACED,EDCBA,EDDCA
23,ECBBB,EECAA,EDCAA,EDBAA,DDDCA,ACEDB,ABCDE,ABCDE,ABCDE,ACDDD,ADDCC,EDDBA,EDBAA,EECBA,EDCBA,DECAB,EECAB,ECBAC,EBCDA,ABCDE,ABCEE,CABED,EBABE,ADCBE,ABDED,BBDEA,BBBCE,EECBA,CCBBE,ABCDE,BBBCE,ADCCE,ABCEE,BDECA,EDCBA,EDCBA,EDCBA,EDCBA
24,DDDCA,EECBA,EDCBA,EDBAA,EECAB,EECAA,ABCDE,ABBDE,ABCDE,ACDDD,AEDCB,EDDBA,EDBBB,EDDBA,EDBAB,BCEDA,ABCDE,BACEE,EBBBC,ECBBB,ABCEE,CABED,BABDE,CABDE,BBBCE,BBBDE,ABCDE,EECBA,ACDDD,ABCDE,BBBCE,ABBDE,ABCDE,ABCDE,ADDCD,ABDEB,EDCBA,EDDCA
