,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,FEBBA,FEDBA,AADEF,FDEAA,ECACF,ABCFF,ABCFF,FDBBA,CCBBF,ADEED,FECAB,ADEEE,BBBCF,DEFAA,EDFAA,ABCFF,FBBFB,FFCAB,EFCDA,BACFE,AACEF,ABDFE,ABEFC,ABCDF,ABCEF,ABCEF,FABDE,ABDEF,ABEEF,BBDCF
1,FDDAB,FEDBA,FFCBA,EEEAA,EFEAA,ABDEF,ACDEF,ABEEE,AFEDC,EEEBA,EEEDA,FCCBB,FBDEA,ABFEE,DCFAB,ABCEF,DDEEA,FFBBB,BBCBF,BBBEF,ABCFF,AAEFE,FCBBB,BACDF,ADEEE,BACEF,ADAEF,ADEDE,BCFCB,FECCA
2,CBBFB,FEDBA,FFCBA,FEDBA,EEEAA,ABCEF,ABDEF,ABEEE,DFDBA,FEDBA,BBBFD,BACFF,ABDEF,ABFEE,AEEEA,EEAAE,ABEEF,BBBBF,BBBBF,BBBFC,AEBCF,AAFDD,FACDD,EABCF,ABDEF,ABCEF,ABDDF,BBBBF,ABFDD,AEEED
3,AEEEC,FEDBA,EFCBA,BCBBF,FECBA,FDBBA,FFABC,ADEEE,FECBA,FEDBA,ADEEE,ADEEE,FFDBA,FDDBA,EAEFA,EFABE,FECBA,EACDF,ABEFD,BACFF,ABDFF,BABEF,ABDEF,BABEF,FFBBB,ABCEF,ABDEF,ABDEF,ABEEF,BBDCF
4,AEEEC,FEDBA,EFCBA,EEECA,AEEED,FDBBB,BCEFA,ADEEE,FECBA,FEDBA,AADEF,ACEEE,ACFDB,FEEAA,FDCBA,FECAA,FCABE,FDDAB,FEACD,BACDF,BACDF,AEEED,EEEAB,BBBCF,ABCEF,ABCEF,ABDEF,ABDEF,ABEEF,BBDCF
5,CBFBB,FEDBA,FFCBA,FEDBA,EFCBA,ABDFF,BBCDF,ABEEE,DFDBA,FEDAA,BBFDB,CADFD,FAFBB,FADDA,AAFEE,FBFBB,ABEEF,BBFBB,FBBBF,BBBFE,BBBEF,BBAFE,AEEEA,ABCDF,ABBEF,BBCCF,ACBEF,ACEEF,ABFDD,FECCA
6,EBBBF,FEBBA,FFCBA,EEEDA,AFEBD,ABDEF,AADEF,ABEEE,AFEDB,EEDDA,EEDCA,FCABC,BCEFA,EFBBB,FFBAB,EEEAA,ABEEF,DAEEE,ACFBF,BBCBF,BACEF,AADFD,FCBBB,ABCDF,BBBCF,ABCEF,ADAEF,ADEDE,BCFCB,FECCA
7,EAAEF,FDCCA,FFCBA,FEEAB,FFAAD,ABDEF,ACDEF,ABEEE,AFECC,FEDBA,FCCBA,FCCBB,BCEFA,DEFAA,DCFAB,ABCEF,ABEEF,EEEAA,ACFBF,BBBFE,BBBEF,ABCFF,ABEEE,ABCDF,ABCEF,ABCEF,AEEEE,AEFCC,BCFCB,FECCA
8,AEEEC,FEDBA,EFCBA,EEECA,AEDEE,ABCFF,DDEEA,ADEEE,FECBA,FDDBA,ACEEE,ACEEE,ABCEF,ABDEF,ABEEF,ABCEF,ABCEF,BBBEF,FABEE,AAEFE,AADEF,ACFFC,FECBA,EBACF,ABCEF,ABCEF,ACBEF,ABDEF,ABEEF,BBDCF
9,BABEF,ACEEE,FFCBA,FDDAA,EEEDA,BADEF,ABDEF,ABEEE,CFDBA,FEDBA,FEBAB,ADEEE,FEEAB,EBACF,BAEFE,AECAF,DFAAE,DFBDA,AFDEA,BBDBF,DEDEA,AFCED,FBDBB,ABCDF,ABCEF,ABCEF,ABCEF,ABDEF,ABEEF,CEBFA
10,AEEEC,FEDBA,EFCBA,BCBBF,FECBA,FABDD,EFABD,ADEEE,FECBA,BBBFF,FDBAE,ADEEE,FDDBA,FEBCA,EEDBA,BBCCF,FEBBB,FADCE,BEFEA,BABEF,ABCEF,ACEFB,ABEEE,DBDAF,EEEEA,ABCEF,ABDEF,ABDEF,ABEEF,BBDCF
11,EECDA,FEDBA,FFCBA,FEDBA,CFCBB,ABDEF,ABDEF,ABEEE,EFDBA,FECBA,BBBFE,FEDAC,DAAEF,ADEEE,AEEDE,BBBCF,ABEEF,AFBED,AEEEE,BACFE,AEBEF,ABFDD,FCCDA,BBBEF,ABDEF,ABCEF,AAEEE,AADEF,ABFED,FEDBA
