,0,1,2,3,4,5
0,BBADB,ACDCA,ADBBC,ADCBA,DCABD,CCABD
1,DDCAA,ACBCD,ACDCA,ADBBB,DCBBA,BABCD
2,ACCCC,DDCBA,ABCDD,DCBBA,BABCD,DCBAA
3,BBDCA,DCAAD,BABDD,DBABD,CACDA,ABDDA
4,ADCBC,CDDBA,ABCDD,BDBCA,DBABD,DCAAC
5,ABCDD,DDCBA,BABCD,DDCBA,AABDD,DBACB
6,CCDBA,AABDD,ACDDC,AADCC,DCBBA,AACDC
7,BDCBA,CBCCA,CDCBA,BDAAD,DDAAB,ABCBD
8,ABCDD,DDCBA,ABCDD,DCBBA,AACDD,CBCCA
9,DCBBA,BBACD,ACDDA,CAADC,DCBAA,AABDD
10,BDCBA,DDCBA,ABCDD,ADCCA,CAACD,DDBBA
11,ABCDD,DCCBA,BABDD,ACDCB,DAABD,ACCDB
12,CAACD,BBABD,ABDDC,ACDCA,DCAAB,CCCCA
13,ACDCC,DDBAA,ACDCB,ABCDD,DDCAA,ABBDD
14,DCAAC,DBBAC,ABCCD,CACDC,DDBAA,CBCCA
15,AACDD,DDCBA,ABCDD,CDBBA,DBABD,ACBCC
16,DCBAA,AACCD,ACDDB,AACDD,DDCBA,DDBBA
17,DBABB,AABCD,DDCBA,AADDC,DABCC,DBCBA
18,DDBAA,CDCBA,AABDD,DCBAA,AACDD,DCBAA
19,AACDC,DCAAC,ABCDD,DABCC,DDCAA,BABDD
20,ABADD,CACDB,DBABD,ADDBA,AACDD,CDDBA
21,CAACD,ABCDC,DDBAA,BDDBA,ABCDD,DDCBA
22,BADBC,CADCA,DBBCA,AACCD,CDBBA,ABCDD
23,CDCBA,CDCAC,DDCAA,CAACD,DBABB,CABDC
24,ADDBA,CBABD,ADDCA,AABDD,DDBAA,AABDD
25,BDDBA,DBABD,ADDCA,BABDD,DDCAA,AABDD
26,DDCBA,DDCAA,ABDDC,DCABB,BABCD,BAADD
27,DCBBA,BAACD,ABCCD,BABDD,DDCBA,AABCD
28,DABCB,DCBCA,BACDB,AABDD,DDCAA,AABDD
29,ABBDD,CCCDA,DAABD,CDCBA,ABDCC,CABCD
30,CDCAA,CBABD,ADDBB,DAACD,DDCAA,AABCD
31,BDDCA,CCABD,DCACA,ACCBD,DCCAA,CCACD
32,DBABC,DDBBA,AABDD,DAACD,CDCBA,AACDD
33,BCADB,BCACC,ADCAC,AACDD,CCDBA,CBACD
34,DAABD,AADCD,DDAAB,CDCBA,ABCDD,DDCAA
35,DBABC,CABCD,AABCD,DABCB,DDCAA,DCBBA
36,ABBCD,DCCBA,ABCDD,DCBAA,ABCDD,CDDBA
37,BACDC,ABCDC,DCBAB,CDCAA,ABCDD,BACDC
38,DDBAA,ACBDC,DCBBA,ADDBA,BACDC,BABCD
39,CDCBA,CAABD,DCACA,AACDC,BCBBD,ABBBD
40,ABDBD,BABDC,BADCD,ABCDC,DCABC,BACBD
41,BAACD,BAADD,DCDBA,BAACD,DCAAB,CBCDA
42,ABCDD,DDCAA,ABCDD,ADDCA,DBABD,BDBCB
43,DDBAA,BABCD,BCCDA,ADACC,DDCAA,AABCD
44,CCAAD,BACBD,DCCBA,ABDDC,ABCDD,CDDAA
45,ACACD,BCDCA,ABCCD,DCBAB,CAADD,ACDAC
46,ABACD,CCCCA,CABCD,DDCBA,ABCDC,CDDAA
47,AABDD,CDDBA,AACDD,DCBAA,ABDDC,CBDCA
48,DCCBA,ABCDD,CDBAC,DDCAA,BAACD,AABDD
49,DCBBA,ABCCD,DDCAA,ADDBA,CABCD,BBABD
50,ABCCD,DDCAA,AACDD,DDCBA,BABCD,DBCBB
51,ACDCB,ADCAC,CDCBA,BDABD,DCBAA,CCACC
52,BCBDA,CCADB,ADBBC,AABDD,CDDAB,CCDAC
53,ADDBB,DDCBA,ABCDD,ADBDB,DBABD,DCAAC
54,CAACD,AACDC,AABDD,CDCBA,DDBAA,DCBBA
55,CDCCA,CBDBA,CDCBA,ACACD,DCABB,AACCD
56,DDBAA,BCCDA,ACCAD,DDBAA,AACDC,DBABC
57,ACDCB,DDCAA,AABDD,DDBAA,ABCDB,CAADC
58,ABCAD,DDCAA,AACDD,DDCAA,BABDD,DABDB
59,BAACD,DDCBA,CAACD,DDCAA,ACDDB,DBACD
60,AABDD,CDCBA,AACDD,DDCBA,BAACD,DCCBA
61,CBDDA,BDCAA,BDCAA,ABDDC,CCDBA,ACBBD
62,DAABD,ABCDC,DBABC,CDCBA,AACDD,DDCBA
63,DDCAA,DDCBA,AABDD,DDBAA,AABDD,DCABB
64,DCCBA,BABCD,ABCDC,CDCBA,DCABB,BCDCB
65,ACDCA,BCDCA,AABDD,ADDCA,DBABD,CBACD
66,ABCDD,DDCAA,AACDD,DDBBA,AABCD,BCBDB
67,ABDCB,DCCBA,ABCDC,AACDD,DDCAA,AABDD
68,DCABA,AABCD,ACCCC,CACDD,DCBAA,DCABA
69,BDDBA,DDBAA,AACDD,CDBBA,DCAAB,AABDD
