,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,CCCAA,CCCCA,AAACC,AAACC,CCCAA,CCCAC,AAACC,AAAAC,CBCCA,CCCBA,CCCAA,AAACC,CCCCA,CCAAC,AACAA,BCAAC,AAACC,AAACC,CCAAA,AAACC,CCAAC,CCACA,AACAC,BBCAC,AAACC,AAAAC,AAAAC,CCAAB,BACAC,AAAAC,AAABC,AAACC,CCCAA,AAACC,AAACC,AAACC,AABAC,AACAC
1,CCBCA,CCCAA,CCCAA,CCCAA,CCCAA,CCCCA,AAACC,AAAAC,AAACC,AACBC,AACCB,CCCCA,CCBAA,CCCBA,CCCAA,CCAAC,AAABC,CCCAA,CCAAA,AAACC,AAACC,AACCA,ABABC,AAACC,AAABC,AAABC,AAAAC,CCCCA,AABAC,AAAAC,AABCC,AACAC,AAACC,AAACC,AACAC,AAACA,CCCCA,CCACA
2,BBAAC,CCCAA,CCCAA,CCCAA,CCCAA,CCBCA,AAACC,AAAAC,AAAAC,AACCC,BACCA,CCCBA,CCBAA,AACCA,AAACC,AAACC,AAABC,CCCAC,CCCAC,CCAAC,AAACC,CCACA,AACAA,AAACA,AAACA,AACAC,BCAAC,CCCCA,AAAAC,AAAAC,AAACC,AAACC,AAACC,AAACC,AAAAC,AAACC,CCACC,CCBCA
3,AACCC,CCCCA,CCCAA,CCCCA,ABBAC,CCCAA,CCCAA,ABAAC,AAACC,AABCC,CCCAA,CCCAA,AABAC,AAAAC,AABCC,CCCBA,CCCAA,CCCCA,CCCCA,CCAAC,CCCAA,CCCAA,AACAC,BACAC,AAACC,AAABC,AACAC,AAACC,AAABC,AAACC,CCCAA,AAACC,AAACC,AAACC,AAACC,AAACC,AABAC,AACAC
4,AACCC,CCCCA,CCCAA,CCCCA,CCCCA,AACCC,CCCAA,ABAAC,CBCAA,AABCC,CCCAA,CCCAA,CCCAA,AAACC,AABCC,AAACC,CCCAA,CCCCA,CCCCA,CCCAA,CCCAA,CCCAA,CBCAA,AAAAC,AAAAC,AAABC,AAACC,CCAAA,CCAAC,AAAAC,AAAAC,CCAAA,AAACC,AAACC,AAACC,AAACC,AABAC,AACAC
5,BBACA,CCCAA,CCCAA,CCCAA,CCCAA,BBCAA,AAABC,AAAAC,AAACC,AACCC,BACCA,CCCBA,CCACA,CCCAA,AAACC,CCACA,BACAC,CCAAA,BBAAC,AACAA,AAACC,AAAAC,AAACA,AAACC,AAACC,AAAAC,CCACA,CCCAA,CCCAA,AAAAC,AABAC,AABAC,AABCC,AAACC,AAACC,AAACC,CCCBA,CCBCA
6,CCAAA,CCCBA,CCCAA,CCCAA,CCCCA,AACCA,AAACC,AAABC,AAABC,AACCC,AACCA,CCCBA,CCCAA,CCCBA,CCAAC,AAACC,BBACA,AAACC,CCAAA,CCCAA,AAACC,CCCAC,ABABC,BCAAC,AABAC,ABABC,AABBC,CCACA,BACAC,AAAAC,AAACC,AAAAC,AAACC,AAACC,AACAC,AAACA,CCCCA,CCACA
7,CCAAC,CCCAA,CCCAA,CCCAA,CCCAA,CCCAA,AAABC,AAAAC,AAABC,AACCC,AACCB,CCCCA,CCCAA,CCCBA,CCCAA,AAACC,AAABC,AAACC,CCAAA,AAACC,AAACC,BCACC,AAACC,CCBCA,AAACC,AAAAC,AAAAC,AAACC,AACAC,AAAAC,AAABC,AAACC,AAAAC,AAACC,CCCAA,AAACA,CCCCA,CCACA
8,AACCC,CCCCA,CCCAA,CCCCA,CCCCA,AACCC,AAACC,AAAAC,CCCAA,AAACC,CCCAA,CCCAA,BBBAC,AAABC,AAACC,AAABC,AAABC,AACAC,AAAAC,AAACC,AAAAC,AACCC,BBCCA,AAAAC,AAACC,AAACC,AAABC,CCCAA,CCCBA,AAAAC,AAAAC,AAACC,AAACC,CCCCA,AAACC,AAACC,AABAC,AACAC
9,BBAAC,AAACC,AABCC,CCCAA,CCCAA,CCCCA,AACAC,AAABC,AAACC,AACCC,AACCA,CCCBA,CCCCA,BCAAC,AACBA,CCBCA,AACAA,AABCC,BACCA,BCCAC,CBCAA,CCACA,CCCAC,CBCAA,AACAC,AACAC,CCAAA,CCACA,CCAAC,AAAAC,AAABC,AAACC,AAACC,AAACC,AAACC,AAACC,BCACA,CCACA
10,AACCC,CCCCA,CCCAA,CCCCA,ABBAC,CCCAA,CBCAA,AAAAC,AAACC,AAACC,CCCAA,CCCAA,AAACC,AAAAC,AACCA,CCBBA,CCCBA,CCCAA,CCCAA,AABAC,CCCAA,CCCAB,BBCAC,CCCAC,AAACC,AAAAC,AAACC,CCAAC,CCACA,AACAC,AAAAC,AAACC,AAACC,AAACC,AAACC,AAACC,AABAC,AACAC
11,CCCAA,CCCAA,CCCAA,CCCAA,CCCAA,AACAA,AAACC,AAAAC,AAAAC,AACCC,BBCBA,CCCBA,CCCBA,AACCA,CCCAA,CCAAC,BCACC,BBCAC,CCAAA,AAAAC,AAACC,CCACA,AAAAC,CCCCA,AAACC,AACAC,AAAAC,AAACB,BBCAC,AAABC,AAACC,AAACC,AAACC,AAACC,AAACC,AAACC,CCCBA,CCCCA
12,AACCC,CCCCA,CCCAA,CCCCA,CCCCA,AAABC,AAACC,AAAAC,AAABC,CCAAA,CCCAA,CCCAA,CCCAB,BBCAC,AACCC,AAACC,AAACC,AAACC,AAAAC,AAAAC,AAAAC,AAABC,AAACC,AACAC,AAACC,AAAAC,AAAAC,CCCCA,CCCAA,AAAAC,AAABC,AAACC,AAACC,CCBAA,AAACC,AAACC,AABAC,AACAC
13,AACAA,CCCCA,AAACC,AAACC,CCCAA,CCCAC,AAACC,AAAAC,BBCCA,CCBBA,CCCAA,AAACC,CCBCA,BCAAC,AACCC,AACAA,AAABC,AAACC,CCAAC,CCAAA,AAACC,CCACA,AAAAC,AACAC,AAACC,AAABC,AAAAC,AAACC,AACAC,AAAAC,AAAAC,AAABC,CCCAA,AAACC,AAACC,AAACC,AABAC,AACAC
14,AACAC,BBCAC,CCCCA,CCBCA,AACAA,BACCA,AAACC,BBACC,AAABC,AACAC,CCABA,CCBBA,CCCAA,CCCBA,CCCAA,AAAAC,AAACC,AABAC,CCABA,AAABC,CCCAA,AAACC,CCACC,BCACC,AAAAC,AACAC,AAACC,CCACA,BBACC,AAAAC,AAAAC,AAACC,AAACC,AAACC,AACAC,AAACB,BBCAC,AACAC
15,AACCC,CCCCA,CCCAA,CCCBA,AABAC,CCCAA,AAACC,CCCAA,AAACC,AABCC,CCCAA,CCCAA,AACCC,ABAAC,AACCA,CCCAC,CCCCA,AAABC,CCBAA,BACAA,CCCAA,CCCAA,CCCCA,CBCAA,AAACC,AAACC,AAABC,AAACC,AAAAC,CCAAC,AAABC,AAACC,AAACC,AAACC,AAACC,AAACC,AABAC,AACAC
16,AACCC,CCCCA,CCCAA,CCCCA,CCCCA,CCCAC,AAACC,AAAAC,CCBAA,AABCC,CCCAA,CCCAA,CCCAA,AAACC,AABCC,AAABC,AAABC,AAABC,AAAAC,AAACC,AAACC,AAACC,AAABC,CCCAC,AAACC,AAACC,CCCCA,CCCAA,AAAAC,AAAAC,AAAAC,AAACC,AAACC,AAACC,AAACC,AAACC,AABAC,AACAC
17,AACCC,CCCCA,CCCAA,CCCCA,CCCCA,AAAAC,CCCAA,CCCAC,AAACC,AAACC,CCCAA,CCCAA,CCCAB,AAAAC,AAACC,AAABC,CBCCA,CCBCA,CCCAA,CCCAA,CCCCA,BACAA,CCBCA,BBCAC,AACCC,AAAAC,AAABC,AAAAC,BCBAC,AAAAC,AAAAC,AAABC,AAACC,CCBAA,AAACC,AAACC,AAABC,AABAC
18,AACCC,CCCCA,CCCAA,CCCCA,CCCCA,AAACC,AAACC,AAAAC,BBBCA,AAACC,CCCAA,CCCAA,CCCAB,AAACC,AAACC,AAACC,AAACC,AAACC,AAABC,AAACC,AAAAC,AAACC,AACAC,AAABC,AAACC,AAABC,AAACC,CCCAA,CCBAA,AAAAC,AAABC,AAACC,AAACC,AAACC,AAACC,AAACC,AABAC,AACAC
19,AACCC,CCCCA,CCCAA,CCCCA,CCCCA,CCCAA,AAACC,AAAAC,CCAAA,AAACC,CCCAA,CCCAA,AABAC,ABAAC,AACCA,CCACB,BABCA,CCAAA,CCBAA,CCCAA,CCBAA,BACAA,CCBAC,BACAC,AAACC,AAABC,AAAAC,AAACC,AAABC,AAAAC,AAAAC,AAACC,ABABC,AAACC,AAACC,CCACA,CCCAA,CCCAA
20,AACBA,CCCCA,AAACC,AAACC,CCCAA,CCCAC,AAACC,AAAAC,CCAAA,BBBCA,AAACC,AACCB,CCCCA,BCAAC,AACBA,CCCAA,ABACC,CCCAC,AAACA,BACAC,BBCAC,CCABB,CCCCA,CCCCA,AAACC,ABACC,AAABC,BCACA,AAAAC,CCCAA,AAABC,AAACC,AAACC,AAACC,AAACC,AAACC,AABAC,AACAC
21,AACCC,CCCCA,CCCAA,CCCCA,AABAC,CCCAA,AAACC,AAAAC,AAACC,AAACC,CCCAA,CCCAA,BACCA,ABAAC,AACBA,CBCAA,AAAAC,AACCC,BBAAC,CCCAA,BBBAC,AACCA,AABAC,BACAC,AAACC,AAABC,AAABC,AAACC,AABAC,AAABC,CCCCA,AAACC,AAACC,AAACC,AAACC,AAACC,AABAC,AACAC
22,CCCAA,CCCCA,CCCBA,CCCAA,CCCAA,CCCAA,AAACC,AAABC,AAACC,AACBC,AACCB,CCCCA,CCBCA,CCCAA,CCCAA,AAACC,CCCAA,AAACC,CCAAA,AAACC,CCACA,CCAAA,ABABC,CCCAA,AAACC,AAAAC,AAAAC,AAAAC,AABAC,AAAAC,AAABC,AAABC,AAACC,AAACC,AAACC,AAACC,CCCCA,CCACA
23,CCAAA,CCCAA,CCCAA,CCCAA,CCCCA,AAACA,AAACC,AAABC,AAACC,AACCC,AACBB,CCCCA,CCCAA,CCCBA,CCCAA,CBCAA,CCCAA,CCCAB,CCACA,AAACC,AAACC,BCACC,CCAAC,AACAC,AAACC,BBACA,AAAAC,CCCAA,BBCAC,AAACC,AABAC,AACAC,AAACC,AACCA,CCCAA,CCCBA,CCCAA,CCCBA
24,BBCCA,CCCAA,CCCAA,CCCAA,CCCAA,CCCAA,AAACC,AAAAC,AAACC,AACCC,AACCA,CCCCA,CCCAA,CCCBA,CCCAA,BAACA,AAABC,AAACC,CCAAA,CCAAA,AAACC,BCACC,ABABC,BCAAC,AABAC,AAAAC,AABAC,CCCAA,AACCC,AAAAC,AAAAC,AAAAC,AAACC,AAACC,AACAC,AAACA,CCCCA,CCACA
25,AACCC,CCCCA,CCCAA,CCCCA,AAACC,CCCAA,AAACC,CCCCA,AAACC,AABCC,CCCAA,CCCAA,AAACC,ABAAC,AACCA,CCCAA,CBCCA,BBCCA,CCCAC,CCCAA,CCCAA,BBACA,CBCAA,BACAC,AAACC,AAAAC,AAABC,AAACC,AAACC,AAAAC,CCCAA,AAACC,AAACC,AAACC,AAACC,AAACC,AABAC,AACAC
26,AACCC,CCCCA,CCCAA,BBCBA,CCCAA,CCCCA,CCCAA,AAAAC,AAACC,AAACC,CCCAA,AACCC,CCBCA,AAAAC,AACCA,CCCAA,CCCBA,AACCC,CCCAA,CCACA,ABBAC,BCACC,AABAC,AACAC,AAAAC,CCCAA,AAAAC,ABAAC,AAABC,AAAAC,AAABC,AAACC,AAACC,AAACC,AAACC,AAACC,AABAC,AACAC
27,CCACA,CCCAA,CCCAA,CCCAA,CCCCA,AACCA,AAACC,AAAAC,AAABC,AACBC,AACCC,CCCCA,CCCAA,CCCBA,CCAAC,AAACC,AAABC,AABCA,CCAAA,CBBCA,AAACC,AAACC,CCAAA,CCACC,AAAAC,AAABC,AAAAC,CCCAA,BACAC,AAACC,AABCC,AAACC,AAACC,BACCA,CCCAA,CCCBA,CCCAA,CCCBA
28,AACCC,CCCCA,CCCAA,CCCCA,CCCCA,AAAAC,AAACC,AAAAC,AAABC,CCAAA,CCCAA,CCCAA,CCCAB,AAACC,AAACC,AAACC,AAACC,AAACC,AAACC,AAACC,AAABC,AAABC,ABACC,AACAC,AAACC,AAABC,AAABC,CCCAA,CCCAB,AAAAC,AAABC,AAACC,CCCAA,AAACC,AAACC,AAACC,AABAC,AACAC
29,CCAAC,BACBA,CCCAA,CCCAA,CCCCA,AACCB,AAACC,AAAAC,AAABC,AACCC,AACCA,CCCCA,CCCAA,CCCBA,CCAAB,CCAAB,CCCAA,AAACC,CCAAA,CCAAA,AAACA,BCACC,ABABC,BCAAC,AAACC,AAACC,AABCC,CCCAA,AACAC,AAAAC,AAABC,AACCC,AAACC,AAACC,AACAC,AAACA,CCCCA,CCACA
30,CCABB,CCCAA,CCCAA,CCCAA,CCCCA,AACCA,AAACC,AAABC,AAABC,AACCC,AACCB,CCCBA,CCBAA,CCCBA,CCACA,AAACC,AAABC,CCCAA,CCAAA,CCCAA,AAACC,AAACC,ABABC,BCABC,AAACC,BCABC,AAAAC,CCCAA,AAACC,AACCC,AAABC,AAACC,AAACC,AAACC,AACAC,AAACA,CCCCA,CCACA
31,CCCAA,CCCCA,AAACC,AAACC,CCCAA,CCCAC,AAACC,AAAAC,CCCAA,CCACA,BBBAC,AAACC,CCCCA,BCAAC,AACCB,CCCAA,BBACA,AAACC,AACCA,CCAAA,AAACC,AACCC,BACAA,BBCAC,AAACC,AAAAC,AAABC,BACAC,AAAAC,AAAAC,AAABC,CCCCA,AAACC,AAACC,AAACC,AAACC,AABAC,AACAC
32,AACCC,CCCAA,CCCAA,CCCAA,CCCAA,AAACA,AAABC,AAAAC,AAACC,AACCC,BBCCA,CCCCA,CCCCA,AAACB,CCCAA,AAACC,CCAAA,CCCAC,CCAAA,AAACC,AAACC,CCACA,AAACC,AAACC,AAAAC,AAACC,CCAAC,CCCCA,BCACC,AAAAC,AAAAC,AAACC,AAACC,AAACC,AAACC,AAACC,CCCBA,CCBCA
33,AACCC,CCCCA,CCCAA,CCCCA,AAACC,CCCAC,AAACC,CCCCA,AAACC,AABCC,CCCAA,CCCAA,AABCC,ABAAC,AABCC,AAAAC,AAACC,AAAAC,AAACC,AAACC,AACAC,AAACC,CCCAC,AABAC,AAACC,CCCCA,CCCAA,BBAAC,AAABC,AAAAC,AAAAC,AAACC,AAACC,AAACC,AAACC,AAACC,AABAC,AACAC
34,AACCC,CCCBA,CCCAA,CCCCA,CCCCA,AAACC,AAACC,AAAAC,BBBCA,AAACC,CCCAA,CCCAA,CCCAB,AAAAC,AACCA,CCCAC,AACAA,AABCC,AACCC,CCBAA,CCCAA,BBBAC,CBCAA,BACAC,AAACC,AAABC,AAACC,AAAAC,AAABC,AAAAC,AAAAC,CCCCA,AAACC,AAACC,AAACC,AAACC,AABAC,AACAC
35,AACAA,CBCCA,AAACC,AAACC,CCCAA,CCCAC,AAACC,AAAAC,CCAAA,CCACA,AAACC,AACCB,CCCCA,BCAAC,AABCC,BBACA,AACAC,CCACA,CBCAA,AABCC,BBCAC,AAACC,BBCAA,BBCAC,AAACA,AAACC,AAABC,CCACA,AAAAC,AAABC,AAABC,CCAAA,AAACC,AAACC,AAACC,AAACC,AABAC,AACAC
