,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,EEEAA,EEEEA,AAAEE,AAAEE,EDEAA,EEEAD,AAAEE,BBAAE,DDDEA,EEDBA,EEEAA,AAAEE,EEEEA,DEAAE,AAEAB,CDAAE,AABEE,AAAEE,EEAAA,AAAEE,EEAAE,EEBEA,BAEAE,BBEAE,AAAEE,AAAAE,AAAAE,EEAAC,BAEAE,AAAAE,AAACE,AAADE,EEEAA,AAAEE,AAAEE,AAAEE,AABAE,AAEAE
1,EECEA,EEEAA,EEEAA,EEEAA,EEEAA,DDEEA,AAADE,BBBAE,AAADE,AAEDE,AAEEC,EEEEA,EEDAA,EEECA,EEEAA,EEAAE,AAABE,EEEAA,EEAAB,AAAEE,AAAEE,AADEA,BBACE,AAAEE,AAADE,AAABE,AABAE,EEEEA,BBBAE,AAABE,AACEE,AADAE,AAAEE,AAAEE,AAEAE,AAAEA,EEEDA,EEBEA
2,BCBAE,EEEAA,EEEAA,EEEAA,EEEAA,DDBEA,AAAEE,AAABE,AAAAE,AAEDE,CAEDA,EEEDA,EECBA,BAEEA,AAAEE,AAAEE,AAABE,DDEAE,DEEAE,EEAAE,AAAEE,EEAEA,BAEAA,BBAEA,BAAEB,AAEAE,DEAAE,DDEEA,BBBAE,AAAAE,AAAEE,AAAEE,AAAEE,AAAEE,BBBAE,AAAEE,DEAEE,EECEA
3,AAEEE,EEEEA,EEEAA,EEEDA,BBCAE,EEEAA,EEEAA,BBAAE,AAADE,AABEE,EEEAA,EEEAA,BBCAE,BBAAE,AACEE,EEECA,EEEAA,EEEDA,DDEEA,EEAAE,EEEAA,EEEAB,AAEAE,BBEAE,AAAEE,AAACE,AAEAE,AAAEE,AAACE,AAADE,EEEAA,AAAEE,AAAEE,AAAEE,AAAEE,AAAEE,AABAE,AAEAE
4,AAEEE,EEEDA,EEEAA,EEEDA,EEEEA,AADEE,EEEAA,BBAAE,DCEAA,AABEE,EEEAA,EEEAA,EEEAB,AAAEE,AABEE,AAAED,EEEAA,DDEEA,EEEDA,EEEAA,EEEAA,EEEAA,DCEBA,BABAE,AAABE,BBACE,AAAEE,EEAAA,DEAAE,BBAAE,AAAAE,EEBAA,AAAEE,AAAEE,AAAEE,AAAEE,AABAE,AAEAE
5,BCAEA,EEEAA,EEEAA,EEEAA,EEEAA,CBEAA,AAABE,AAAAE,AAAEE,AAEDE,BAEEA,EEEDA,EEBEA,EEEAA,AAAEE,DEAEA,CAEAD,EEAAA,BCBAE,BAEAA,AAAEE,BBBAE,BBAEA,AAAEE,AAAEE,BBAAE,EEADA,EEEAA,EEEAA,AAAAE,AABAE,AABAE,AADEE,AAAEE,AABDE,AAAEE,EEEDA,EECEA
6,EEBAA,EEEBA,EEEAA,EEEAA,DDEEA,AAEEA,AAAEE,AAABE,AAADE,AAEEE,AAEEB,EEEDA,EEEAA,EEEDA,DEABE,AAAEE,CCAEA,BBAEE,EEAAB,EEEAA,AAAEE,DDEAE,BBACE,CDABE,BBCAE,BCABE,AACCE,EEAEA,BBEAE,AAAAE,AAADE,AAABE,AAAEE,AAAEE,AAEAE,AAAEA,EEEDA,EEBEA
7,EEAAE,EEEAA,EEEAA,EEEAA,EEEAA,EEEAA,AAADE,BAAAE,AAADE,AAEDE,AAEEC,EEEDA,EEEAA,EEECA,EEEAA,AAAEE,AAABE,BBAEE,EEAAB,AAAEE,AAAEE,DEAEE,AAAEE,DDCEA,AAAEE,BBAAE,AAAAE,AAAEE,BAEAE,AAAAE,AAADE,AAAEE,BBBAE,AAAEE,DDEAA,AAAEA,EEEDA,EEBEA
8,AAEEE,EEEEA,EEEAA,EEDEA,EEEEA,AAEDE,AAAEE,AAAAE,EDEAA,AAAEE,EEEAA,EEEAA,BBDAE,AAABE,AABEE,AAACE,AAABE,AAEAE,AAAAE,AAAEE,AAABE,AAEEE,CCEEA,AABAE,AABEE,BBADE,AAACE,EEEBA,EEEBA,BBAAE,AAABE,AAADE,AAAEE,DDDEA,AAAEE,AAAEE,AABAE,AAEAE
9,CDAAE,AAAEE,AACEE,EEEAA,EEEAA,EEEEA,AAEAE,AAABE,AAAEE,AAEEE,BAEEA,EEEDA,EEDEA,CDAAE,AAECA,EECEA,BAEAA,AACEE,CBEEA,DDEAE,DCEAA,EEAEA,DEEAE,DCEAA,AAEAE,BAEAE,EEABA,EEAEA,EEAAE,AAAAE,AAACE,AAAEE,AAAEE,AAAEE,AAAEE,AAAEE,DDAEA,DEAEA
