,0,1,2,3,4,5
0,BDBAFFC,ACFFECA,AFEBBDE,BFFDDBA,EECAADF,EECABEE
1,EEEECAA,ACDBDEF,ADEFFBA,AFECACC,FFDCBBA,BBBBDEF
2,ADDDDCE,EEEECAA,ABCDEEE,FFDCBBA,CBABDFF,FFDCBAB
3,BCBFFBA,FEDAACE,BAACEFF,FDBABDE,ECADFEA,ABDFFDA
4,AEEEBBD,EEEEDBA,ABCEEEE,BFECDCA,EDAABEF,FECABBD
5,AACDEFF,EEEEDBA,CAACDFF,FFEDBBA,AABCEEF,FDBBDDB
6,EEDFEBA,BABCEEF,ABDEEEC,CADEDEE,FFDCBBA,ABADFFD
7,CEFEDAA,FCCEEBA,DFFDCAA,BEDBADF,FFEBABB,ABDEBEF
8,AACDEFE,FFEDCAA,AACDEEF,FEDCBBA,AABDEEF,ECEDCEA
9,FFDCCAA,CCBACFF,BCEFFDA,CEABEEE,FFDCBBA,BBBBDFF
10,AFFECAB,EEEECAA,ABCEEEE,AFEDDDA,DCAACEF,FFECBAA
11,ABCDEEE,EEEEDBA,CAACEFF,ABEEEDC,FDAABDF,ADCDFDA
12,ECABDEE,DCBBBDF,ABDEEEC,ABEFECB,FFCBABC,EEEEDBA
13,ABDEEDE,FFECBAB,ACEEEDC,AACDEFF,FFEDBAA,ABCCEFF
14,FECBABE,EDDBBBE,ABCDEEF,EAACEED,FFECBAA,EDCDECB
15,AABEFFE,FFEDCAA,AACDEEE,DFDCCCA,FDBABDF,AECCCFD
16,FEDCCAB,ABBDDEF,ACDEEEB,BABDEEE,FEEDCBA,FFDCBBA
17,FEBBCBB,BABCDFF,EEEECBA,AACEFED,FBABCDE,FECDCAB
18,FFECBAB,EEFDCBA,BBBBDFF,FFDCBAA,AABDEFF,FEDCBBA
19,BBAEFFD,FDEBABD,ABCDEEF,FAACDEE,FFEDBAA,BAACFEF
20,BBBBDFF,EBADFDB,FDAACDF,ADFEDBA,BABDEFE,DEEFDAA
21,ECAACFF,AADDFFC,FFECAAB,CEFECBA,ABDDEEE,EEEECBA
22,CACFCBF,EBBFEBB,FFBCDCA,ABBEEEF,DEFCBDA,AACDEFE
23,EFEDDAA,CFDDBAE,FFEDBAA,DBABDFF,FEBABCC,ECABFCE
24,AEFFDBA,ECBABEF,AEFEDCA,BBABEFF,FFECBAA,ABBCEFF
25,BEFEDBA,EDBABDF,ADFFECA,BBABDFF,FFEDBAA,ABBCDFF
26,EFEDCAA,FEEDBAA,ABDEFDE,FFCABCC,EAACEEF,CBABDFF
27,FFDDBCA,CBBBCEF,ABDEDEE,CAACEFF,FEEDCAA,BABCDFF
28,FDACCDB,FDDCDDA,BBADFFB,BAACEFF,EFFCBAB,BABCFFE
29,ABBCEFF,DDDDFCA,FCAACDE,DFFDCBA,ABEFEDC,EBABDEF
30,EFFECAA,ECBABEF,ADFFDBC,EDAACEF,FFEDBAA,ABBCDEF
31,BEEEEAA,EECABEF,FFBBDCA,ABEEDDE,FEEDBAA,DEBACEE
32,FEAABDD,EFECCBA,BABCEFF,FCAACEF,DFFDCBA,AACDFFD
33,CECAFEB,BFCACFC,ADFDBBD,AACDEEF,EEEEDAA,DEAADDF
