,0,1,2,3,4
0,DFECBGHGCAC,FHHFCAACFFE,AABCDEHHGFF,HGFFECAABEG,GGGDBCFGFAA
1,GHGGGEBBABB,BBABCCDFHHH,DDAABEHHFDD,HHHGFDCCBBA,BBBBBCDFHHH
2,ACEDCDDCGGH,HHGECAAACEF,BEFFGHGCBAA,FEDBAABDFHH,HHGFDCBBCBB
3,BDCDHHDABFF,FCAACFGGFFG,FGGHGECBAAB,EGGDBADGHEA,ABDFHHGBBDE
4,ADFFDBBCEGH,HHHFDBAABDE,ABCCCEHGFFF,GGGECAABDFH,HHDCAABDEFF
5,AABDEEGGGGG,HHGGFDCBAAB,ABCFGHGFECB,ECBABCDFGHH,GFFEFFFFDAA
6,GGFGHGDBAAA,AABCDEFGGHH,HGGFDBACFCC,HHHGECCBBAA,ABABFHHGEDC
7,DGHHGEDABBA,CBCCBBCGHHG,HGCACEGFCAC,DFGHHEBABBB,AABEEBCGHGG
8,AABDEFGGGGF,HGGGDCAABDE,EFGGHGDBBAA,CCBABCEGGHH,FFFFFFFEDAA
9,HHFFEECBBBB,BAABCDFGGHH,GFEBCGFAAFG,HHGGEDCBBBA,BBBCBCEFFGH
10,AGHGFDBABEF,HGGDBAABEFG,ABBBCEHGFGG,GFFDBAABEGH,HHGFEDDBBAA
11,AACDFFGGGFG,HGHGFDCBAAB,ABBBCCEHHHG,HHGFCAABCEG,CFFFFHGFBBA
12,FDAABEFGGFF,BBBBBCEGGHH,GGFDAAAFHFE,HHGGECBABBC,GGGGGFECAAB
13,AADFGFEEFFF,HFDBAACEGGG,DDCBAADFGHH,GGGGGFDBAAA,ABCCDEFGGGF
14,HGDBBAACFGG,CBBBBCCFGHH,DEFGHDAACEG,HGGGFECBBAA,EECEDFECABH
15,AABCFGGFFGG,HGFEBAABDFG,ABCCDGHFDDE,HHGFCBAACEG,CFGEFEFGDBA
16,HHFECDABBCE,ABBCCDEGHHH,HGGFDAABCFF,GGGGFFDCBAA,HHGFDCDBBAE
17,HHEBCDCCCDC,AABCEFFGGGG,GGECAABCFHH,HHFDBABCCDD,EECDDDBBCFH
18,GHHFDCBBCBB,HHGFFDBBBBB,BCEFGHGDCBA,ABBBCDFGGHH,HHEEDBBBAEG
19,BCBBGHGHDCA,CCBBBBDFGHH,FGGHHCAABCD,GGGGFEDBAAA,BBABDGFHGFF
20,BBCBBDGHHGF,CEGHGFDECAA,AABCDEGHGGF,EDCAACDFGHG,FGGHHFCABBA
21,FDAAACFGGGG,FFFGGFFECAA,BAACDFGHGFD,BAABDFGGGGG,GGGGFEDDAAB
22,DBAFHEBDHGC,ADHGBBCHGDD,DEDBBBCCGHH,FGFEGFCACEA,AACCEFGGGHB
23,FGGGFEBAADE,DCCBABEHHGF,HFCDFGBABEH,HHHFCBBBCCC,EFBACGECHFF
24,CFGHHGECBAA,BAABCDFGHHH,HHGDBBBABDG,GGGGGFDBAAA,AABBCEFGHHG
25,DGGHGFECBAA,BBABCDFGHHH,HHGECCBABDG,GGGGGFDBAAA,AABBCEFGHHG
26,GHHGFECBAAA,DDCBBBCEGHH,GGEFGHFBAAB,HHFBAABEDEF,CBAABDFGHHH
27,HHFFFDEEBAA,ABBBCDEGGHH,GFGGFCAABEF,FGGGGFFCBAA,BAABCDEGHHH
28,HHCCEEFECBA,GGFGGEBDBAC,GHHFCBAACFG,ACFHHGECCBB,DBBDEHHHEAB
29,ABBBCEGGGGH,GGGGGFECBAA,AABCEGHHFED,CBAADGHHGFE,ECABCCDFFFH
30,GGHGGECBBAA,BBABCDEFGHH,GFEEGGDAAAF,GGGGGFDCBAA,BBBBCCDFHHH
31,BEGFGGCABFF,EBABGHGEFDC,BBBBBCFHHGF,FGHGFFEDAAA,EFEAABFFGGG
32,HHDAACDFECE,HGFFFDBBAAD,EGGHGECAABD,ABEGHGGEECA,BBBDEFGGDBH
33,DDFBAGHDBDH,FBADHGBBDGF,CBCEDABFGGH,EGGFEFGFBAA,EGDAADFFGHC
34,GEBBBBBEGHH,FFGFFGFEDAA,AABCDFHHGFE,CBAACEFGGHG,GGGGFEBBAAD
35,HGCABCCCFGF,AABBDEFFGGH,BCFHHFBBCDE,HHGGFEDBBAA,GHFFBCDDABG
36,AABCBDEGHGG,GGHGEEBAACE,CEFGHHFCBAA,CBAABEEGHHG,FGGGHFDBABA
37,EBAAEDGDGGH,FGGGGGEDBAA,BAACEGHHGEC,AABBDEGGGGG,FCCEGFGFFBA
38,HHGFEDBBBBB,FFEGGFGFBAA,CCBABDGHHFE,FGEBAADGGFF,BCBBBCEGHHG
39,DGHHEFCABCA,BBBACFHHGFE,FGHFBAABDFG,HEBEFBCBCFG,BBBDCAEHGHG
40,ADDHGCDHGCA,BCGHHGEBABC,BBBBCCEHHGH,HGGFEBAACEE,FAADECDHHDE
41,DBBABFEGHGF,BACFHHEFCBD,HGGDDDBAADG,FGHGFDBABCD,GDEFFHGBBBA
42,AACEFGGFGFE,HHGEBAABCEF,AABCCEGHHGG,HHGECBABBEG,EGGFFGFFDAA
43,HHGFEDBBBBA,AABCDEFGGGH,HHGDABFFCBE,HHGDEFEBAAB,AABBCDEGGHH
44,DEDDBABGHHG,CFECFHGECBA,GECBABBEGHH,CBAADCEGGHG,EGGHGEAACEC
45,BBFFCCGHGCA,FHHFCAABDEF,EFGGHGDBAAA,BDFEBABEHHF,BBEHHEACFGB
46,BBBBBCFHHGG,GFGGGEECAAA,ABCEFHHGECB,DCAADEDGHFG,GGGHGDAACBB
47,BBBACFGHGGG,HHHGFDBAABD,DFGGHGECBAA,AAABDFGGGGG,GEEFHGFCAAA
48,HHGGFECBABB,BEFGHHDBBCA,BBACFGHGFEB,GGECAABCEGH,BAACCGHGFFG
49,HHGEDEDBAAC,BEGFDHHDBCB,CBBABCGHHGF,HHFDAABDDDG,CCCCBBBEGHH
50,AACCEEFGFGH,HHGEDCBABCD,ABCDFHHGEDC,GFDBAABEFGH,HGEDFEEFCBA
51,BDFGGCHFBAD,FDCAACGGGGG,GECABFHGCBF,GGHHFDCBBAA,CGFAACGFEGF
52,CCGBBHHBAEG,FBAFHEBBDGE,CCCECABEFGH,CGFDFHGCAAC,ECDGFAADFGG
53,ACFGFDCCDGH,HHGECAABDEF,ACCBBDHEEGH,HGGFDBAACEG,HHFBBBBDEDD
54,FDBABBFFGHH,ACBEFDCDEGH,AABCDGGGGGF,HGGGFECCBAA,HGEEEFDBAAF
55,DGHHEFEABBA,BEECAACFHHF,HGEAADGEBBF,DFHHGDABCDB,BABBDEDFGHH
56,HHHGECDBBBA,HGEGGEAAADE,CBBDFHHGEBB,ABBBCEGHHFF,HDDBABCEFGH
57,ABEHHFFEDCA,HHGECBBBBCE,ABDEGHHFDBB,ABBBCEGHHHC,FDBBBGHGFBD
58,BBCEDBAEHHH,HGGEBACCCDF,AABCFGHGFEC,DDCCBABEGHH,HEAADGHGBCD
59,BCBABDFGHHH,HHGGFEDBAAA,ABCEFHHGEDB,AABCFGGGGFE,GGCBADFGGGA
60,ABBADFDFFGH,HHGFCBABBDE,ABCDFHHGEDC,GFDBAABDFGH,HGFFGGDDBAA
61,DECBGHFBADH,HGDBAABEGGF,CBBBBBDGHHH,GFEDFGHGCAA,BDFGDBEHHCA
62,GEBAACCEGGH,FGFGGGFDBAA,AABDEGHHGED,CBAABCFGHHH,HHGFFECBAAC
63,FHHGFDCBBBA,HHGFECBAABD,ABDEGHHFDBA,DCBBBBDFGHH,HGDEADCDBDE
64,HHFDFECBBBB,AABBCDEGGHH,GHHGEBBDCAB,HHHGEBBBBCB,DEFFGFGGBAB
65,BEFGHHDBBCC,GHGHFECABBB,AABBCDGHGGG,HHGECBABCEG,CFDABCFHDFF
66,AABDEFGGFFG,HHHFEDCBABC,ABDEGHHFDBA,EDCAABDEGHH,EEFGEGGGCBA
67,AACGHGFDCFE,HFHGFBBACBD,BCBBBBCEGHH,HGGGFEDBBAA,BABBBEGHHGE
68,HHGDCCDDBBB,AABBCDEFGHH,GHEGFBAACDE,GGHHEFCBBBA,HFFDCDEEBAG
