,0
0,DDCCACBBA ADCBDBCCB BBACBCDCB DDDCAABBA CBACCBCBC
1,BAABABDDD DCABCCCAC DDCABBACB CCCCCCCAA BABCDBBBD
2,DDDCABBAB CCBBABBDA CCCCCDBAA AACBCCCCC BBBCBCCDC
3,CBBCBBABD DDCBBBBAA DDCACBABB BBACBCCDC BABCCCCCC
4,ACDDBCCBA DCCBBBABC BACCBBBDD ABBBBCCDD CCCDCDAAA
5,CDCCBCBBB BAABBBDCD CBDDDCAAA BBBBCBCDC ABBBBCDDC
6,ABCBBACDD DBBBABCDB BDCCBACBC CCDDDBAAA BABBDCDCC
7,BBAAADDDD DCCCBCBAA DCDAABCBB BCBABCCCD CBBADBBDD
8,CCCCCBABB CBBCACBAD AABCCBCCD CCCCCDBAA BBCACBCCC
9,BBABCBBDD DCACBCCBB ACBDCCBCB DCDDCAAAB ABDCACDBC
10,BBDBCDBAB BBBCBBBAD ACCCBCCBC DCABBBBCC BAABCCCCD
11,BBDCBDBBA CBBABAADD BABBCCDDD BABCBCCCC BBBBBDDCB
12,BBBBBBDCD CCBACBCBC BCBBDBBDC ACBACBCDC AAABBCCDD
13,CBBCDABCA DBABBCCCB ACBBACCCD DCCDDAAAA ABABBBDDD
14,DBBDCCBAB DDBCDBABA BABABDCCD BBCBABCCD CCCCDDAAA
15,CCCCCCBBA AADDDCBCC CDCBBBABB CBDDBBABC CBBCBCBCB
16,CCDACDBBA DBBABCCCB AABCBCCDD AABABBDDC DCDDDBAAA
17,BDCBCBCBB CBCCACBCC ACBBBCCCD AABBADDCC DDDBBABAC
18,CCBBACCBC AACCCCDDC BBCBBCCBC BABBCCCDD DDCDCAAAA
19,BBABCADDC DDCBBBCBA DBCABBBCC CCBBADACD BACCBBCDB
20,BCABDCCCB DCBBBBCBC ABACBBCDD ABABCCCCD AABBBBDDD
21,CBBDDCBBA DCABBCBBB ABAACDCCD BCAABCDCC DDCAABBAB
22,CBDBDBBBC ACDBCBBBC DDABBCBBB ABACBBCDD DDCBBABAB
23,BCDBABBCC ADBBCCBCD BBACBACCD ACABBBCDD AABCBBDDC
24,ABBCCCCCB AACCCDCCB CCBCBBCCA BCDDCBBAB BCCBBACDC
25,CCDCCBBAA ADCCCCCCB DDDCBBBAA BBBAACDCC CBBCACBBD
26,CBBDCCBBB CCABCBCBD CBCCDCDAA BBABCDBCD ABACACDDB
27,CCCCDBABA BCCBCCCBA DCCCBBBAA BBBDCBBAD BBBBBBCDD
28,DACCBBBBB AACDCDCCB DDCBBAABB ACDBABCCC ABBCCDCCB
29,DBABCBCBC ABCCBBBDD ACBDCABCC CBDCCCBDA ABBACDCDC
