,0
0,DDBBA ADCCB BBDCA BADDC DDCAA DDBBA DDBAA DCBAA AABDD AACDD ABBCD BCDBA ABACD AACCD AABCD ABCDD ABCCD ABBCD AABCD AABCD ABBCD ABDDB DCCAA DCBBA DCCAA DCAAB DCBAA DDCBA DDCBA DCBAB AACDD ABCCD AACDD AACDD AACCD CCABD DDCAB DDCBA DDBAA DDBAA DDCAA DDBAA DCBAA DDBAA DDBAA AAACD ABCDD AACDD AADDC ABCDD ABBCD DBAAC ABCDC ABBCD ABBDD ABCCD AABDD DDCAA DDBAA DDBAA DDBAA ABBDD ABBCD ABBDD ABDDB DCCAA AABDD ADDAA ABBDD ABDCC AABDD ABACD ACBCD AABDD ABCDD DCCAA DCCAA DDCBA DCDBA DDBAA DDCBA DDCAA DDCAA DDCAA DDBAA
1,CCDBA AABDD DDCAA BAACD ABBCD AACDD DDCBA DCCAA DDCBA DDBBA DDCAA DAABD ABBCD AACCD AACCD AACDD DAABD AACCD AABDD CDCBA DCAAC AABDD AABDD DCBBA AABCD ACDCA CCDCA DCBBA DDBAA DDCBA ACDDB DCBAA DDCAA AABCD DDCBA DCCAA DCBBA DDBAA AACDD AABDD ABADD AABDD AABCD ABCDC DCCBA DCBBA ABADD AABDD AACCD AACCD AABDD DDBAA AABCD AABDD DCCBA DCBAA DDCAA DDCAA DCBAA DDBAA ACBDD AABDD AACDD AABDD AACDD ABCDC DDBAA DDBAA AABDD AACDD ABCDC BAACD ABBCD BDDBA DDBAA DCCAA DCBAA DCBAA AABCD AACDD DDCAA DDBAA DCAAD ABBDD DAACC
2,ABBDD ABBCD AACDD ABBDD AABDD DDCAA DCCBA DDBAA DCBAA DCBBA DCCAA DDBAA DCBBA DDCAA DCBAA DCBAA DDCAA DDCBA DCCAA DCBAB DCBAA DCBAB AABCD ABCDD ABBCD AACDD AABCD DCAAD AABDD AABDD ABBDD AACDD ABDCD BCDBA DBCBA BABCD AACCD ABBDD ABCDD ABCCD DCADA BDABD ACDCB DCBAB CABBD CCCCA CDCBA DDCAA DCBAA DDBAA DDCBA DDBBA DCBAA DDCAA ABCDC AACCD ABBDD AACDD BDDAA ABCCD DDCBA DCCAA DDBAA DDCAA DDBAA ACDCB DCBBA DCCBA DDAAB AACDD DCBCA DCBAB DCACA DDAAB ABBCD ABBDD ABCCD AABDD AACDD ABCCD AABDD ABCCD ABBCD BDABA DCCBA
3,CDCBA DBCAD DCCAB DDACB DDCBA AABCD AACDD AACDD DCBAA DCBBA DDBAA DDBAA DCACA ABDDC DDBAA DCCBA DDCAA DDCBA DDBAA AABDD AACDD AACDD AACDD AACDD ABCDD DDCBA DCBAA DDCAA DCBBA DDCAA DDCAA DCCBA AACDD AABCD ABCDD ABACD AABDD BDBDA DDBAA ABCCD AACCD ADCBB BAACD AACCD BDDBA DCBBA CABCD AABDD AACDD AACDD ABCCD AABDD ABCDD DDBBA DDBAA DCBBA DCABA AACCD AABDD AACDD ACBBD ABACD ABCDD DDCAA DDCAA DCBAA DCBAA AACDD ABACD CABDB CDAAB DCCAA DDBBA AABDD AABCD ABCCD ABBDD DDBAA DDCBA DDBBA DDCAA DDCBA CBACD AACDD AACDD
4,ABCCD AACCD CAACD ACBDD ABADD ACDBB DCBAA DAAAD ABBDD AACCD ABBDD AACCD ABBDD AACDD AACDD DDBAA DDBAA DDBAA DDCBA DDCAA DDBAA DDBAA ABADD DDCAA AACDD AACDD AACCD DBABC DDABB BDDCA DBDBA AABDD ABCCD AABDD DDCAA ABCDD ABBCD DDCAA ABBDD AACCD ABCDD DDBAA DDBAA DCCBA DCBAB DBDAB ABCDD AACDD AACDD ACDCB DCAAC AABDD AACDD AACDD AACDD AACCD ABCDD DDBAA DDCAA DCBBA DCBAA BABCD CDCBA DDCAA DCCAA ADDBA DCBAA DDBAA AACCD ABBCD AABDD AABDD AACDD DDCAA DCCBA CACDB DDBBA DCAAD CDCBA CCDBA DDCBA DDBAA BABCD DDCBA DDBAA
5,ADDBC AABDC DDBAA CDDBA CDCAA DCAAB AACCD ABBCD AABDD CDCAA AACDD DDBAA AACDD DCBAA CCDBA DCBBA DAAAD DDCAA DDCAA DDCAA DCBCA AABCD AABDD ABCDD ABBCD AABDD AACDD CDDBA DCCAA DAADD DCBAA DDCBA DCBAB ADDCA DDCBA DCCBA DCBAA AABDD AABDD DCBBA DDCAA DCABA DDBAA CBABD BDDBA DDCAA DCCAA DCBAA AACDD ABCDD ABBDD AABCD ABBDD AACDD AACCD ABCCD AABDD CDCBA DDCAA DCBAA DDCAA DDBAA DCCBA DDBAA DDBAA DDBAA DCBAA AACDD AACDD AABDD ABCDC AABDD AABCD CCAAD AABDD DDCAA DDCAA AABDD AACDD ABCDD ABDDB DCBAA CCCDA DCCBA ABBCD
6,ABCDC ABCDD AACDD DDCBA DDCAA DDCBA DDCAA DDBAA DBABD AACDD AACDD AACDD AABCD AACDD ABDCC DCCBA DDBAA ABCDC DDBAA DDBAA DDBAA DDBAA DCBAA BAADD AABDD AABDD AACDD ABCDD BDDBA DDCBA DDBAA DDBAA DCCAA DDBBA DDBAA AACDD ABCDD DCAAD ABCDD CCDAA AABDD ABCDD AABCD ABDDD DDCAA DCBAA ABDCD DCCBA DDBAA DDCAA DCCAA DDCBA CDDBA AABCD DDBAA AACDD ACBCD AACDD ABCDD ABBDD AABCD AABCD AACDD CDDBA DDCAA DCCAA DDBAA DCBBA DDBAA DBAAC AABDD AABCD AACDD AABCD AACDD AACDD ACDDB DDCBA DDBAA DDBBA DAABD ABCDD ABCDD ADDCA DDCBA
7,DDCAA DCCAA DCBAA AACDD AABCD ABBCD AACDD DBABD AABDD BDDBA ABBCD AABDD ABDDB DCBAA DDBAA DBBAC AACDD DDBAA ABCCD BDDBA DCAAB ABCCD ACDBD ABCCD ABDDC DDBAA DCCBA DDCAA BDDCA DDBAA DDBAA DCBAB AABCD ABBCD BCBAD ABCDD ABCDC DCBAB ABCDD ABBDD BBACD ABCCD AABDD DDCAA DCCBA DCABB DDBAA DCBAB ADDCA DCCBA DDCBA DDBAA BBABD ABCCD AABDD AABCD ABBDD AABDD AACDD DDBBA DCABA DCBBA ABDCA DCCBA CBACD BDDBA DDBAB DCAAB BDDBA DDBAA AABDD AACDD AACDD DDBBA DDBAA DDCBA DCCAA BAADD DDBAA DDCBA DCBAA DCBBA DBABC ABBCD AACCD
8,AACDD ABCDD ABCDD ACDCC DDBAA ABDDB DCBAA DDCBA DCBAA DDCBA DDCAA DDCAA DDBAA DDBAA DCBAA AABCD AACDD ACDCA CAACD ABBCD ABDDA DDCAA DDBAA DDCAA DDBAA DDCBA DCBAA DCAAC AABCD AABCD AACDD AABDD AACDD AACCD AACDD AABDD DDCAA DDBAA AABDD AACDD AABCD AACDD ABBCD AACDD DDCBA DDCAA DCBAB CDCBA DDCAA DDBAA DDBAA DCBAA AABDD AABDD ACDCA DDBAA DDCBA DDBAA DDCAA DDBAA DDCAA DDBAA DDBAA AABCD AACDD AABCD AACDD AABCD AABCD AABDD DCBBA AABCD DCCAA DCBAA DCCAA BDDAB AABDD ABCCD AABDD ABCDD AABCD ACDBB DCBBA DDCAA DCBAA
9,DCCBA DCBBA DCBAA CABDC AABDD ABBCD ABBDD ABBDD DCCBA DDCBA DDCBA DDCBA CAACD ABCDD AACDD AABDD AACDD AABDD AABDD DDCBA DDBBA DDCAA DDBAA DDBAA DDBAA DCBAA AACCD ABCDD ABBDD ABACD AACCD ABBDD AABDD CDCBA DCCAA DDCAA DDBAA DCCAA AABDD ABBDD ABCCD ACDCA DCBAA AACDD AABDD ABCDD DDCBA DDCAA DDCBA DCBAA DDBAA AABCD AABCD AABDD AACDD AACDD ABDDB DDBAA AACDD ABCCD ABBDD ADDBA DDBBA DDCAA DCBAA ABBCD DDCAA DCCAA DCBAA DCBAA DDCAA DDBAA BABCD ABBDD ABCCD ABBDD AABCD AACDD AACDD CDDBA DCCBA DCBAA DDCBA DCBBA CAACD
