,0
0,FFFEAA AAFDFC BBAFEA BBAFFD FFFFAA FFFDCA FFFEAA FFFFAA AAAAFF AAAAFF AABAFF CCCFDA BBBADF AAABFF AAAAFF AAABFF AAACFF AABAFF AAABFF AAAAFF AAABFF AAADFC FFEFAA FFEEAA FFEFAA FFFBAB FFECAB FFFEAA EEFFBA FFEFAB AAABFF AAAEDF AAAAFF AAABFF AAABFF DDFAAF FEEFAB EEFFAA FFFFAA FFFEAA FFFFAA FFFEAA FFFFAA FFFFAA FFFEAA BBAAFF AABBFF AAABFF AAADFD AAABFE AACAFF FFEBAD AAAAFE AABAFF AABAFF AAADFF AAAAFF FFFFAA FFFEAA FFFDAA FFFEAA AABAFF AACAFF AABAFF AAAFFC FFDFAA AAAAFF BBFFAB AABAFF AABFFD AAAAFF ABCAEF AADACF AAAAFF AAABFF FFFFAA FFEFAA EEFFAA FEDFAA FFFDAB FFFFAA EEFFAA FFFFAA FFEFAA FFFCAB
1,DDBFEA AAAAFF FFFFAA CBAAEF AAABFF AAABFF EEFFAA FFFFAA FFFFAA FFFEAA FFFFAA FEBAAF AADAFF AAABFF AAABFF AAAAFF FEAABE AAABFF AAAAFF DEFFAA FFEAAD AAAAFF AAAAFF FFECAA AAAAFF ABBFFA DDCFFA FFEEAA FFFFAA FFFFAA AABFFB FFFEAA FFFFAA BBBAEF FFFEBA FFEFAA FFFCAA FFFEAA AAAAFF BBAAFF BBBAFF AAAAFF AABAFF AAAAFE FFEFAA FFEEAA AACAFF AAAAFF AAADFF AAABFF AAAAFF FFFEAA AAAAFF AAAAFF FFDFAA FFFEAA FFFFAA FFFFAA FFFEAA FFFEAA AAFAFF AAAAFF AAAAFF AAAAFF AAABFF AAABFE FFFFAA FFFEAA BAAAFF AAABFF AAACFE CBAAFF AABAFF CDFFCA FFFFAA FFEFAA FFFDAA FFFDAA AAAAFF AAABFF FFFFAA FFFEAA EEFAAF AABAFF FFAAFD
2,AABAFF AABAFF AAABFF AABAFF AABAFF EEFFAA FFDFAA FFFFAA FFFDAA FFFDAA FFEFAA FFFEAA FFEEAA FFFFAA FFFEAA FFEEAA FFFFAA FFFFAA FFEFAA FFFDAB FFFFAA FFFCAB AAAAFF AAABFF AAAAFF AAABFF AABAFF EEEDAF AAAAFF AAAAFF AABAFF AAAAFF AAAFFE CDDFAA FFBFDA BBAAFF AAABFF AABAFF AAABFE AABBEF EEFAFA CCFAAF AADFDC FFEFAB EDACBF EEEFFA EEFFDA FFFFAA FFFEAA FFFEAA FEEFDA FFFEAA FFFEAA FFFFAA AAABFE AAABFF AACAFF AAABFF BCFFAA AAABEF FFFFAA FFEFAA FFFFAA FFFFAA FFFEAA AADFFC FFFDAA FFEEBA FFFBAC AAABFF FFFCFA FFDFAC FFFAEA FFFCAB AACBDF AABAFF AAABFF AAAAFF AAABFF AAACFF AAAAFF AAABFF AABAFF CDFAAB FFEFAA
3,EEFFCA FEBFAE FFEFAC FEFAEC EEFECA BBAAEF AAABFF AAAAFF FFFEAA FFECEA FFFEAA FFFFAA FFFAFB AAAEFD FFFFAB FFEFAA FFFFAA FFEFAA FFFEAB AAAAFF AAACFF AAABFF AAAAFF AAACFF AAACFF FFFFAA FFFEAB FFFFAA FFFBBA FFFFAA FFFFAA FFEEAA AAABFF AAAAFF AAABFF AACAFF BBAAFF CDFAFA FFFFAB AABBFF AAAEDF ABFFAB CBBAFF AAACFF CDEFCA FFEEBA EDAAEF AAAAFF AAAAFE AAABFE AABBEF BBBAFF AABAFE FFFEAA FFFEAA FFFEAA FFFAAB AAABEF AAAAFF AAAAFF AADBBF AACAEF AAAAFE FFFFAA FFFFAA FFEFAA FFEFAB AAABFF ABDAEF DCAAFB EEFDAC FFFFAA FFFEAA AAAAFF AAAAFF AAACFF AABAFF FFFEAA FFFFAA FFFEAA FFFFAA FFFEBA EDCADF AAAAFE AAABFF
4,AAACFF AAAEFF DCAABF AADAFF AACAFF ABCFBB FFEEAA EEBBAF AAAAFF AAABFF AAAAFF AAABFF AABAFF AAAAFF AAABFE FFFEAA FFFEAA FFFFAA FFFEAA FFFFAA FFFEAA FFFEAA ABDAFF FFFFAA AAABFF AAABFF AAADFF FFCABD FFFAAC CCFFFA FFAFAA AAAAFF AABCFF AAAAFF EFFFAA AABBFF AACAFF FFFFAA AABAFF AAADEF AAABFE FFFEAA FFFFAA FFEFAA FFFDAB FFAFAC AABAFF AAABFF AAABFF AACFFC FFFAAD AAAAFF AAABFF AAADFF AAAAFF AAABFF AAABFF FFFEAA FFFFAA FFEDBA FFFFAA CBAAEF EEFFBA FFFFAA FFFFAA BBEFDA FFEEAA FFFFAA AAABFF AAAAFF AAAAFF AAAAFF AAABFF FFFFAA FFEFBA DCACFC FFFEAA FFFAAE DDFFAA EEDFDA EEFFAA FFFFAA CBAAFF EEFFAA FFFEAA
5,AAFFAD BBBAFD FFFEAA DDFFCA EEFFAA FFFCAC AAABFF AABAFF AAAAFF EEFFAA AAABFF FFFFAB AAABFF FFFFAA DEDFDA FFFDAA FFBBAE EEFFAA FFFFAA FFFFAA FFDBEA BBABEF AAAAFF AAABFF AABAFF AAAAFF AAABFF DEFFBA FFEFAA EEBAFE FFFEAA FFFFAA FFFDAB ABEFFA FFFFAA FFDFAA FFFFAA AAAAFF AAAAFF FFFCBA FFFFAA FFEACB FFFEAA EDCAAF CDFFAA FFFFAA FFFFAA FFFFAA AAAAFF AAABFF AAAAFF AAAAFF AAAAFF AAABFF AAABFF AABBFF AAAAFF EEFFBA FFFFAA FFFFAA FFFFAA FFFEAA FFEFAA FFFFAA FFFFAA FFFFAA FFEFAB AAABFF AAABFF AAAAFF AAABFE BBAAFF AAAAFF EEFCAF AABAFF FFFFAA FFFFAA AAAAFF AAABFF AAABFF AAACFB FFFEAB DDEAFA FFCFEA AADADF
6,AACAFE AAABFF AAABFE FFFFAA FFFFAA FFFFAA FFFFAA FFFEAA EDCAAF AAAAFF AAABFF AAABFF AAAAFF AAABFF AABEFE FFEFAA FFFEAA AAABFE FFFEAA FFFFAA FFFEAA FFFFAA FFFEAA CBCAFF AAAAFF AAAAFF AAABFF AAABFF BCFFBA FFFFAA FFFEAA FFFEAA FFEFAA FFFEAA FFFEAA AAABFF AABCFF EEFAAF AABAFF EECFAB AABAFF AAABFF AAAAFF AAAEFE FFEFAA FFFCAB AAAFCF FFCFBA FFFEAA FFFFAA FFEFAA FFFFAA DEEFBA BBAAFF FFFEAA AAAAFF AAEBDF AAACFF AAABFF AABAFF AAAAFF AAABFF AAABFF DDFFBA FFFFAA FFEFAA FFFFAA FFFEAA FFFEAA FFDAAD AAAAFF AAAAFF AAABFF AAAAFF AAABFF AAAAFF AACFFC FFFFAA FFFEAA FFFEAA EEBAAF AAABFF AABCFE ABFFEB FFFEBA
7,FFFFAA FFFFAA FFFEAA AAAAFF AAAAFF AABAFF AAACFF FFCAAE AAAAFF CDFFAA AAABFF BBAAFF AAADFC FFFFAA FFFFAA FFBDAD AAABFF FFFFAA AAACEF CDEFCA FFFBAC AABBFF AACFAF AAADFF AAADFE FFFEAA FFEFAA FFFFAA CDEFFA FFFEAA FFFEAA FFFEAB AAABFF AABAFF BCDEAF AAABFF AAABFD FFFEAC AAABFF AABAFF CCDACF AABCDF AAAAFF FFFFAA FFEFAA FFEABC FFFEAA FFFDAC BBDFFA FFEFAA EEEFAA FFFEAA CCCAAF AAADEF AAAAFF BBAAEF AABAFF AAAAFF AAABFF FFFEAA FFFAAA FFFDBA ABAFFA FFDFCA DCCACF CDFFBA FFFDAC FFFCAC CDFFCA FFFFAB AAAAFF AAABFF AAABFF FFFBCA FFFFAB FFFEAA FFFFAA CCAAFF FFFDAB FFFFAA FFFEAA FFFEAA FFEAAE AABAFF AAABFF
8,AAAAFF AAABFF AABAFF AADEFD FFFEAA AAAFFC FFFEAB EEFFAA FFFEAA FFFEAA FFFFAA FFFFAA FFFEAA FFFEAA FFFEAA AAAAFF AAABFF BBDFFA DCAACF AABAFF AAAFFB FFFFAA FFFEAA FFFFAA FFFFAA FFFFAA FFEEAA FFEBAE AAAAFF AAABFF AAABFF AAAAFF AAABFF AAABFF AAABFF AAAAFF FFFFAA FFFEAA AAAAFF AAABFF AAAAFF AAABFF AACAFF AAAAFE FFFFAA FFFFAA FFFFAC DDFFBA FFFFAA FFFEAA FFFEAA FFFDAB AAAAFF AAAAFF AABFFB FFFEAA EEFFAA FFFEAA FFFFAA FFFEAA FFFFAA FFFEAA FFFFAA AAABEF AAAAFF AAAAFF AAABFF AAABFF AAAAFF AAAAFF FFEDAA BBBADF FFEFAA FFFFAA FFEFAA BCFFAC AAAAFF AABCFF AAAAFF AAABFF AAAAEF AABFBC FFFDCA FFFFAA FFFFAA
9,FFFFAA FFFCAA FFEFAA DCAAFE AAAAFF AABAFF AAAAFF AABAFF FFEFAA FFFEAA FFFFAA FFFEAA DDCAFF AAADFF AAAAFF AAAAFF AAAAFF AAAAFF AAAAFF EEFFAA FFFDBA FFFFAA FFFEAA FFFEAA FFFFAA FFEFAA AAAEDF AABCFE AABAFF ABCAEF AAABFF AAAAFF AAABFF DEFFBA FFEFAA FFFFAA FFFEAA FFEFAA AAAAFF AAAAFF AAABFF AACFFB FFFDAB AAABFF AAAAFF AAABFE FFFFAA FFFFAA FFFFBA FFFEAA FFFEAA AAABFF BBAAEF AAAAFF AAAAFF AAABFF AAAFFB FFFFAB AAABFF AABBFF AABAFF BBFFDA FFFEAA FFFFAA FFFEAB AABBFF FFFFAA FFFFAA FFFEAA FFFFAA FFFFAA FFFEAA BBABEF AABAFF AABBFF AAAAFF AAABEF AAAAFF AAABFF DDFFAA FFEFBA FFEEAA FFFFAA FFFEAA DCAADF
10,FFFFAA FFFFAA FFEFAA FFFFAA FFFDAA AAABFF ABDFEA DCAAFF AAABFF CDEFFA FFEAAC AABAFE AAACFF AABFAF BBAAFD AAAAFF FFFFAA FFFDAA DCAAEF ABFAFF AAAAFF AAAAFF AAABFF DEEFBA FFFEAA FFEFAA FFFDAA AABAFF AAABFF AAEADF AAABFF AABBFF FFFEAA FFFFAA FFFFAA FFFCAD AAABFF BBAAFF AAAAFF FFFFAA FFEFAA FFFEAA FFFEAA AAAAFF AAAAFF AAABFF AAACFF AAAAFF FFFEBA FFFDAA FFFACB FFFFAA FFFFAA AAABFF AAAAFF AAAAFF AAAAFF FFEFAA FFFFAA FFFCAA FFEAFC FFFEAA FFFFAA DDEFAA AABAFF AAACFF AAAFFD FFEFAA EEFFAA EEAFFA FFFFAA FFFFAA CBAAFF AAAFFC FFFFAA CCDFCA FFEFAA FFFFAA FFFEBA FFEEAD AAABFF AAAAFF AAABFF AAAAFF AAABFE
11,AAAAFF AAABEF AAACFF EEFFBA FFEEAA FFFEAA FEFFBA FFFEAA FFEFAA FFFEAA FFFEAA FFEEAA FFEFAA AAAFAF AAADFF BBAFAF AAAAFF EEFFAA AAABFF AACAFF AAAAFF AACAFF FFFEAA FFFEAA FFDAAE AAABFF AAAAFF AAAAFF AAAAFF AABAFF AAABFF EEFFEA FFFEAA FFFFAA AAAAFF AABAFF AAABFF AAAFEF FFFEAA FFFEAA FFFEAA FFFEAA FFFEAA FFFEAA CCAADF AAAAFF AAABFF AAABFF AAABFF EEFFAA FFFFAA FFFEAA FFEFAA FFFEAA FFFFAA FFFFAA FFFEAA FFFFAA FFFEAA FFEEAB AAAAFF AAAAFF AAABFF AAAAFF AAAAFF AABBFF FFFEAA FFFFAA FFFFAA FFEFAA FFFFAA FFFEAA FFEDAA FEBABF AAAAFF AAAAFF AAABFF AABBFF AABBEF AAABFF AAAAFF AAABFF FFFFBA FFFCAB FFFFAA
12,DDDAFA EEFFAB CBBAEF FFFFAA EEFFBA AAAAFF EEFFAA FFDFAA CCAAFF FFEFBA FFFFAA DDDACF AAABFF DDFFAA CDFFBA FFFCAD FECFBA FFFFAA FFFEAA FFFEAA FFEFAA ABBBBF AAAAFF AAACFF AAABFF FFFEAA FFFFAA FFFFAA FFEAAC BBBBAF AAAAFF AAAAFF AAAAFF FFFFAA AAAAFF BCCFFA AAABFE CCEFEA FFFEAA FFFFAA AAACEF AAAAEF CCFFAA AAABFF AADABF EEEFAA BAAAFF AAAAFF CCBAFF AAAAFF AAAEFE FFFFAA FFEEAA FFFEAA FFFFAA FFFEAA FFFEAA FFDAAD AAABFF AACBFE BBAAFF AABFCE AAABFF FFFEAA AAABFF AAAAFF DEFFAE AABAFF AAABFF FFFFAA FFFFBA FFFFAA FFFEAA AAAAFF FFFFAA FFFEAB FFFFAA FFFFAA FFEDBA CCAAEF AAAAFF AAABFF DCAAEF AAAAFF AABAFF
13,FFFCAB EEFFAA AAAAFF FFEEAA AAAAFF ABDFFA FFFFAA FFFEAA FFFFAA FFEFAA AAAAFF AAAAFF AAABFF AAABFF AAADFE AAAAFF AAAAFF EEFFAA FFFEAA FFEEAA CCAAEF CCEFDA FFFEAA FFFDAA FFFFAA FFEEAA AAAAFF AAABFF AAABFF AAAEFD FFFEAA FFFFAA FFFCAB FFFFAA FFFFAA FFFEAA DEFFBA FFFFAA AAAAFF AAAAFF AAAAFF AAAAFF AAAAFF AAABFF DEEFDA FFFEAA FFFFAA FFFEAA FFFEAA FFEAAE AAAEFD AABAEF AAABFF AADEAF AABAFF AAACFD FFFEAA FFFFAA FFFAFB AAAAFF AABBFF AAAAFF AAAAFF BBDFDA DDAADF AAAAFF BBAAFF AAAAFF FFFEAA FFEEAA FFFFAA FFEFCA FFFFAA FFFFAA FFFFAA AAAAFF AAABFF AAABFF AAAAFF AAABFF ABCFFA FFFDAB AABAFF FFFFAA FFFFAA
14,AAABFF AAAAFF AAABFF AABBFF AAACEF AAABFF AAABFF AAABFF AAAAFF AAAAFF AAAAFF AAABFF AABAFF EEFFAA EECAAF AAAAFF AABAFF FFFFAA FFFCAB DDEFDA FFFFAA FFFEAA FFFEAA FFFFAA FFFEAA FFFEAA FFFFAA FFFFAA AAABFF AAABFF AAAAFF AAABFF AABBFE FFFFAA FFFEAA FFFFAA FFFDAA FFFFAA FFFEAA FFFEAA FFFFAA FFFDAA FFFDAB FFFDAA FFDBAC AAAAFF AAAAFF AAAAFF AAAAFF AAABFF AAAAFF BBCAAF AAAAFF AAAAFF AAAAFF AAABFF AABAFF AABAFF FFFFBA FFFEAA AAAAFF AAAAFF AAAAFF AAABFF EEEFDA FFFEAA FFFEAA FFFEAA FFFEAA FFFFAA FFFFBA FFEFAA FFFFAA FFFFAA FFFFAA FFFFAA FFEFAA FFFFAA FFFFAA AACAFE FFEFBA FFFFAA FFFFAA FFFEAA FFFEAA
15,AAACFF EEFFAA AAAAFF FFFFAA FFFFAA FFFFAA FFFFAA BBAAFF AAABFF AAAAFF AAABFF AAABFF AAADFE FFFFAA FFFFAA FFFEAA FFEFAA FFFFAA FFFEAC AAAAFF AAAAFF AAACFF EDCAAF AABAFF FFFEAA FFFACA BBBABF AAAAFF AAABFF CCEFEA FFFEAA FEAACE FFEFBA FFEDAA FFFEAB BBCFFA FFFEBA FFFFAA FFFFAA FFFEAA AABBEF AAAAFF ABCADF AAABFF AAABFF EEFFAA BBAAFF AABBFF FFFFAA FFFFAA FFFFAA FFFEAA FFFFAA FFFEAA AAAAFF AAAAFF AAABFF AAAAFF AABFFB AAAAFF AAABFF EEFFAA FFFEAA FFFFAA FFFEAA AAAAFF AAABFF AAAAFF AAAAFF AAAAFF AAAAFF BBBAEF DDFFDA FFFFAA AAAAFF EEFFBA FFFEAA FFFFAA FFFFAA FFFFAA FFFFAA AAAAFF AAABFF AAACFF AABAFF
16,AAABFF AABAFF AAABFE EEEFAA AAAAFF FFFFAA FFFFAA FFFEAA FFFFAA EDAAFA FFFFAA FFFEDA CBAAFF BBAAEF AAABFF EEFDFA AAABFF AAACFF AAAAFC FFFFAA FFFEAA FFFFAA FFFEAA FEEAAF AAABFF AAAAFF AAAAFF AAABFF AAABFF AAAAFF AAABFF AABBFE FFFFAA FFFEAA FFFFAA FEEAAF AAABFF AAAAFF AAAAFF AAAAFF AAAAFF FFEFBA FFFFAA FFFEAA CCAADF CDFFBA FFFFAA FFFFAA FFFFAA FFFFAA FFFEAA FFFFAA FFFEAA FFFEAB AABAFF AAAAFF AAAAFF AAABFF CDEFEA FFFEAA DCAAFF FFFEAA FFFEAA FFFFAA FFFEAA FFFEAA FFCEAB EEFEDA AAABFF AAAAFF AAAAFF AABBFF AABAFE BBBAEF AAABFF AACCFC AAABFF AAABFF AAABFF AAADFE FFFFAA AAAAFF AABAFF FFFFAA FFFFAA
17,CCCAAF ABBFFA FFFFAA FFFDAB AAAAFF AAAAFF AAADFF FFFFAA FFFEAA FFFEAA FFFFAA FFFFAA FFFEAA FFFDAA AAAAFF AAAAFF AAABFF AAAAFF AAABFF AAAAFF AAABFF FFFFAA FFFEAA AAFEFD FFFEAA FFFEAA FFFEAA FFCBBB AAAEFB FFFFAA FFFAAB BBAAEF AAAAFF AAAAFF AABAFF AAAAFF AABAFF EEFFAA AABFFD FFFEAA FFFEAA FFFFAA FFEFAA FFFFAA AAAAFF AAAAFF AAABFE FFFEAA FFFFAA FFFFAA FFFFAA FFFEAA FFEFAA FFCAAE AAABFF AAAAFF AAABFF AAAAFE FFDBAC AAAAFF AAABFF FFFFAA FFFEAA FFFFAA FFFEAA FFFFAA FFFEAA FFCCAE AAAAFF AAAAFF AAAAFF AAAAFF AAAAFF AAAAFF BBAAFF AABBFF CCEFCA FFFEAA FFFEAA BBAAEF AAAAFF AAAAFF EEEFBA DCAADF EEFFAA
