,0
0,FEDCBABEDDC CDFFCBAAEDC FFEEDDCCBAA FFEEDCCBBAA AAABCCDEFFF AAABCDEFFED AAABBCDEFFF AAABCDDEEFF AABBCCDEEFF AABBCDDEEFF AABBCDEEFFE FFEEDCBBBAA FFFEDDCBAAA FFEEEDCBBAA FFFEDDCBAAA AABBCCDEFFF AABBCDDEEFF AABCDEEEEEF EEEDDDEDCAA FFEEDDCBAAA FFEEDCCBAAA FFEEDDCBBAA FFEDCBAABCD AABCCDDEFFF AABBBBCEFFF ADDEFFEBAAC AABCCBCDEFF AABCDCDEFFF CCDEFFECBAA FFEEDDCBAAA FECBAABCDFF AAABBCDEEFF DEFFEDCBBAA AAABCDEFFEE AAABCDEFFFE AAABCDEEEFF ABABBCDEEFF ABDEFFFECBA FFFEDCCBBAA FFFEDCCBAAA FFEEDCCCBAA FFFEDCBBBAA
1,CCDCBAACEFF FFEDCBAAABD AABBCDEEFFF FFFEDDCBBAA FFFEDCCBAAA FFEDCCBBABC ABABBCDEFFF AABBCDDEFFF BAABBCDEFFF AABCDEEEEEE BBBBBBCDEFF DEEEFFDBAAA AAABCDEFFEE FEFFEDCBAAA FFEDDCCBBAA DEFFEEDBAAA FFEDBAAABDF FFEEEDCBBAA FFEEDDCBAAA AABCDDDDEFF ABBBCBCDEFF AAABCDDEFFF FFFEDCBBBAA ABABBCDDEFF AABBCCDEEFF BCDEFFEDBAA AAABCDDEEFF FFEEDCCBBAA FFEEDCCBBAA FFEDDDCBBAA ABBBCCCDEFF AABBBCDEEFF AABBCDDEFFF FFEEDCCBBAA AABBBCCEEFF ABDFEDCBCEF AAABCDFFFEC FFEEDCCBBAA FFEEDDCBAAA AABBBCDEFFF FFEEDDCBAAA BBAABCDEEFF
2,AAABCCDEEFF AABBCDEEEFF AABCEEFFEDC FEEEEDDCBAA FFEEDDCBAAA FFFEDCCBBAA FFEEEDCBBAA FFEEDDCBAAA FFFEDCCBBAA FFFEDCCBAAA FFEDDCCBAAA AAABCCDEFFF AAABCDDEFFF AAACEFEEDDF AAABCCDEEFF AAABCCDEEFF AACCCDEFFED EBCBABCCEFF AABBCDDEEFF AABDDDDEEEF FFEFECBBAAD BFFFEDCBBAB EBCDEEEEECA FFFEEDCBBAA FFEDDDCBBAA FFFEEDCBBAA FFEEDCBBBAA AABCCBCDEFF AABBCCDEFFF BDDBAABDEFF FFFEDCBBBAA FFEEDDCBBAA FECAAACEFED FFEEDCCBBAA BBBABBCEFFF FFEEDCCBAAB FFEEEDCBAAA AABBCCDEEFF AABBCCDEEFF AABBCDEEFFF AAABCCDEFFF AABCEEEFEEE
3,FFFECCBBBAC FEDABDECACC EEDDBAAABEF AABBCDDEEFF FFEDDCBBBBA FFEEEDCBAAA BBABBBDEFFF FFEDDDCBBAA FFFEDCBBBAA ECBAABCCEFF AABBCCDEFFF AAABCDDEFFF BCDEFFEDCAA FFEDDCCBBAA FFEEEDCBBAA FFFEDDCBBAA AABBCCCDEFF AABDEEEEEEE AAACDEEFEFD FECAAABCDEF AABBCDEFEEE BAABCCCEFFF EFFEEDCBBAA CAABCCCDEFF AABCDDDEEFF AABBCDEEEFF CDEFFEDCBAA FFEEDDCBBAA ECAAABCDEFF AABCDCCDEFF ABBBBCDEEFF CDEFFEDCBAA FFFEDCCBAAA ECBAABBDEFF AAABDEEDEFE FFEEEEDBBAA EDCBAABCEFF AAABCDDEFFF ABCEFFFDCBA FFFEDDCBAAA FFFEDCBBBAA BAAABCDEFFF
4,AABBBCDEFFF BAAACDEEEFF AAABCDEFFEE FFEEDCBAAAD AABBCCDEEFF AABBCDDEEFF AABBCDDEEFF CDEFFEDCBAA FFEEDDCBBAA FFEEDDCBBAA FFEEDCCBAAA BCBEEFFECAA AABBCCCEFFF DDEEFFDAABB EDAABCEFFDA ECDCBAABDFF AABBBDDEEFF FFFCBAABCDD ACCDEFFECAA AABCDDCDEFF DEEEEEDCBAA FFEEDCBBBAA FFCAACDCDBC AABBBCDEFFF AABBCDEFFFE CCAABBCCEFF AABBBCDEFFF AABBCCDEFFF CDEFFFECBAA FFFEDCBBBAA FFEDCBAABBC FFFEEDCBBAA FFECBABDDBA FFEEDCCBBAA AABBCCDEEFF AABBCCDEEFF ABDEFFEDCBA FFFEDBAABBB FFEEDCBBAAB EFFEDCBBBAA FFFEEDCBAAA BAACDFFFECB
5,CEEEECAABFC FFDBABDEDCA FFFEDDCBAAB AABBCDEEEFF AABCDEFFEDC AABDEFFEDCD ABCEFFEDCAA FFFEEDCBAAA EBBBCEFFDBA FFFEDCCBBAA FEEECBAABCE AAABCDDEFFF AABBCDDEEFF AABCDEFFEED FFFEDCBAABB FFEEDCCCBAA FDBAABDFFEC FFFEDCBBBAA EDCBABBCEFF BCDEFFECBBA FFFEDCBBABA FFEDCBBAABC EFFEEDCCBAA FFEEDCCBBAA AABBCCDEFFF AABBCDDEEFF AABBCCDEFFF AABBCDEEEFF AABCEEFFECA FFFEDCCBBAA FFEEDDCBBAA FFFEDDCBAAA FFEEDDCBAAA DBBAABCDEFF AABBCCDEEFF ABDEECAACFF AABCDEEEEEF AABCEFFFDCA FFEDCBAABCC AABBCCDEFFF EEFFEDCBAAA EFFFEDBBBAA
6,ABBBBBCEFFF DDEEEEEDBAA FFEEDDCBBAA FFEEDCCBAAA BAAABCDEEFF AABBCCDEEFF AABBCDDEFFF CEFFEEDCBAA FFEDBAABBCB FFEEDDCBBAA FFEEDCCBBAA FFEDCBBAACD AABBCDDEEFF AABBCDEEEFF EFFEEEDCBAA FFEEDDCBAAA FFFEDCCBBAA CCBAABCDEFF AACDEEEEEEE AABDEEEEEDD AAABCCDEFFF AAABCDEEFFF FFFEDDCBAAA CDEEEFECCAA FFEEEDCBBAA FFEEDDCCBAA EEFECAAABDF FECAAABCDEF ABBBBCDEFFF AABBCDDEEFF AABBCCDEEFF AABCDEFFFEC FFFEDCBBBAA FFEEDDCBAAA FFEEDCBAAAB AAABCCDEEFF AABBCDDEEFF AABBCCDEEFF CEFFEEEDBAA FFEEDCCBBAA BAAABCDEFFF AABCCDEFFEE
7,FFEEDDCBBAA DCBBAABCEFF AAABCDEEEFF CDEFFECAAAC AAABCEFFFED AABBCDEEEFF DEFFEEDBBAA FFEEDCBAAAB BCDEEFFEBAA AABBCDFFFEC DBAAABDEEFF ABBBBCDEFFF DEEFFEDCBAA FFFEDDCBBAA EFFEEDCBAAA FFEEDCCBAAA AABBBCDEEFF ABBABCDEFFF DEFFFECBAAA AABBCDEEEFF BAAABCDEEFF AABCEFFFECB FFFEDCBAAAA FFEEDDCBAAA EFFFEDCBBAA FFFEEDCBAAA BAAABCDEFFF AABBCDEEEFF AAABCDDEEFF AABDEFFEDCB FFEEEDCBAAA EEFFEDCBBAA BAAACDFFFED FFEDEDCBAAB EFFEDDDCAAA AAABCCDEFFF AACEFFEDCCB FFECBDEDBAA FFEDCBAAACC FFEEEDDCBAA FFEEDCCBBAA CBAABCDEEFF
8,AABBCDDEEFF AABCDEEEEEE FFDBAABDEDC FEEDDDEDBAA FFEEDCCBBAA FFEEEDCBBAA FFEEDCCBBAA FECBAABBDEF AABBCDEFFEC BAABBCDEEFF EEFFEEDCBAA FFEEDCCBBAA FFEEDCCBBAA FFEDCCBBBBB AABBBCDEEFF AABBCDDEEFF AABBCCDEEFF AABBCDDEEFF FFFEDDCBAAA AAABCCDEFFF AAABCCDEEFF AAABBCDEFFF FFFEDDCBBAA EDBABCFFECA FFEEDDCBBAA FFEEDCBBAAA AABBCCDEEFF DEFFEDCBAAA FFFEDDCBAAA FFFEDCCBAAA FFEEDCCBBAA DCBBABBCEFF AABBCDDEEFF AABBCDDEEFF AAABCCDEEFF FEDCBBAABDF FFFEDCBBBAA FFECBBCDCAB AAABBCDEFFF AABBCCDEFFF AAABCDEFFEE FFEEEDCCBAA
9,FFFEDDCBAAA FFECBBBABCC AAABBCDEEFF AAABCDDEEFF FFFEDDCBBAA FFFEDCCBBAA BAABBCDEFFF AABBCDDEEFF AABBCDDEEFF AABCEFFFEDB FFEEEDCBBAA FFEEDCCBBAA FFEEDCBBBAA AABBCDEEFFF AAABCDEEEFF AABBCDDEEFF AABCDEFFEDC FFEEEDCBBAA FFEDDCBBBAA AABBCDDEEFF AABBCDEFFFE DCBAABCDEFF AAABCDDEFFF FFEEDDCBBAA FFFEDDCBAAA FFECBAABBCD AAABBCDEEFF AABBCDDEFFF DEFFEDCBAAA AABBCCDEEFF AAABCDEFFED FFEEDCCCBAA FEDBAAABDEF FFFEDCCBBAA FFEEDDCBAAA FFEEDDCBAAA AAABBCDEEFF AABBCCDEEFF AAABBCDEFFF AABCDEFFFED FFFEEDCBAAA FFFEDCCBBAA
