,0
0,CEDBAFHGC ABFHHGECB AFHFCBDFG BEHGFEDBA GFFDAACFH FGGCAADGF
1,GGGGFDBAA ADEECDFGH ADFGGHFAB AFHFDBCDE HHGEDCCBA CCBBCDEGH
2,ADFFDEEDH FGGGFEBAA AACEFGGGG HHGDCCCBA DCABCEGHH HHGECBBBB
3,CDCDHHEBB GHFDBABEG CBABDFGHH HFCBABDFG GDBBEGHFA ABDFGHGCB
4,AFGGFCCDF FFGGGECAA AACEFGGGG BGHEDEECA GFCAABEGH HHECBBBDF
5,AACDEFGGG GGGGFECAA DBABDEGHH GHGFECBBA BABCDFGGH HFDBBEEFA
6,GFEFGGCAA BBBBDFGGH ABDFGGGFD DAAGGDEFF HHFDDCCBB BBBBEGHGE
7,CFHGGDDAA HBEBFGEAB EGHGFDBAA CFGEBACFH GHHEBBBBC BACFFCCGH
8,AABDFGGGG GGGFDECAA AACDEFGGH HHFDCCBBA AABCEGGHH EEEFEFEDA
9,HHFEDDBAA DCDBBCFHH BCEFGGFCA DGCABFGGF HHFECCBBA BBBCCDGHH
10,AGHGFDCBB FGGGFEBAA AACEFGGGG AFHFEEFDA FDCAACEGH HHGEDCBAA
11,AACDFGGGG GGGFGECBA EAABDFGGH AAEGGGFED HFCAABDFH AEEEDHGFA
12,GEBABEFGG DDCCBCDFH ABDEGGGFD BBDGHGECB HHGDBBBCD FFFFFFCBA
13,ABEFGGFEF HHGFDCBAB ABEGGGFED AACDEFGGG HHGFECAAB ABCDDEGHH
14,HHECBBBDG HEEDDBBDG ABCEEFFGH HBABDFGGD HHGFDCBBA FFCEDGFCA
15,AABCFGGGF HHGFEDBAA AACEFGGGG EHHECDDBA HFDBABDFH AEFCDDEHD
16,HHFECEABB ABBCEEFGH ADEGGFGEB DAACEGGGG GHGFEDBAA HHGECCCBA
17,HHEBBCCCC BBBBCEGHH FGGGFECBA AABDGHGGF HEAACDEFG HHDEEEBAB
18,GHGFCBBAC FFHGEDDAA BBBBCEGHH HHGEDCBAB AABCEFGGH HHEEDBCBA
19,BCBAFHGGD HFFEBBBCF AACDEFGGH HCABCDFFF HHGFECBAA BCABDGFHG
20,BBCCBDGHH FDABEHGEB GGCAACEFG BDGHGFDBA BAADDFGHG EFGGGECAA
21,GEBABCFGG BACEEGGGC HHGFCBABC CFHHGECBA AACEFFGGG GGFGFDBBA
