,0
0,BDDBA ADDCA AACDD DDCAA ACDCB ABCDD ABDDC DDCBA DCCBA AACDD CDDBA ABCDC
1,BDCCA DCBBA ACCDB ABCCD ABCDD DDBAA ABDCB BADCD DDCAA DCCBA CDABB AABCD
2,ABDCD BBBAD ABCDC DDBAA AACDD ABCDD CDCAA DDCBA DCAAB AACDD DDCBA DCAAC
3,BCBAD DDBAA DDCBA AABDD DCAAD ABCCD DCBAA AACDD DCBAB CDDBA AABDD DDCAA
4,ABDCC CAACD ABCDD DDCAA AACDD ABCCD ABDCB CDDBA DDCAA AACDD DDBAA ABBDD
5,AACDD AACDD BADBC DDCAA DBABC ABCDD CDBBA DCCBA BABCD AACCD DCCBA CCCDA
6,CBBAD DDBAA CBBCD AABCD AACDD DDCBA CAACD CACCD DDCAA DCCAA ACBAD CCDCA
7,ABCDC DDCAB DACBB DDBAB ACDDB DDBAA ACDCA AABDD CDDBA AABDD BABCD BABDD
8,AABCD ABDCD CDCBA DDBAA AACDD ABCDD DDBAA DCCBA BABCD ABBDD BCACC DBDBA
9,DDBAA DDBAA DBDBA AACCD AACCD DDCBA CDCAA ACDCB DDBAA DDCBA BABDC AACDC
10,ABDCC DDAAB AACDC DDBAA ABCDD ABCDD ABDCB CDDBA DDCAA ABCDD DDCAA DDCAA
11,AACDD ABCDC BDDAA DCCBA DBABC ABCDD AACDD DDCBA DDBAA AABCD ACDCC CDCCA
12,DDCAA ACCCC CDBBB AABCD ABCDD DCCBA AABDD DCCBA DDCAA AABCD BBACD DDCBA
13,ABCDD DCAAC DDCBA DCAAC ABCDD DDCBA AACDD ABCDD DDCBA DCAAB ABCDD ABCDD
14,DDBAA BBACD DBBBB ABBCD ABCDD ABBCD DCAAC BCDCA DDCBA DCBAA CDBAB DCCBA
15,ABBCD CCDAA DDCBA DDBAA AACDD ACCDC BDDBA CDDBA DDBAA AACCD ACDCB BACDB
16,DDBBA DCABB ABCBD ABBCD ABCCD DCDBA DAACD BBCAD CDBCA DCCAA DCDAA CCDBA
17,DDBAA BDCAB CCAAD AACDD ABDDA DDCBA AABCD DDCBA DCBAB AACCD DDBAB DDBAB
18,CDDBA DCAAD BADCB DCCBA CACDC ABCDD DDCAA DCBAB AABDD ABCCD DDBAA CCCCA
19,BCBBD CCCCA DBBCA BABCD AACDD ABCCD DBAAB AADCD DDCAA DDAAA CDAAC ADADC
20,ABCDB ABCDC DCAAC CDBBA DDBBA ABCDD AACDD DDCBA CAACD ABCDC ABBCD DDBAA
21,DDBAA AACDD BABDC CCCCA DDCBA CAACD ABCDC DCCBA ABCDD ABCDD DCBBB DCBBA
22,CBABD DBABD DBAAD DCAAB CDCAA BDDBA ABCBD DBACC BBDDA CBCDA AACDD ACCDB
23,ACDCB DDBAA ADDBB CBAAD BDCBA DCAAB DDBAB ABCDD DCBAA ABDDC DDCAA BDBAD
24,ABCDD DDBAA DDBAA AABDD ABCDD DDCBA CDCAB ABCDD DDCBA DCBAA ABCCD ABCDD
25,ABCDD DDBAA DDBAA AABCD ABCDD DDCBA DDBAB ABCDD DDCBA DCBAA ABBDD AACDD
26,ADDCA DDBAA DABBB DCCAC AACDD CDAAC DDCAA ABDDC DBAAC ACBCD DCBAB ABCCD
27,DDBAA CBCDA DDABB ABBCD ABCDD BABDB DCAAB ABBDD DDCBA DCBAA DBABD AABDD
28,DDBAB CCDBA DBBAB CDCCA CCBAD BDDBA DBABD ABCCD ACDCA DBBAC DABBD ADDDA
29,ACCCC ABCCD ACDBB CDCBA DCBAA ABCDD ABDCB DDCBA AABDD DDBAA DCBAB ABBDD
30,ABDDB DCBAA DDBAA AACDD ABCDD DCAAC DDBAA ABCDD DDCBA DDBAA ABBDD AABDD
