,0
0,HGGFCA BGHGEA GEDHFA HGFDBB DGGDHA ABCCFH ABCDFH ABDFCH ACDBHG BBBHHD HGFEEA HGFEDA HGFECA HGFDAC BBBCCH ABBDEH ABCDGH CGHGBB FFFHEA HGFECA HGFECA HGFDCA GGGDFA EFGDAG ABBDEH ABCDEH ABCDFH ABCDFH ABCEFH ABCDEH ABCDEH ABCDEH HGGFBA HGFEBA ABCDFH ABCCFH ABCEFH ABCDFH BBBCDH ABCECH ABCDEH ABCCEH BDFHGB HGFECA HGFFDA HGFECA ABBDEH ABCDEH ABCCFH FFGHFA HGFECA HGFDDA HGFECA HGFECA HGFEEA HGGECA HGFEDA HGFEDA BBBCEH ABCDFH ABCEFH HGFEDA HGFECA HGFDCA HGFEDA HGFDCA FFGGGA HGFFCA HGFEBB CBBCAH ABCDFH GFFGGA HGFECA HGFDCB ABCDFH ABCDFH ABDGHD AABFFG CEDACH GGGECA ACEGAH HFCAAF ABCGGF ABCBGH ABCCEH ABCGHF ABBCEH BBBDCH ABCDDH ABCDFH ABCDEH EGHFAD
1,BBBBDH DGGAHB HGFEDA HGFECA HGFEBA FCABBH ABCDCH ABDDFH ABCDEH ABCGCH ACFFHC GGGFEA HGFECA HECECB HGGEDA HGFEDA HGFEDA HGFEDA HGDDBC ABBCFH ABCDEH ABCDEH ABCDEH FGGFDA HGFEDA HGFECA HGFDCA ABCCFH ABCDEH ABCEGG ABCDFH ABCCEH ABCCEH ABCDFH ABCEFH HGFFEA HGFEDA ABCDFH HGFEDA HGFEDA HGFECA BBBBBH ABCCEH ABCDEH GGGHAB HGFFDA DEFFHA HGEDAC ABCDEH ABCDEH ABCDEH ACEHHC HGFEDA HGFEAB HGGECA HGFEDA HGEBBC HGFEDA HGEDBB CEGHBB HGEECA ABBEGG HGFFEA HGFEDA HGFEEA HGFEDA HGDCGA GGGFDA CBBBDH ABCDFH GGGFDA HGFFDA HGFECA ABCDEH BABEFH ABCEGG GGFGEA HECDHA BBBBFH ABCDFH ABDCDH CBBEBH ABCEEH ABCDEH ABCCFH ABBEDH BCDHBD BBBDDH ABCDDH ABCDEH ABCDEH ABCEDH
2,ABCEGG HGFECA HGFEDA HGFECA HGFECA HGDBCC GDCGHA HGFEFA GCACBH ADFEHB HGFFEA HGFEDA HGFEDA HGFECA HGFEDA HGFECA HGECBB CCCBAH BBBCDH ABCDEH ABCDEH ABCCFH HGFEDA HGFDEA HGFDDA HGGEEA ABBDEH ABCDFH ABCDFH ABCDFH ABCDFH ABCDEH ABCDEH ABCDFH ABCDFH ABCDFH ABCDFH ABCDFH ABCDEH ABCDEH ABEFFG GGGFCA HGFEDA HGFFCA HGFECA HGEBBC ABCCEH ABCDFH ABCEEH HGFEFA HGFECA HGFDCA HGGEDA CCBACH HGDAGB HGFFDA HGFEDA HGFEDA HGFDAC ABCDEH ABCDFH HGFEDA HGFDCA HGFEDA HGFEDA HGFEDA HGFEDA HGFDFA HGFDAC ADGHFB HGFEFA HGEBBB HGFBAD ABDFFG ABCDFH ACDBDH BBBAHH ABEFHF BBBDDH GHGABC BBBDFH ABBDEH ABCDEH ABBDEH ABCDFH ABBDFH ABCDFH BBBCDH BBBCCH ABCDFH GGGFCA ABCDEH
3,AEHGEC HFEGFA BBCBBH ABCDEH ABCDFH ABCDGH ABCFFG ABBDEH BBCCBH ABCDEH ABCDFH ABCEGG HFCGAB FBACHF EGGAFB GGGDFA HGGDCA HGFFCA BBBDFH ABCCFH ABCCFH ABCCFH ADGHGB HGFEDA HGFEDA HGFEDA BABHFF ABDEFG ADFBGG ABDEHG ABBDEH ABCDDH ABCDEH CEFHHA HGFCAB ABCDFH ABDDGG ABBDGG HGFEBB ABCCEH ABCCDH ABCCDH ABCDEH BEGHGA HGFEDA HGFDDA GDBACH HGFDBB ABBEFH BBBCEH ABCDEH ABCDEH BEGHEB HEBBAF FFFCAG CDEGAH BCDAHG HGGEDA HGGFDA HGFECA HGDBCB ECBAHE ABCEFH ABCEEH ACFHGD GGGFDA HGFEDA HGGFCA HGFECA HGFECA ABCDFH FFGGFA GGGFDA DBBBDH ABCEEH ABCDFH ABCCGH ABDCGG ABCDEH ABDDDH ABCDEH ABCDEH ABCDFH ABCDEH ABCDEH ABCDEH ABCDEH ABCDEH ABCDEH ABCDEH ABCDEH GGGGEA
4,EGGGGA GGGEBA HGGEDA HGFDBB FCBBAH ABCDEH ABCDFH ABCDDH ABCDFH ABCDGH EFGGHA HGFEDA HGFDCA HFCAAG ABCDFH ABCDEH ABCEFH ABBCFH HGFEDA HGFECA HGFECA HGFCBB ABCBDH ABCCEH ABCDEH ABCDEH ABCEFH ABCDFH ABCDFH ABCEGH ABCEHG GGGFDA HGDBBC ABCDFH ABCDFH ABCDEH ABCEFH ABCFEH ABCDFH ABCDEH ABCDEH FGGGEA HGFEDA HGFEDA HGFECA CBBBDH ABCDFH ABCDDH ABBDGH HGGEDA HGFECA HGFDCA HGFDBB GGGGEA HGFEBA HGGFDA HGFEDA HGFEDA FEDBAH ABCDEH ABCDFH HGFEDA HGFDCA HGFECA HGFEDA HGFEDA GGGFEA HGFEEA HGFDBB CBBBBH ABCCEH GGGGCA HGFDCA HGFECA ABDEEH BBBCHG HGFDBB HGEDEA HFDACF GGGEDA CGHFDB HGFDDA GGFGFA EGGHEA GGGFCA HGEFDA HGFEDA HGFECA HGFEAB ABBDEH ABCDEH ABCDFH
5,HGECAC GGGFEA BBBBEH ABCDFH ABCCEH ABCDFH ABCDFH ABCDEH ABCDFH ABCEEH ABCFFG BBBCEH ABCDFH ACFFDG ABCEFH HGFEDA HGFEDA HGFEDA HGFECA HGFECA ABCDFH ABCDFH BBBCCH ABDEEH ABCDFH ABCDGG HGGDBB HHGCCA HGFECA HGECEA HGFDBB HGGFAA FFFGHA FCBBAH DFGGHA GGGGEA HGECBB ABCDHG HGFECA HGFEDA HGEDBB BBBCCH ABCDEH ABCDEH ABCDFH ABDFFG ACFFBH HGGDAB HHGCBB GGFGEA HGGFDA HGFDCA HGFECA ABCDCH BBCGAH ABCDDH AFHHDB GGGFEA HGFEEA HGFEDA HGFECA HGFECA HGFEDA HGFECA HGFEDA HGFEDA HGFEDA HGGFDA HGFECA CBBBCH BBBCEH ABCFFG ABCDFH ABBDFH ABBEGH ACFGFF AEGCHB BCDGHB BEGGHA GCABFF ABCEGG HGFCBB ABCDEH ABDFFG GHGCEA DBACCH ABCCHG EGHFAB BBCCCH ABDCGG GGGGGA HGFDBB
6,BBCBDH BBBBHG HGFECA CGHGDB HGFECA HGECBB HGFCBB HGFABD BCFHGB HGFFDA DCCCAH ABCDFH FGHFDA HGFDBB HGGECA GGFFFA HGFECA HGFEDA HGFDCA BBBBCH ABCFGG ABCDEH BBBCEH BBBCEH HGFEDA HGFECA HGFEEA ABCCGH ABCDEH ABCEFH FEEFHA EFGHDA HGFEBB ABBCGH BBCFHC ADFEAH HFCCFB GGGFEA HGFFFA HGFECA HGFEDA HGFEDA HGFDBB ABCDEH ABCDFH ABCDFH ABCEFH ABCDGG BCCBCH ABBDFH ABCGHF ACEFDG ABCEEH ABDFFG ABCDFH ABCDEH ABCDFH ABCEEH BEGHHA HGGFEA HGFECA HGFDCA HGFDBB BBBCFH BBCCCH ABCDFH FBACHC DFGGHA HGFEDA HGFECA HGFEDA HGFECA GGGEDA HGFEBA GHGABC HGEEHA HGFCBB BBBBGH ADGHDD ABEGFF HFCCFB BBBBFH ACEFHB HGEABD BBCCCH FCBDAH HGGDBB FGGGEA GGGGBA CBBBDH ABCEFH ABCDEH
7,FGGGDA HGFDDA HGFEBA HGECAC BBCCAH BBBCFH ABCDDH ABDECH ACDCBH BABGGG ADGGGC ECCHGA GDDHFA GGGGBA HGFEDA HGFEDA GGGFDA HFCABD ABCEBH ABCDEH ABCDEH ABCDFH HGFEDA HGFEDA HGFEDA HGFCBB ABCDDH ABBEFH BBBCGH ABCEGG BBBBGH ABDCEH ABCDEH ABCEFG HGFECA ABCDFH ABCEFH ABCDFH ABCDDH ABCCEH ABCDEH ABCCDH ABCDEH GGGFEA HGFECA HGFEDA GGGDFA HGFDBB CBBFAH ABCCDH ABBDEH ABBDEH ABCDEH ACFFGE HGFEDA HFEEGA GGGFDA HGFEDA HGFEDA HGFEDA HGFDCA BBBCDH ABCDEH ADGGHB HGFFDA HGFFCA HGFEDA HGFEAC ABCDEH HGGEDA HGECBB HGFGCA HGFDCA ABCDFH ABDEFG ABCDFH FFGHFA FGGABE ABCDFH DBABDH CBBCDH ABDGBH ABDGDH ABCCDH ABCDEH BABHGF ABCFGG FFFFHA ABCDEH ABCDEH ABCDEH ABCDFH
8,EEFGHA BCEHHB HGFEDA HGFECA HGFECA HGFDCA HGFEDA HGFECA HGFEDA HGFDDA HGGFBA HGFEDA HGFEDA HGFECA HGFDAD ABCDEH ABCDEH ABCEEH ABCEFG HGFEDA HGFEDA HGFECA HGFEDA HGFECA HGFDCA BBBCDH ABCDEH ABCDFH ABCDFH ABCEFH ABCDFH ABCDFH ABCEFG GGGGFA HGFEBA ABCDFH ABCEFH ABCDFH ACEFHD ABCCDH ABBDFH ABCDEH HGFEDA HGFECA GGGFDA HGFDAB ABBDEH ABCDFH ABCEFH ABDFHF HGFECA HGFECA HGFDCA HGFECA HGFECA HGGEDA HGFEDA HGFEDA HGFEDA GCBBAH ABCDEH ABCDEH ABCEFH HGFFDA HGFECA HGFFDA HGFDCA HGFEDA HGFEDA HGFECA ABCGGG HGFECA HGECAC ABCDEH ABCEFH ABDDDH ABCEDH ABDEGG ABCCFH ABCHBH ABCDEH ABCCEH ABCDFH ABCDEH ABBDFH ABCDEH ABCDEH ABCDEH ABCDDH ABCDFH ABCDEH GHGEAB
9,ABCGHE HGFECA HGFECA HGFEBA HGFEBA BBBCEH ABCDCH ABCDFH AABFFH ABCDHG ABDDDH BFGBHB HFDGAD CABHFF HGGEDA GEEHGA HGFCFA HGFCBB HFDFAC ABDFDH ECBBBH BBDEHB HGFEDA HGFEDA HGFDBB ABBDFH ABDEDH ABCDFH ABCDEH ABCEGG BBBDEH ABCDFH GGGFEA ABCDEH ABCDEH ABCDEH ABCDEH ABCDFH ABCDEH ABCCEH ABCDEH HGFEDA HGFECA HGFDCA HGEBHA HGFFEA HECBAG ABBDFH BBBCDH ABBDDH ABCDEH ACFHGC HGFEDA HGFEBB HGGEBA HGGECA HGFEDA HGFFDA HGFEDA HGECEB BBBCDH ABCDEH ABDEFG HGGECA HGFEDA HGFEDA HGEBEB BBBDHG HGGDDA BBBBDH ABCDFH EGGGGA HGFEDA HGFDBB ABCDFH ABEEFG AABFGG BBCCAH ABBDFH BBCCBH ABCDEH ABBEFH ABCDFH ABCEGG ABBEFH ABCDFH ABCDFH FBADHF BBBDDH ABCDEH ABCDDH ABCDEH
