,0
0,HFDECBB HDBBBEG ABDFFGH GGGFDBA HGEBBBD ABCFGGG GGGECBA HFDCCBB ABCDFGH ABDEFGH ABDFHGC HEBCCDD ABDEFGH BBCDEGH GHFDCBA EBACEGH DFGGEBA HGEDBBB HGFEDBA CBBBEGH CGHFDBA HGFECBA HGFECBA AACEGGG HGEBBBC ABDFFGG EDHEADE BABEEGH ABDFFFH BBBCEGH
1,ABGGGFE HGECBBB ABCEFGH BEFHFDA HGECCBA HGGECBA CBBCEGH ABCEGHG HGFECBA ABDEFGH ABCDEGH ACFGGEA HGCCCCC HGFCBAC ABCEGGG HGFFDAA ABCDFGH GHFDCBA HGFDCAA HGEBBCB CBAFHGE HGFEBBA FFFDBAH CFHGDBA HEBBCDE BGHGCBB ABCEFGH ABCDEGH ABDEGGG BBCCDGH
2,DHHECBA HGECBBB GGGECAB GGGFEBA HGFECBA HGECBBC ABCDFGH GGGECBA HGDCBBD ABDEFGH ABCDFGH ABCEFGH ABCEFGH BDFGGEA HGFDCBA BBBDFGH BFHGEBA HGDCBBC GGGFDBA EDCBBFH AEGGEDD HGFECBA HGFECBA GHFDCBA CABDEGH ABCDFGH ACGDDEH ABCDFGH ABCDFGH BBCCEGH
3,GHDCBCE ABCDFGH ABCEFGH ABCEGGG HGDBDDB HGFEDBA ABCDFGH ACFHGDA HGFDBBB ABCEFGH BBCCEGH HHFBBBC ABDFGGF BBCCDGH ADGHFCB HGEDDBA ABCDFGH ABFGFFF CADDDFH GGGFDBA FBBBCFH ABFGGFC HGFECBA EBACGHF EDBADGH ABDEFGH ABCDFGH ABCDFGH ABCEFGH BBCDEGH
4,HGEEDCA HDBBBEH ABCEFGH CEGGGDA GDBBBEH ABCDFGH HGFECBA HCBBCEG ABCDFGH ABCEFGH GGGFDAA ABCEFGH ABCEFGH ABCEGHD HGFDCBA AACEFGH FGGFDBA HGDCBBB GGGFDBA DCBBCGH AFHGECB HGFDCBA HGFECBA AACEGHG HFDBACE BHHEDCB HGGEBBA HGEDBBA HGEDDBA HFCBBCG
5,HDEDBBD ABDEFGH ABCDFGH BCCCDEH ABEFFGG GGGEDBA HGDBABE ABCDFGH ABDFGGF HHGDBBA HFEDBBB FFFFFDA HDCCCCC FECBBCH ABCEGGH ADFGGFC HGFECBA HGDCBBC AACFGGG HGFEDBA HGEDCBA HGFECBA HGFECBA BBBCEGH ABCEGGG ABEGFFF DDCBBFH FABCEGH ECBBCGH BBBCEGH
6,ABFGGFF HHFDBBA HGEBBDC CCBBDGH HGFDCBA HGGECBA HCBBCFH ABCDFGH HGFDCBA ABCEFGH GGFEDBA ADEFFGG GGFFECA HGEDCBA BBBCEGH ABCEFGH ABBDGHH ABCDFHH ABCDFGH CEGGFDA HGEDBBB ABEEFGG FFFFFBA HGFECBA HGECBBB GFDBBBH BBDHHDD CEFHGBA FFFFFCA GGGEBAB
7,HHFDCBA CBBCEGH ABDEFGH ADEHFEC GGGECBA HGFECAA ABCDFGH EGHFDBA HGEBBBC ABDEGGG BBCCEGH GHGDBBB ABDEFGH BBCDEGH CFHGEBA HGFECBA BBBCEGH ABCEGGG HGEDCBA HGFECBA CBBCDGH GGGFDBA CCCBCGH HGFCBBB DBACEGH BEHHCCB ABDDFFH ABCEFGH ABDFFGG DDABDFH
8,GGEFEBA HGEDCBB HGFECBA HGFECBA HGFDCBA ABCDFGH GGGECBA HGFDBBA CBBBEGH ABDEFGH ABCEFGH HHFCBBB ABCEFGH BBCCEGH HGECBBB BBBCFGH ACEHGEC HGECBBB GGFEDBA HGFECAB ABCDFGH HGFDCBA HGFEDBA HCAGGDB BABDFHH ABCEFGH ABCDEGH ABCDFGH ABCDFGH BBCDEGH
9,GHGECBA HFDBBBD ABCEFGH ABCFGGG FDBCFHB HGGECBA EBADFGH GGGECBA BBBDEGH ABDFFGG ACEGHGA ABCEFGH ABCDEGH BBDGHGB HGECBBB HGCABDG ABCDFGH GHFDCBA HGFECBA HGFECAA ABCDFHH HGFECBA ECBFHFB AACEGGG HGECBBB ABCEFGH ABCDFGH ABCEFGH ABDEFGH BBBCEGH
10,GECDGDA BBBCFGH ABCDFGH ABDFGGF HGFEDBA BBBDFGH ABDFGGG HGFDCBA GGGECBA HGDCCBB HGECBBC ABCDFGH ADFGGFB HGFDCBA BBBDFGH EHGFCAA ECBADGH ABEFGGG ABCDFGH FGGFEBA HDADFED HGDCBCB HGFEDBA HGECBBB ABCFGGG ABFGFGE ADEFDEH GHGABCC ABEHGDD BBBCEGH
11,HGFDCBA HGFDCBA HGFDCBA HGFECBA HGFEDBA FDBBCFH ABCEFGH DGHFDBA HGFECBA HGCABDE ABCDFGH ABCEFGH ABDFGFG ABCFGHE HGFDCBA EDBBCFH ABCEFGH DGHFCBA ACEFHGB GGGFDBA HGEDCBA ABCEGGH GGFFDBA HFCABEG EHGECBA HGECBBB AFFDDEG ABCDFGH BCCCCFH BBBCEGH
12,FHGECBA HGECBBB ACFGHDB GGGFDBA HGFEDBA HGFECBA ABCDFGH ABCEGGG HGGECBA HGFCBBB ABCDEGH ABCEFGH ABDEGGH BBCDEGH ACGHGDB HEBABEH AFGGFDA HGECBBB GGGFDBA HGFECBA EDCBBFH ABEGGGF HGFECBA BBBCFGH GGGFCBA HABCEFG HHAADED FECACFH ABDDFGH BBBCEGH
13,HGFDCBA HGFDCBA HGFDCBA HGFECBA DDCBBEH ABCEFGH HGFECBA HGFECBA ABCEFGH ABCEFGH HGBBCDE ABDEFGH ABCDFGH GGFEDBA DBBBEGH GGGFDBA HGEDBBB ABDFGGF ABCDFGH GGGFDBA HGECBBB CBBBEGH ABDFGGG HGFDBAB ABCEFGH DEGHFBA EBAAFHH HGFECBA HCABDFG ABCDFGH
14,ABEFFGG HHFCABD ABCEFGH ACFGGFC HGEDCBA HGGECBA HGECBBB ABCDFHH HGFECBA CACDFGH ABCCEGH ABDEFGH BGGFFDA BBCCEGH GGGFCBA HGECBBC ABCEFGH HGFDBBB HGFCABD GGGEDBA BABDFGH ADFFFFF GGFFDBA HGFCBBB HDBBCEH ABCDFGH ABDDEGH ABCEDFH ABDEGGG ABCEFGH
15,HGEDCBA HECBBDF ABCEFGH CDGHFDA HGFEDBA DCBBDGH ABCEGGG HGFDCBA HGFDBAB ABDEFGH ABCDEGH ABCEFGH ABCDFGH ABCDFGH HHFDCBA FDBBBEH ABCEGGG HGECBBB GGFEDBA GGFEDBA HGEDCBA ABEFGGF GGFEDBA AACEGGH GGFGEAA GCACEFH ABDEFGH ABBCFGH ABCEFGH BBCCEGH
16,BDHGECA HGFDCBA HGFDCBA HGFECBA HGFECBA CBBCEGH ABCEGGG HGFDCBA HGECBBB ABCEGGG BCCCDGH ACEGHGA ABCCEGH ABCDFHH GHGDBBA HHFDBBB ABCDFGH ABCFGGG HGFECBA HGDABBF ABCFHGF HGFECBA HGFECBA ABCEGGG HGFECBA ABCEFGH ABCDFGH ABCEFGH ABCEFGH ABCDEGH
17,CBBBEGH HGFDBBA HGEDCBA GGFFDBA HGEDCBA HGGECAA ABCEFGH HGFDCBA HBACEFG ACEFFGG ABBDGHG HABCDEF ABCDFGH BBCDEGH GGGFDAA HHFBBBB BBCDCGH HGEDBBB HGFECBA BABDGGG BAEHGEC HGFDBBA GDBBBDH BCBBEGH DFGGEBA HGDBBBC ABCDEGH ABCDEGH ABEGGGE HGFEBAB
18,GEGGDBA HGECCBB HGEDCBA HGFECBA CCCCCGH ABCEFGH HGFDCBA CABCEGH ABCEFGH CDFHGCA ABCDEGH ABDFGGG ACBDGHF HGFECBA HGDABDF ABCDEGH HGEDBBB ABCEFGH GGGFDBA ABCEGGH ACGGFEC HGEDCBA BBBDFGH ABDGGGE HGECBBB ABCEFGH CEGGGCA EFGGEBA BBBDFGH ABCDEGH
19,HCCEEDA HGECBBB GGGFCBA HGFEDBA HGDBBBE ABDFGGG HGGECBA HGEDCBA BBBCFGH ABCEFGH GGGFDAA ABCEFGH ABCEEGH BCDGHGA HGFDCBA ABCDFGH DFGGEBA HGEDCBB HGFECBA ABDEFGH BFHGEBA HGFDCBA HGFECBA GDCBBEH HGEEDBA EBBBEGH ABCEFGH ABCDFGH ABCEFGH BBBDEGH
20,HGECBAE ABDFGGG HGFDCBA HGFDCBA GCBBCFH FGGFDBA HGFDBBB ABCDFGH GGGECBA HFDCCBB HFCBBCF ABDFGHE GABCEGG BBCDEGH ABCEGHG HGFECBA ABCEFGH FHGDCBB HGFECBA HFCBCDD CCGHGCA HGEDCBA BBBCEGH ADGGGEA HGFDCBB ACCDFGH GHGCBBB DBBCDGH ABEGFFF BDEECBH
21,HHFDCBA ABDGFFH FHGEDAA HGFDCBA BBCCEGH ABCEFGH HGFDBBB ABCDFGH ABCEFGH HHFCBBB ABCDFGH ACGHFEC GGGECBA HGFECBA HGECBBB GGGECBA HGDCBBD ABCDEGH ABBCFHH HGFECBA DAADFGH ABCEGGG DCCBBEH ABCEFGH ABDEFGG HGFDCBA HGGDCBA ABCEFGH ACDCEGH FFGGFBA
