,0
0,FFCBCBB FFEDBAA BBBBDFF AACDEFF ABEDBFE FEEDCAA FFDCBAA AABCDFF ABDEFEE EEEECAA FFDCBAA FFEBBAB ABBCDFF AACDEFF ABBCDEF AABDEFF EEEECAA AACDEEF ABCDEEF AABCDFF ABBCDEF EFEDCAA FFEDCAA AABDEEF ABDEFEC FFDCBBA FFDCBBA FEEDCAA FFEDCAA AABCEFF ACEFECB FEEDBAA FFEDBAA FFEDCAA EDBBBCF ABDEEEE FFDCBAA AABCEFF ACCBCFF CCDFFCA AECFDCD ABCCDEF AACDEFF AABDDEF AABCDFF ABCEFDD
1,AACEEEE FFEDBAA FECBBBB AABCEFF AACDDFF DEFDDBA FFDCBBA FEEDCBA FFEDBAA DBABCEF AABCEFF AACEFED FFEDCAA FEBABCD AACDEFF AABCDEF AABCEFF DEEEDBA FFDBBBB FEEDCAA FECBABE AABCDFF FFEDBBA FFFDBAA AABCDFF AABDEFE FEDCBAA FFECBAA FEDECBA FCABEEC CBBABFF FEEDCAA FFDCBBA FEEDDBA AABCEFF FFECBBA FECBBBB AACDEFF FFDCBBA AACDEFF AABDEEF ABBCEFF AACDEFF BECBBDF ABBCDEF ABBCDFF
2,ADFFDBA FFECBAA FFDCBBB EEEEDBA BABCEFE FEEDCAA FFECBAA FFEDCAA FECBBBD AABCDFF AACDEEF FFECBAA FFECBBA AABDEFF AACDEFF AABDEFF AABCEFF AACDEFF AABDEFF ABBCDFF DEEEDBA FFECBBA FFDCBBB AABCDFF ABDFEEC FFDCBBA FECBABF FEEDCBA FFEDBAA BBABDFF ABDEEED FEEDCBA FEEDCBA FFEDBAA CBABFFE FFECBAA DBABEEF ABCDEEF AACCEFF AADFFCD AACDDEF AABCDFF ABCDDEF AACDEEF AABCDFF BBBBCEF
3,DFECBBB AABCDFF ABBCDFF ABBCDFF AABDEFF AACDEFF FEECABB EEEDDBA FEEDBAA AABCDEF AABCEFF EFEDCAA FFEDBAA ABBCEFF AABCEFF AABCDEF AACDFFD FCABCDE ABCDEFF CBBBCEF ABBCDEF AACDFFE FFECBAA EEEECAA ABBCDEF AABDEFF DFDCBBB DBAEEEE CCFFDBA FFEDCAA FCCCBBC ABBCDFF DEEEDBA FFECBAA FFDCBAA AADEEED FFDBABD ABCDEEF AABCEFF AABDEEF AACDEEF ABBCDFF AACDEFF ABBCDFF ABBCDFF CDEEECA
4,FFDBCBA FFDCBAA BBBBDFF AACDEEF AABCEFF EEEECAA FFDCBAB AABCEFF ABBCDFF FEEDCAA FFDCBAA ABBCDEF AABCDFF AACDEFF AACDEFF EEEEDBA FBBBCDD ABBCDFF AACDEFF ABBCDFF ABDEFEA FFECBAA FEDBABD AACDEEF BCEFECA FFDCBAA FECBBBB FEEDCBA FFEDCAA BAACDFF ABEFEDC FEEDBAA FFDCBAA FFEDCBA FDBBBBF AACEFED FEDCBBA ABCDDFF FEDCBBA FEEEDBA EFEDBAA FFEBBBA FFDCBBA FFEDBAA CBBBCEF ABBCDFF
5,FDBCCBB AABCEFF AABDEFF AABCEEF AACDEFF BBBBBEF AACEEEE CEFFDBA FFEDCAA FFECBAA AABDEFF AABCEFF AABCEFF FECCBBA FFDBBBB FECCCBA FFECAAB EEEDDBA FDBBBBB FFEDBAA CBBBCEF AABCDFF AABCEFF DEEEDAA FEDCBBA FFECBAA FEBBBBC ABBCEFF EEEEDBA FFEDCAA FEDCBAA FEEDCAA FFEDCAA FEEDCBA FECBBBC AABCEFF AACDEFF ABCCEFF DEEBBEB EFFCABB DEFEDAA AABCEFF FEDBABC ABDDFEE AABCEFF EEEDCAA
6,AABEEEF FECBCBA FFDCBBB FEDDBAA EEEECBA BABCEFF FFEDCAA FFECCBA FFECBAA FECBBBC ABBCDFF AACDDEF FFEDBAA FEDAACD AACDEFF FFFCBBA FEAABCD ABEBEDF FEEDCBA FFEDCAA FFEDBAA CBBBCEF AABDEFF AACDEFF BBBCDFF ABBBEFF ABBCEFF AABCDFF AACDEFF EEEECBA FFDCBAA CBBBBEF AABCEFF DDFCDDA FFDCBBA FFDCBAA FFECBAA FEDECBA DBBBBEF ABBBEFF FBBBCDE DFFDBAA AABEEEF FEBBBBB FFCBABC ABBCDEF
7,FFECBAA FFDCBBA AABDEFF AACDEEF AABEDFF CFECBDA EEEDCBA FEEDCAA FFECBAB ABBCEFF AABDEFF FFEDBAA FFECBAA AABDEFF AACDEFF AACCEEF AABCEFF FECBBBC AACDEEF ABBCDEF ABBCDEF ABDFFEC FFDCBBA FFEDBAA ABBCDEF AABDEFF AACDEEE FFECBBA FFEDCAA FFEDCAA FDBABDF AACDEFE FFEDCAA FFECBAA ABDFFEC FEDCBBA FDBABDF ABCDEEF FFDBCAB AADEDEF AABDEFF ABBCDEF AACDEFE BCDDEFA ABBCDFF ABBCDFF
8,EFEABBB FFECBAA FFDCBAA FFEDCAA FFEDBAA FFDDCAA FFECBAA BBBBDEF AABDEFF DEFECAA FFECBAA FFDCBBA EDBABCF AABDEFF AACDEFF AABDEFF BDEEEDA FEBBBBC ABCDEFF ABCBDEF ABBCDEF FFECBAA FFDCBAA AABCEFF AACDEFF FFDCBAA FEDCBBA FEEDCBA FFEDCAA FFDCAAB AABCEFF ABEEEDD FEECBBA FEDDCBA FFECBAA AEFEDBA BBABDFF ABCDEEF AABDEFF AACDEFF AACDEEF AACCDFF AABCDFF AABCDFF AABCDFF ABDFFBB
9,DEFECAA FFDCBAA ECABBEF AABDEFF ABBCEFF ABDEEED FECCADC FECCDEA FEECBAA FCAACDE BABCEFE FFEDCAA BBABDFF ABBDEEF AABDEFF AABCEFF FFDBABB AABDEFF AABDEFF AABCEEF CDEFEBA FFDCBAA FEEDDBA BAACDFF AABDEFF AACDEFE FFDCBAA FFEDCAA FFEDCAA FFECBAA AABCDFF ADEFECA FFEDBAA DBBBBFF EDCAACF AACEEEE FFECBAA AABCEFF ABCDDEF AABCDEF AABCDFF AABCEFF ABCDEEF AACEDEF AABCDFF ABBCDFF
10,EFBAACF FFECBAB AABCEFF AABCEFF AABDEEF ACEFFCA FFECBAA FFECBAB AABCEFF AABDEFF EEEECAA FFECBAA FEEDCBA FFDCBBA FEDCCBA FFECBAA ABBCDFF AABDEFF ABCDEEF FFEDCAA FFDCBAA ABBCDFF AACDEFF FFECBAA FEDBAAD AACDEFF ABEEEEE AABCEFF AACDEFF FFEDCBA FECAADE FECDDBA FECBDCA FFEDCBA FFEDBAA FECBBBB AABDEFF ABCDEEF CFDCFCA ABEDEED AABDDFF FBBCDEC AABCEFF AEEDEBA AABCEFF EEEECAA
11,FFECBAA FFDCBAA FFDCBAA FFECBAA FFEDBAA FFEDBAA FEEDCAA FFEDCAA AABCDFF AABDEFF AACDEEF FEECBBA FEEDCAA FFECBAA CAACEFF AACDEEF AABCEFF AABDEFF ABCDEFF BBBBDEF ABDEFDA FFECBAA FFDCBBA BBBBDFF AACDEFF ABCDEEF FEDCBBA AACDDEF FFEDCAA FFEDCAA FFDCBAA CCBBBDF AACDEFF FFEDBAA FFEDBAA CBABDFF AEFECBA FEEDCBA FECBBBB ACEEDDD ABBCEFE ABBCEEF ADDCBEF AACEEEF AABCEFF ABCDECF
12,BEFECBA FFDCBBA FEDCBBB AACDEEF FEDCBBA FEEDCAA FEEDCAA FFEDCAA FFECBAA AABCDFF AABDEFF AACEEEE FEEDCAA FFECBAA FECBBBC AACDEEF AABCEFF AABDEFF AACDEEF ABBCDEF ABBCDEF AACEEFE FEEDBAA BBBCDFF ABDEEDD FFDCBAA FEDBBBB EDEEDBA FFEDCAA FFEDBAA FFDCBAA AACDEFF ADEEEDC FEEDCBA FECBBBB AABDEFF EEEDDBA FFECBAA AABDEEF EFEBABC FEDCCBA BABCEFF AACDDEF AABCEFF AABCDFF ABCEFFC
13,FFEDBAA FFDCBAA FFDCBAA FFECBAA FFEDBAA FFEDBAA FEEDCAA AABCEFF AACDEFF FFEDCAA FFDCBBA FFEDBAA AABCEFF AACDEEF AACDEFF FFEBABB AABCEFF ABCDEEF AABCEFF ABDEFEB FEEDCAA FDBAACF ABCDEFF FFEDBAA FFDCBAA FEBBBCD ABDEFEB AABCDFF ABCEEEE FFEDCAA FFDCBAA FFEDCAA AABCDFF AABDEFF EEEDCBA FFDBABB AACDEFF AABDEFF EFEDCAA FECBBBF EEEECAA FFEDBAA FEBABCD ABBCDFF AABCDEF ABBCDFF
