,0
0,BDDCBABEF ECBAABEFF FFDBAABDE FEBAABDEF AAEFEDCCB FFEDDCCBA AABCDEEFF EDAABDEFE
1,EEEEEDCAA ECAADEEED ABBBCDEFF DEEEEEAAA ACFFEDCBB EEEEDDBAA FFEECBABA ABBBCCDFF
2,ABEEDEDDE AABCDEEFE FFECBAABC AABDDEEEE EFFDBBBBA FFEECBAAB AABCEEEEE FFDDCBABB
3,ABBBBFFFD CABEFFDCA AAACEEEEE AABCDEEFF FFDCBBABD EEFFDBAAB EFFEDBAAB BCDFFFCAA
4,ACEFEEDCB AABCDEFFF FFEDBAABC AACDEEEEE ABFFDCBCC FFEEDCBAA AABCDEEFE EDBAACCFF
5,AABCDEEEF ACCCCEECE FFEDCCBAA AABCDEEFF EFFDDCBAA FFDBAABDE AABCCEFFF CCADEEEEA
6,EDDABEFDA FEDBBBBCC AABBCEEFF ADEFEEDBA DBAAFFEDD EEEEECBAA FEECABADC AABEEFEEC
7,ACEFFECBB EAEFCBDBC CCBBABDFF FFEDCBBAA BDFFECAAC ABDEFFEBA AABCEFFBE BCECAADFF
8,AABBDEFFF FEEDEDDAA FFEDCBAAB AABCDEEFF FFECCBBAA EEDBAACEF ABABDDFFE EDDEDCFAA
9,FFECCBBBA FEDCCCCAA AABCCDFFF CDEEEECAA CEEBAADEF FFEEDCBAA FFEEDABBA ABABCDFFE
10,ABFFEECBB AAACDDFFE FFDBAABDE AABDEEEEE ABFFDCCDD FFEEDCBAA AABCDEFFF FEEDDCBAA
11,AABCDEEFF EFEBDECAA FFEEDBBAA AABCDEEEF AABDEEEEE FFEEDCBAA AABCDEEFF CCCDFEDCA
12,FEDAAADED FEECDCABA AABBCDEFF ACDFFEEBA AAACEFFED FFEEDCBAA AAABCDFFF EEFDECCBA
13,AABDEEEEE DDEEEECAA ECBAACEFF CEFEEECAA AABDDDEFF EEEEEDCAA FDBAABDEF AAABCDFFF
14,FFEDCBBBA AACFDDEDD BBBBCCEFF ABBCDDEFF FDAABCDEE FEEEDDCAA FEECBBBCB CCCFDEBCA
