,0
0,EECDDFBAC EDABFFCCB BCCBBBEFF CBEAADFEC AEEBDDEEB AEDDDACFD CACBCFECE FBACECBCD EFFECAABB CDFEEBBAC FFECABBDB EEACDBECB
1,EEBBCACEF BBBABDFFE FEEEDCBAA BAEDCEEDB DDCECAAFE FDDFDBEBA BCEDDDDAF DCCAEFCCD BDDBBCCEF EEFEBBBAC DDBBCBFDE FEECACBEB
2,CCECEFACB FBAEDCDDB ABABDEFEE CECCEDCAF CBDCEFEBA EBEDCBEBB DDCEEEEAA BACFEECEB EDDABFECB FBDDDCBDB AFCBCBDEF CBDBDDAFE
3,ECCDCADCF DBDFEBCBC ABFFDDDCC FEDCCECBA DFDEDBDBA FFDECCCAB AEEFDDBBC BDACDEEBF BABCFCEDE ADCDDEBEE DCCACBEFE CFADDBECB
4,BAAEDCEDF CCCBEBDCD DFBBDEECA DFCCDEEAB EEAABCCDF DDAAEEDDE DADDBCCEF EBCEABCCF ACEADFEDE DACDDCBDF EDCBACBEF DDDEEFAAA
5,BBFFBAECD CDBDEECAF FDECEBCAC ABBDFBDED AAEDBBDFE BBBACFEEE EFEEEBAAA EBFDBDCEB CCABBDEFF ADDCECFCB ACAECBEEE BCACCDECF
6,DAACEEEDE CACEBCCDF FCEEEEBBA CCDCFDACE ABDEFFEBA EABFEDDCB FDBABBEEC ECDFDCDAB BECCBCFDC ABAEDEDDE EBFBBDEBD BFDABEEDB
7,EEDEECACA ABBBDFFED EEDEFEABA EEEEBBAEA FEDDCCAAE EDECBCFCA DBABEECFB CEADDCBBF DCEDABDDE CBCDEBDFB EEEBCCCEA AEFCCCCCF
8,CFABECDDB DFCDEBBBC CDFECCBBA CCBEEBBAF DBDBBABFF CCBCBECFD CDDCAECED AEDDEDBED FBABCEDBF FFECBBBBB BFBDDFDCA BDDDCBFAD
9,BEEFCCADC BFEEBBDDA FDDDDEBAA DABCDECAF BCEEECABE AADDFECED FCCEBCCAD DCABDFFBB EEDEEEDAA BABCDECFF CAABCDEFE BAABDFEFD
10,CADACFDDC CAEFFBBCC EAFFDBCCC DDAFFDDBA CCBBCACFF BACECDDCF BBDCDFFBC BCDDDEEFA DBACDFDDC DACECDFDC EECCABDAF BCCECBBEF
11,DBBCEFFCA FACDDECBB FFEABCCCB EEDDABEEA CABBEEEDF BFEABDECC DBBCCCBFE FFEEDBBAA BDDBEEBBF BDFBBDEEB EAEEABECE BABBDFDEF
12,BFECCBEBC DACBBEFFD BAACEDFED FBCBBBEFA DFFBBBDCD CCFEBBDCD CFDCDBBBE FCEABBCDE EDBCBCFEB BEBCEFCBC CBBBFDDDE DABDEDFFA
13,FBDBCCBFB FFECAACCC FEDCEECBA DABBEDBDF DEDCEECEA ACDEDECDC BACBEEEFB ABCBCFFDC CDCEDEEEA BFABCDCFE BCEDEDBFA CBCCBAEFF
14,EECABCCBF CBFEEECBA EAFEBADDC ACADCEEFD CDCCFCCAE EFABEDECA AACCDFFDD ABCEECEFC DCFFCBCBB ADCBDBDEF ADBFFCDBD DDEEEFBAA
15,ADFDDBDDC BFDCECECA EDCCCDDEA CCDFEBEDB EBDBAFEDC EEAEEECAB FECDEAADB EDECBEBAE BFCFDCBAD DBABBDCFF EEEDABBFC DAECDDEAF
16,DDDDCDFBA ACDFFCBBC EFCDCECAA EDBCBBCDF ADDDEFEDA DBCAACEFF CBACDEBFF AECBBEFDD FDCABCCEF AACEEFECB FBBBADFEB FEEECBABB
17,ADDFCDCCC BEFBCBDCC DEEFECBBA BDFDEDAAE EABECEDCE ABBEFECCE ADACCFEDC EAADEDEDE AEDEDCADE EFDBCBBEA EEECDDEAA DEDBDCDEA
18,BEFDEBCCC BCACFDDED BCEDEDAAF BBFFCDBDD CDEDEEBAC CBDACFCED BBDBDEDFD BBFCCEFAD BCEBBDDEE BBCBCDFCC CDBBEDBDF FFEBBBBBB
19,CEEEDBADB CDDCBABFF FFCBCBCDA EEEDADCAD CEDFEDEAA DFDCBDDCA BCEFCBCBF AECCEEECC FCBBECBCF FEBACDEED BCDBABEFF CADDBBECF
20,BCDEDBDBF ADEEAECCD FCDEDBEBA ADFDBCDEB AEDDBCDFA BBECDCAEF ECBBBBDDF BEBCACDEF AADDDBEEF CCDCCBAEF CABDBBDFF ACCBBBDFF
