,0
0,AAAACDDDD DDDCAAABC DABBCCCCC CCBBBAABD AABBBBCDD DDABBBBBB
1,DDDDCBAAA AABCDDDDA DDBBBBBBB BCCBBAACD BBBBBBBDD AABCDDDCC
2,DDDDCBBAA AAACDDDDC CDBBBBBBB AABBBCCCD ABBBABBDD AAABBDDDD
3,CCCBAAADC DDBACCBAA ABCCCCCCC DDCAAABBD CCCCCCCCA AABCCDDDD
4,CCCCBAABD CCDCCCBAA ABCCCCCCC DCCCAAABD AACCCCCDD AABCCDDDD
5,DDDCCBBBA AAACDDDDC DDBBBBBBB CAAABBBDD BBBBBABDD AACCCCCCC
6,DDDDCBBAA AABCDDDDB DDBBBBBBB DBBBABCCD BBBBBBBCD AABCCCDCC
7,DDDDCBAAA AABCDDDDC DDBBBBBBB BCCCBBDAC AAABCCCDD AACCCCCCC
8,BBBBBBACD DDDBBBAAA ABCCCCCCC AABBCCCDD CDDDBAAAC DDDCAAAAA
9,ABDDDCCCA AABCDDDCC BACCCCCCC BBBBBBBBD DDBBBBBBB AABCCDDDD
10,CCCBAAADC BBABCCBBD AACDCCCCC DDDBAABAC BCCCCCCCA AABCCDDDD
11,CCCCBBBDA AAACDDDDC DDBBBBBBB ACABBCDCD AABBBBBDD AABCCCCCC
12,CCCCBBBAD DDDDBAAAA AACCCCCCC AAABCCCDD CDDDBAABC DDDAAAABB
13,AAAACDDDD DDDCAAABC BACCCCCCC CBBBBBBCD AABBBBCDD DDBBBBBBB
14,DDDDCBAAA BCCDDDAAA DDBABBBBB BBAACCCCD AACCCCCCC AABCCDDCC
15,BBBBAAADD DDABBBBBC AACCCCCCC DCBABCBAD DDDDDCAAA AABCCDDDD
16,BBBBBAADD DDDABBBAA ABCCCCCCC AAABCDDDD DDDAAAABD DBBBBBBBB
17,CCCCBBAAD DCCDBBBAA AACCCCCCC DDDCCBAAA AAABCCDDD DDDAAAAAB
18,CCCBBBAAD DDDCBBAAA AACCCCCCC AAABBCCDD DDDCAAABC DDCABBBBB
19,CCCBBAADD DDDABBBAA ABCCCCCCC DDBBAABBD AAABBCCDD DBBBBBBBB
20,AAAACDDDD DDDAAABCC BACCCCCCC CBCCCCBAD CCCCCDBAA AABCCDDDD
21,BBBBAABDD DDCABBBAD AACCCCCCC DCCCBBAAD CCCCCCCCA AABCCDDDD
22,DDDDCBBAA AAABDDDDC DDBBBBBBB DDCCBBBAA AAAABCCDD AAAABDDDD
23,DDDDCBBAA AABCDDDDB DDBBBBBBB BBBBBABBD AAAAABDDD CDDDCBBAA
24,DDDDCBAAA AABCDDDDA DDBBBBBBB DAABBBCCD BBBBBBBBD AABCCCDCC
25,BBBBAACDD DDABBBBBA AACCCCCCC DDDCBAAAC CCCCCCCCA AABCCDDDD
26,BBBBDDCBA AAABBCCDD AACDCCCCC BBBBBBBCD CCCCCCCAA AABCCDDDD
27,DDDDCBBAA AABCDDDDB DDBBBBBBB DDCBCBAAC BBBBBBBDD CDDDCCBAA
28,CCCCBBBAD DDDDBAAAA AACCCCCCC AAABCCDDD DDDCAAABC DDABBBBBB
29,DDDDCBBAA AABCDDDDB DDBBBBBBB DACBBBBBD AABBBBCDD AABCDDDCC
30,DDDDCBBAA AABCDDDDA DDBBBBBBB BBBABBBCD AAABAADDD AABCDDDCC
31,AAAACDDDD DDDBAAACC DABCCCCCC AABBBBCDD AABBBBCDD DABBBBBBB
32,CCCCBBBBC AAABDDDDC DDBBBBBBB CCCCBBABC ABBBBBBDD AAAADDDDD
33,BBBBAACDD DDABBBBBB AACCCCCDD AABBCCCCD CCBBCCCCA AABCCDDDD
34,CCCCBBAAD DDDDBBAAA ABCCCCCCC DBAABBBBD AAABBCCDD DABBBBBBB
35,AAAACDDDD DDDAAABCC CACCCCCCC AAABDDCCC ABBBBCCDB AABCCDDDD
36,CCCBAAADC BBABCCBBD AADDCCCCC CAABBABDD CCCCCCCCA AABCCDDDD
37,CDCCCBCAA AABCCCCCD DCBBBBBBB BBBACCCCD BBBBABBDD AAAACDDDD
38,BBBBAABDD DDCABBBAA AACCCCCCC CCBCBAABD AABBBCCDD DDBBBBBBB
39,CCCBBAADD DDDABBBAA ABCCCCCCC DDCBBBAAC AAABBCCDD DBBBBBBBB
40,BCBBBBACD DDDBBBAAA ABCCCCCCC AABBBCDDD DDDCAAABC DDDAABBBB
41,DDDDCBBAA AAACDDDDB DDBBBBBBB BAABBBCDD AAAADDDDD AABCCDDCC
42,AAACDDDCC DAAACDCCC BACCCCCCC BBBCBAABD DDCAAAABB AABCCDDDD
43,BBBBBAADD DDDABBAAB AACCCCDDD AABCDDDCD DCBBBCCCA AABCCDDDD
44,DDDDCBBAA AABCDDDDB DDBBBBBBB CCCBBAABD BBBBBBBDD AABCDDDCC
45,DDDDCBBAA AAACDDDDC DCBBBBBBB DDBCCBAAB AAABBCCDD AABCCCCDD
46,AAAACDDDD DDDDBAAAB DABBBBCCC CCBBAAACD AABBBBCDD DDDDCAAAA
47,CCBBAADDB BCABDDCBA ABCCCCCCC DCDBABABC ABCBBBCDD DABBBCCCC
48,BBBBAACDD DDABBBBAC AACCCCCCC DDCBBAAAD CCCCCCCAA AABCCDDDD
49,AAAACDDDD DDCAAACCC CACCCCCCC BDCCDBAAD CCCCCCCBA AABCCDDDD
50,CCCCBBAAD DDDDBBAAA ABCCCCCCC CCDCCBAAC CCCCCCCAA AABCCDDDD
51,CCCBBAABD DDDDBBAAA AACCCCCCC BCCCBAABD AAABBCCDD CDDDDBAAA
52,BBBBAACDD DDAABBBBD AACCCCCCC DCCBBBAAD CCCCCCCAA AABCCDDDD
53,DDDDCBBAA AAACDDDDC DCBBBBBBB AABCCDBCD BBBBBBBCD AABCCDDDC
54,CCCCBBAAD DCCDBBBAA AACCCCCCC DDDBBAAAB AAABCCDDD DDDBAAAAA
55,BBBBAADDC CAABBBDDD AACCCCCCC BBBAACDDD DDCAAABBB AABCCDDDD
56,AAAACDDDD DDDAAABCC CACCCCCCC BABCDDBAD BCCCCCCCA AABCCDDDD
57,CCCBAAADC CCABDDCBA ABCCCCCCC CBBABBBBD CCCCCCBAA AABCCDDDC
58,DDDDCCBAA AAACDDDDC DDBBBBBBB AABBBBCDD AAAACDDDD AABCCDDCC
59,AAAACDDDD DDDDAAABC DABCCCCCC BAABCCBCD AABBBBCDD DDBBBBBBB
60,BBBBAABDD DDCABBBAB AACCCCCDD ABBDDDBCA CCCCCCCAA AABCCDDDD
61,BBBBAABDD DDCABBBAB AACCCCCDD CCCCCCCCA DCCDDDAAA AABCCDDDD
62,DDDDCBBAA AAACDDDDC DCBBBBBBB DDDAAAABC AAABBCCDD AACCCCCDD
63,BBBBAABDD DDCABBBAA AACCCCCCC DDBBBAAAD BCCCCCCCA AABCCDDDD
64,BBBBAABDD DDCABBBAA ABCCCCCCC DCBBABBAD AAABBCCDD DDDBAAAAA
65,BBBBAADDD DDAABBBAD AACCCCCCC DDCCCBAAC BCCCCCCCA AABCCDDDD
66,DDDDCBBAA AAACDDDDC DDBBBBBBB BCCDDCAAC AAABCCCDD AABCCCCCC
67,CCCCBBAAD DDDDBBAAA AACCCCCCC DBCABBBBD AAABBCCDD DDDBAAAAA
68,DDDCCBBBA AAACDDDDC DCBBBBBBB DBCCCAABC ABBBBBBDD AACCCCCCC
69,CCCBAAADD DDDABBBAA ABCCCCCCC CBBAACBCD AAABBCCDD DDBBBBBBB
