,0
0,FEDDCCBAA AAABDEEFF EEEEEDCAA FDCAAACEF CDEEEEDBA FFECBBBBB AABBDEEFF AABCDEEFF FFFCBBBBB ABBCCCDFF AABCEFFDB FECBAACEF DEFFECBAA FFEDCCBBA CCBBBBDFF DFFEDCBAA FFEDCCBAA BAAACEFFF FFDBABBCC ABADEEFFC ABBBBDEFF AABCCDEFF AABCDDEFE
1,ABEFEEDCB ECAABCDFF ABCDEFFDA FEEDDCBAA FFEDBAABB AABBCDFFF FFEDCBAAB AABCDDEFF AABDEFFEC FECBCCBBB BBBBBCDFF FFEDCCBAA AABBCDEFF FFEDCCBAA FFFECAABA DCCFFEDBA FFDCCBBBA AACEFFECB FCAABCDDE FDBBAADEF AABBCDEFF AABDEEEEE AABBCDEFF
2,EFFEDCBAA FECBBBBBB EEEEEECAA FFEEDCBAA CBBBBCDFF CDEFFDBAA FEBBAACEF AABCDEEFF AABCDEEFF AABBCDEFF EFEEDCBAA DCBABCDFF CEFFECBAA EDCCFEDBA EDCCBAADF AEFEDDCCB FFEEDCBAA DBEFEDBAA BAABCEEFF AABCCDFFE ABBBCDEFF AABCDEEFF AABCDDCEF
3,DEBBABDEF AABCCEEFF AABCDEEFF FEDDDDCBA FEDBABCDF AABDEFFDB FFECBBBBB AABCCDEFF DEFFDAAAB AABDEDDEF AABBCDEFF FFEDCBBAA AABBCDEFF FFCBCBBCC EEEEEDCAA CBBBBCDFF FFEEDCBAA FECBABDED CBAACDEFF AABCCDEFF AABBCDEFF AABCDDEFF ABBCDEFFA
4,FFEEDDBAA AABBCDEFF ABCDFFFDA CBBABCDFF CDDEFEDAA FFDBBBBBC AABCDEEFF ABCEEFFEA EAABCDEEF ABBBCDEFF EEFFDCBAA CBAABDEFF EFFEDBBAA FEDDDCCBA DCCBBABEF BFFFDCBAA FFEDCCBAA BAAACDFFF FDCAABDDF FEEDCBBBA FFEDCBBAA FEEEDCBAA BBBBCDDFF
5,FCCBAACEF AABCDDEFF ABBCCCCDF ABDDEEEED FFEEDCBAA AABCDDEFF AACEFEEED FFEDDBBAA EEDDDEDCA FDCCCCBBB BBBBBCEFF AABDEEEED FFEEDCBAA EBABBCDFF EEEEDCBAA FFEDCBBAA FFEEDCBAA CBBBBCDFF AABCEEEEE FFCFBCBAB DFEAABCEF CBAABEFFF EEEEEEDAA
6,AADEEEDDD FFDCCBBBB BBBBBBCFF FFEDDCBAA FFEDCBAAA AABBCDEFF FFEDCBAAB AADEFFEDC FAACDDDDD EEEEEDCAA FFECBAABE AABCDEEFF AAACDEEFF AABDDEEFF ABCEEFEDA FFDCBBABE AABDEEEEE FFEEDCBAA FFECBBBBB BAABDDEFF DABDEFEBB EEEEECAAA CBBBBCDFF
7,FFEDCBBAA AABBCDEFF AACDEFEED FFEEDCBAA EDBAABCFF ABDFFEDBA FFDAABBCD AABCDEEEF DEEFFCAAA AABCDDEFF AABBCEFFE FFEDCCBAA AABBCDEFF ABEFEEDDC FFEEDCBAA BBABBDEFF FFEDCBBAA CEFFEBBAA BAABCEEFF EDAAACEEF AABCCEEFF ABCDDEEFD AABBCDEFF
8,FFEEECBAA FFEDCCBAA FFEEDCBAA FEDCBAADF AABDEFFEB FFEDCBBAA BBABCDEFF AABCCDEFF EEFEEBAAA AABCDEEEF CDDEFECAA BBBBBCEFF ACEFFDCBA FFEDCBBBA FFEEDCBAA AABCDEFFE FFEEDBBAA FFDBACCBB AAABDEEFF AABCDDEFF AABBCDEFF AABBCDEFF AABCDEFFE
9,FFFDCBBAA BAABCDEFF AABCDEFFF ECBCEECEA FFECCBABB EEEEEDBAA AAABCEEFF ABBBBCEFF FDAABCDEF AABBCDEFF EFFEDCBAA FEEEBAACE AABCDEEFF FFEDCCBAA FFEEDCBAA AABCDEFFE FFEDBAAAC BAAACEFFF FFDBBBBBC ABBBDEEFF AABCDEEFF AABCDEEEF AABBCDDFF
