,0
0,HGFFEDCBBBB AABCEFFGGGG HHGGEDCBAAB BCDFGGGGFBA HHGDCCBBBCD AABCEFFGGGH FFGGGGFCAAA AABCDEEEFHH BBCEGHHECBA BAABCDFGHHG HHFEDCCBBBB EDDCCBBBEHH FHHGFEDCBAA HGGGFECBAAB BGHHGEDBBBB AACEEFFFGGF ABBBBDEFGHH BBBCCCCDFHH
1,ACHHGGFDCBB AABBCEFGGHH HHGGFDCBBBA HHGFEDBBABB AABCDFHHGFD HHEBBBCCDDD BBBBCCEFGHH HHGECBCCBBB BBBBBCDFHHH GEDEBAABEGH ACGHGFECCCB HHGFFECBABB FEEGGGFDCAA DDCCCCBBEHH HHGFECBBBBB BGGFCBAAEGH AABBCDEFGHH BBCCCCDDFGH
2,GHHGFECBBAA HEEEEDBABDE HGGGFEDCBAA GECBBBBCEGH EFGGGFECBAA BAABCEFGGHH ABBBCDEFGHH AABCDDEFGHH GGGGFEDCBAA AAABCEFGHHG HHFDCCBBCCC GFFEDCBAAEH AGHGFEEDCBB HHGFEDBAAED HGDBBBBCDFG AABCDEFFHHG ABBBCDEFGHH ABBCCDDEFHH
3,DDBBBBCEGHH AABCDEFFGHH BFHHGECBBCB HHGFDBABCDF BCDFGHGFDBA HGBBCCCDDDD CCDDEFGHGBA AACEEFFFFFG ABBBCEGHHFD HGFEDBABCDF AABDFGGFFFF FFFFGFFECAA CBBBBCDEGHH HHGGFEDCBAA AEHGEDBADFG AABCDEFFGHH AABBCDEFGHH BBBCCCDEGHH
4,HGGGFECBAAA AABCDEFGGGH HHGGECBAACF CCDEFGHGEBA HGEBBBBCCEG AABCDEFGGGH HHHGEBBBBBC AABCDDEFGHH GGHGFEDBBAA AABCEFGGGGG HHFECCCCCBB FEEDDCBABGH DHHGFEDCBAA HHGGFECBAAB BFHHFDCBBBC DHHGFDCBBBA HHGFEEDCCBA HHHGECBBABC
5,FBCBAACFGHH AABCCDEFGHH AAABDEGGGGG HGGGFEDCBAA AABCDEEGGHH EGHGGFFCAAA HGFEDDCBBCC HHFCCCCCCCC BBBBBCDFHHH CFGGGFFDBAA HHGECCBBBCC FGGGGFEDBAA HHGFEDDCBAA HHGGFECBAAA AABDDEFGGGG ABFGEGEEEDD EGFAABDFGGG ABBCDDDDFHH
6,AAFGGFFFEED HHGEDCCDCBA AABEGGGFFFE HHGGFDCBAAA AABCDDFGHHG HGDCABBCEFF HHGGEBABCBC FFFFFFFECAA FEDCBBABEHH AABDEFFFGGG AABBCDEGGHH AABDEFGHGFC HGECBAABFGG FGGGGGFDBAA HHGEDDCBBBB DCBABBEFFHH EBBEFHFBBDG HHHECCCCBBB
7,HHGEDCBBBBB AABCDEFFGHH GGGGFFEDBAA HGFDBAABCFH CEFGHGFDCAA CAABCEFGGGH BCCCDFGHHDA AABCDEFFGGH ABBCDGHHGEC HHGFDBBBBCE AABCDEGGGGG GGGGFEDCBAA BAABCEGHHGF EDBBBBBEHHG HGFDCBABCEF ADGFBABDGGH AABCCEEFGHH CCCDDEBBDGH
8,HHGGGEDBBAA HGGGFEDCBAA HHGGFECBBAA AABCDFGHHGE HHGFEDCBBBA AABCDEFGGGH CDEFFGGGFBA AABCDEFGGGH FFGGHGEBAAA AAABCEFGGHH HHGEDCCBBBB GGGGFEDCBAA AABCEGGGGFF HHGFFEDCBAA CHGDBAACEGH AABCDFFFGHH AABBCDEFGHH BBBBCCDEGHH
9,HHGFEDCBBBA AABBDDEFGHH AEGGFDCBDGC HHHFDCCBBBB GGGGGFDBAAA AABCEFFGGGG CEGHHGAABCD AABCCDEFGHH GHHGFECBBAA DCBBBCDEGHH ABGHGFEDDCC HGGGFEDCBAA AABDFGHGFED HGDCBDFDBAF EGHHGFDBAAB AABCDDFFGGH AABCDEFFGGH ABBCDDDEFHH
10,HGFGHFCAABC AABCCDEFGHH GGGGFEDCBAA BBBBCDEFGHH HHHGEDCBBAA HHGEDDCBBBB EDCBBBBDFHH ABEFGGGGECA CCBBBBCEGHH GHHGFDDBAAA AABDEFGGGGG ABDEGGHGFCA HDAFGEEECBB GGGGFFECBAA DBAABCEGGHH ABDEEECFGGG FGGHGABDCBB CDCCCBBCEHH
11,HHGFEDCBBBA HHGFEDCCBAA HGGFFEDCBAA CBBBBCEFGHH BDFGHGFECAA HHGFECBBBBB ABBBCDEFGHH AACDEFFFFGH GGHGGEDBBAA BBBBBCEFGHH ACEGHGEDDDD GGGGFFEDCAA FEDCBBBBEHH FGGGGFECBAA AABEFGGGFFE HFCBAABFGGG AABCCDEFGHH BBBCCCDEGHH
12,GHHGFDCBBAA ECCDGHHECAA HGGGFEDCBAA HGFECBAABEH AABCDFGGGGG HHGFEDCBBBB ABBBCCEFGHH AABCDEFFGGH AABBCEGHHFE DCAABCEGHHH HHGEDCBBBBB GGGGFFEDBAA BBBBBCEGGHH HHGGFEDBAAA AACFGGGGEDC GABDFGGHDAC EEDDBABEGHH BBBCCCDEFHH
13,HHGFEDCBBBA HHGFEDCCBAA GGFEDCBBADH AABDFGGGGFD HHGFEDCBABC AABCDEFGGGH FEAABCDFGHH AABBCDEGHHG HHGECBAACEF HHHGFDCBBAA DBBBCDDDDGH ABDFGHGGECA HHFDDDCBBAE AABCEFGGGGF FCAABCEFGHH FGHHGECBAAB GHGGFEDCBAA AABCCDEFGHH
14,AADEFFFFFFF AABCDDEFGHH GHHGFECBBAA HHGGEDCBBAA AABBDEGHHGD HHGFCBBBCCC ABBBCDEFGHH ABDFGFFEDEG BCDEGHHGDBA GECBABBDFHH AGHGFEDCCCC GFFGGFFDBAA AABBCEFGHHG GGGGFFECBAA HGFFDCBBBBC AABCCEFGGHH AABCDDDFGHH ABCCCCEFGHH
15,HHGEDCCBBBB AABCDEFGGHH GGGGFEDCBAA BBBBBDEFGHH GHGGFEDCBAA HFBABCDEFFG ABBBCCEFGHH AABCDDEFGHH FFGGGGFCBAA CBBBBCDFGHH HHHFDCBBBBB GGGGFFEDBAA FDCBBABDGHH HGGGFEDCAAA ABEFGGGGFCB CBABCDEFGHH ABBBCCEFGHH ABBCCDDEFHH
16,EGHHGFDCBAA HHGFEDCBBAA HHGFEDCCBAA BBABCDEFGHH HHGFEDDCBAA HBAABCDFGGG BBBBBCDEGHH HEBBBCCDEFG DEFGGHGCBAA GGECBABBDGH AABCEFGGGGG HHGGEDCAABC BDEGHGGECAA HGGFEDCBABE DGHHGFEDBAA AABCDEFFGHH AABBCEFGGHH AABCCDEFGHH
17,BAAADFGGGGG HHGFEDCBBBB HHGGFDCBBBA FFECBAACFHH GHHGFEDCBAA AABDEFGGGGG DEFGHHGBAAB ABBCCDEEFHH ABDFHHGGEBA HHFCCCBBCEC GHHGEDCBBBA HGFDBAACFGG EEGHGFEDBAA GEDBBBBBEHH AABDFGHHGEC HHDCCCCCCCC ABBCCDDEGHH GGHGFEDCBAA
18,HGHGFECBBAA HHGFEDDCBAA FEDCCBBBCGH ABDEGHHGEBA FDBABBCEFHH AACDEFGHHFC AABBCDEGGHH EEEFFFFGFBA HHGFEDBAABC DEEFFGHFCAA CAABCEFGHHG HGEBAABDFFG CFHHGFECBAA BBBBBCDFGHH GHHGFECBAAB AABCDEFGGHH HFFFFFEDBAA ABBCCDEFGHH
19,HFFGGFECBAA GFGGGFEDCAA HHGFECBBABC DEFGGGGFDAA HHGEDCCBBBB AABCDEFGGGH HHHGDAABCCD ABBCDDEEGHH GGHGFEDBBAA AABCDEFGGGG HHGEDCCCBBB BBBBBDFGGHH EGHGFEDCBAA HHGFFEDCBAA AAADHGGFFED CBABDDEEGHH ABBBCDEFGHH ABBCCDDEGHH
20,CCBBBBCFGHH HHGFEDCBBAA HHGFDCAABCE GGHGFEDCBAA AABBCDEGGHH HHGFDCBBBBB CCBBBBCEGHH HHDABBCDDEF BBBBCDEGHHH HHGECBABCDE BCGHHFDCCBA HHGFECBBBBB FFGHGFDCBAA CBBBBBDFGHH HHHGFECBBAA DEEEFFFFGBA DDCBBBCEGHH DGEEBCEECAH
21,HHGEDCBBBCC CEGHHGECCBA CCBBBCDDFHH ABDFGHHFDBA AABBCDEFGHH ADFGHHFCBBB AABBDEFGGHG GGGGGFDCBAA HHGEEDCBBBB HHGFEDCBBBA AABCDDEFGHH EEFGGGFEBAA BBBCCCCDGHH CCCCBBBCFHH AABCEFFGGGG HHGFECCCBBA BAABCDFGGHH EEEEFFFGFBA
22,ABFGGGFFEDD HFHGGEDCAAA HHGGFEDCBAA HGFCBABBDFG ABCEFHHGFCA HHGFCAABCDE AABBCDEGGHH ABCCDDDEFGH EFGGGGFDBAA BABBCDEGGHH HHGFDDCBBBA FFDDCBABEGH EGHGFEDCBAA DCCCBBBDGHH HHGEDCBBBCC AABCDEFGGHG HGECBBBCDDE ABCDDCDFGHH
23,BCABCFGGEGG AABBCEEFGHH FGHGGDBBBAB EDCBABBDGHH FGGGGFDCBAA AACDFGGFFFF FFFFGGGFBAA AABDEFFFGGH AABBCDFHHGF HHGEDBBBBCC AABDFGGFGGG FEFFFGGFDAA CBBBBCDEGHH HHGGEDCBABB DBBBBBDFGHH AABCDEFFGHH AABCDEFFGHH ABBCCDEEFHH
24,AABBDEFFGHH AABCDEFFGHH GGHGFECBBAA HGFDAABCDFG FGGGGFEDBAA HFBBBBCDEEF AABBCDEGHHG HDBCDEEEDCB BBBBBCDEGHH GHHGFDCBAAB ADHGEEFEDCC GGGGFEDCBAA AACFGGGGFEE HHGFEEECBAA FGHHGECBAAB HHGDBBBACFG ABBBCDEFGHH ABBBCCDFGHH
25,HHGGEDCBBAA HGFEFFECBAA EDDCCBBCCGH AABDFGGHGFD HHGEDBBBBCD AABCDEFGHHG EBBBBCDFHHH AABCDEEFGHH HHGFEDCBBAA AABCDDEGGHH HGECBCCCDDC HHGGFDBAABC AABBCDFGHHG HHGFDCBBBBD ABDFGHGFECA AABCDEFFGHH AABBDEFGGHH ABCCDCDEGHH
26,HHGFDCCBBBB AABCDEFGGGH HHGGFECCBBA BBBBCCEFGHH HHGFECBABBC AACDEFFGGGG GGGGGFCAABB AABCDEEFFGH EEFGHHFDBAA CBBBBCCEGHH HHFDCBBCCCC HHGGEDBBBBA AABDFGHGGEC GFEDCBAAEHH FDCBABCEGHH AABCDEFGGHH AABCDEFFGGH BBBCCDDEGHH
27,HDABCCCDDFH AABCDEFGGHH HHGGFECBBAA HHGFDBBBBBC EFGHGFEDBAA AABBDEFGGHH CDDEFGHGCAA ABEGGGGFEDC BBBBCEGHHFE HHFDCBAACDF AABCDEGGGGG GGFFGGFDBAA ECBBBBCEGHH HGGGFEDCBAA FHHGEDCBABB ABCECEDFGHG EFBAABCEGHH BBBBCCDEGHH
28,HGEFDBBBCCC GHGGFDCAACB CCBCCCCDEHH ABCEGHHGECB BBBBCDEFGHH ADGHHGEDCBB BBBBBCEGHHH GGFFFFFEBAA HHGECBCCCBC HHGFEDCBBBB AABCDEEFGHH GGGGGFECBAA BBBBCCDEGHH AABCEGGGGFE AAACDEFGGHH HHGFEEDCBAA BABBCDEGGHH DDEFFFFGFCA
29,HHGFEDCBBBA HDCAABDFGGG GGGGFEDCBAA FEDCBABDFHH AABCEFGGGGF HHGFEDCBBAA BBBBBCDFGHH AACDEFGGGGF BBBBBCEFHHH HHGFDBBBBCD AACEGGFFFFF EFGGGFEECAA HGEDCBBACGH GGGGFFEDBAA AACFGGGGEDD BBBBBCFGHGH AABBCCEFGHH ABBCCDDEGHH
30,CAAFHHGEDDD AABCDEFGGHH GHGGFEDCBAA BBBBBCDFGHH HHGFFEDCBAA AABBDEFGGHH AABBCDEGGHH HHGECCCCBBB BBBBBCDFHHH HHGGFDBAABD EHHFDCCBBBB DDDDDDDDBBH HHGEDDCCBBA DEEEEEDBACH HHGFECCBBBB HHGGEDCBBBA ABBBCDDFGHH GHGFECBAABG
31,AACCCCDFGHH AABCDEFFGHH BBBBBCEGGHH HGGGFEDCBAA CBABCDEFGHH ABDGGGGFEDD HHGGECBCBBA HGGGFEDBAAA BBBBCDEFGHH GGGGGGECBAA HGECBBBCDEE FGGFFEDCGCA HHFEDDDCBBA HHGFFEDCBAA AABCDEFGGGH CEGHHGECCBA HHHFCCCBBBB HHGGFEDBBAA
32,HGGFECBBBBC AABCDEFGGHH GGGGFEDCBAA AABBCDEGGHH HGGGFEDCBAA AABCDEFGGGH EFGGHGCAABB AADFGFEFFGE ABBCFHHGFEA BAABCEGGGGG HHGECBBBBCC FFGGGFFEBAA AGGFEFEDDCB HGGGFEECBAA AABCEFFFGGG HFFGEGDCCBA BBBBBCFHGGH GFEDCBAABFH
33,HHGFECBBBBB HHGFECCBBBA BBBBBCDEGHH ACFGHHFDCBA CBBBCCDEGHH AACDEFFFFGG HFAABBCDFGH BBCDCCCDFHH HHGFEDCBAAB EFFFFFGFCAA DBAABDFGHHF CBBBBDEFGHH HHGFEDCBBAA BABCCDEFGHH HGDBABCEFGG AABCDEFGGHH AABCDEGGGGG FFFFGGGECAA
34,BHHGFEDCBBB AABCDDEFGHH GHHGFECBBBA DDCBABCEGHH FFGGGFEDBAA AABDEFGGGFG EFFGHHEAABB AABCDEEFFGH ABBCEGHHFDB HGDBABBCEFH GHHFDCCBBBB HHGFEDBAABC CDEGHHGEBAA DCCBBBBDFHH FFGGGFECBAA ABBBCEFFGHH AABBCDEFGHH ABBCCDEEFHH
35,AAACEFGGGGG AABCEFGGGGG HHHGFDCBBAA AADEFFGFFGF HHGFEDCBBBB AABCDEFGGGH FGGGGFEBAAA ABCDDEEEFGH ABBDFHHGECB BCEGGHGECBA HHGEDCCCCBA DDCBBCCDFHH HHGFEDDCBAA CBBBBCDFHHH ABCEGHHGFCB HHGEDCBBBBB ABBCCDEFGHH BBBBCCEFGHH
36,HHGFEDCBBAA HHGFEDCCBAA HHGFFEDCBAA CCBBBCDFGHH ADGHHFEDCBB HHGGFDCBBAA BBBBBCDEGHH AABCDEFFGGH AABBCDFHHGG HHGECBAABDF AACEFGGFFFF GGGGFFEDBAA CBBBBCDFGHH FFGGGFFDBAA CFHHFECBBBC AABCDFFFHHG CBABDFDDFHH BBBBCCDFGHH
37,BCCBBBDGHHH ABBBCEGHHGE AACEGGGFFFE HHGFEDCBABB AABCCEEFGGH ABCGFGFFFFE FFFFFFFFEAA AABCDEFFGGH AABBCDFGHHH EFFFGGGFCAA HHFDCCBBCCC GGGGFEDDCAA HGGEDDDCBBA DCCBCCCCEHH AABCDEFGGHH AABDFFFGGGG FFGFFEFFDAA HFEEDDCCBBB
38,HHGFEDCBBAA HHGFEDCCBAA HGGGFEDCBAA BAABCDEFGHH GHGGFEDCBAA HGEBABCDEFF ABBBCDEFGHH ABBCCDEFGHH HGGGFEDCBAA AAABCDFGGHH GHHGECCBBBB GGGGFFEDBAA CCBBBBDEGHH GGGGGFECBAA CBAABEGHGGG HGCABBCDEFF AABBCDFGGHH ABBCCDEFGHH
39,GHHGFECBBAA HHGFEDCBBAA HHGGFEDCBAA GECBBBBDFHH GHHGEDCCBBA AABCEFFGGGG AABBCDEGGHH AABCDDEFGHG HHGFECBAABD DFGHHGECBAA EAAACEGHHGD BAABFGGFDEH ABEGGFFFEDD HHFDDBABFFC FDCBABCEGHH AACEEDDGFHH AABBDDFGGHH ABBDFGGEDCG
40,HHGFECCBBBB HHGFEDCBBAA HHGFEDCBBAB AABCDEFGHHG HHFDBAABCEG AACDEFFFFGG HHGBBBBCDEF AABCCDFGGHG HHGFEDCBBBB FFECBABBEHH HBAABCEGGGF BBBABDEGGHH GHHGFEDCBAA HFDDCBABDFH ADGHHGEDBAB AABCDEFFGHH AABBDEFGGHH ABBBCDEFGHH
41,HHGFEDCBBBB HHGEDCCBBAF GGFEDDFGEBA AABBDEFGGHH HGFDBAABDEG AACDEFFFGGG EBBBBCDFGHH ABBCDEFGHHC HHGFEDCBBAB EEECBBDGHGA HEBAACEGGGD BBAABDFGGHH HHGGFEDCBAA BBBBBBDGHHH DCBBBBBEGHH AABCDEFGGHH AABBCEFGGGH BBBBCDDEGHH
42,HHGEFEDBBAA HFBBCDEDDCC GGGGFEDCCAA DCCBBBCEGHH ABDFGHGFECB HHGFDCCBBBB ABBBCDEFGHH AABCDDEFGHH FFGHGFECBAA BBBBCDEGGHH HHGFDCCBBBB HGGGFEDCBAA ABFGGGGFECA EDCCBBBDFHH HHGFECBBBBC DEFFGGGEBAA HFCBBBBCEGH ABBCCDEFFHH
43,HHGFECCBBBB HHGFEEDCBAA DCCCCCCCDEH ABCEGHHFECB FDBAABCEFHH AADEFFGGGFD ABBCCCDFGHH CCDDEEFHHDA HHGFEDCBBBB CDEFHHGDBAA BAABDFGHHGE AABCDEFGGHG HHGFEDCBBAA AABCEFEEFGH GHHGECAABBC AABDFGHGFEC HGFDCBABCEG ABBCCDEEFHH
44,HHGFECBBBBB FCHHGEDCCBA BBBBCDEFGGH AABCEFGHGFE DCBBBCDEGHH ABDFFGGGGDB AABBCDEGHHH FFFFFFFEBAA HHGFDBBBBCD GGHGFECBBAA AABBDEFGGGH ABCDDEFHHFB HHGFDCCBBBB AABCDEFGHGG FGEBAACEFGH AABCDEFFGHH AABCEFFGGGG EEEEFFFGFBA
45,ABBBFEEEFHH AABCDEFFGHH DFGGGFEDCAA EDCBABCEGHH GGGGFEDCBAA EBAABDEGGHH BBBBCCDFGHH DFGHGGECBAA BBBBBCEGHHH HGFECAABDFG HHFDCBBBCCC BBCDDDCCEHH HHGEEDCCBBA HGGGFEDCBAA BAABCEFGGHH ACFFGFDCCEH GHHGEDDDBAA HHGGEDCBBAB
46,GHHGEDCBBAA HHGFEDCCBAA HGGGFEDCBAA CBBBBCEFGHH HHHGEDCBBAA HHGEBABBCDD ABBBCCEFGHH AABCDEFFGGH AABCDFHHGEC ECBAABDFGHH HHFEDCCBBBB FFEEDCBABFH EHHGFEDCBAA FEDBAABEHHG HGCAABCEFGG ABBBDFFGGHG ABCBBEFGGGH BBBBCDDEFHH
47,HGGGEDCBBAA AABCCDEFGHH GGGGFEDCBAA HHGFECBAABD AABCDEFGGHH HHGFEDCBBBA BBBBCCDFGHH AACDEFFGGGG BBBBBDEGHHH HHGFEDBBABB AADEGFFFFFF FFGGGFFECAA FDCBBABEHHH GGGGFEDCBAA AABBCDFGGHH ABCBGHGGFEB CCBABCEFGHH BBBCCDDDFHH
